#=====================================================
# File created:        Sun-16-Feb-2025-at-02-27-00PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        25.252931
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2532.5412  0.2707
   00001    0.6736   -3748.1180  0.2666
   00002    0.6108   -4506.4886  0.2791
   00003    0.5692   -5182.2195  0.2871
   00004    0.5536   -5640.1866  0.2817
   00005    0.5200   -6048.1479  0.2899
   00006    0.4940   -6336.9974  0.2927
   00007    0.5104   -6496.8393  0.2866
   00008    0.5072   -6746.7626  0.2882
   00009    0.4768   -6906.8881  0.2921
   00010    0.4708   -7086.0569  0.2969
   00011    0.4648   -7147.8622  0.3020
   00012    0.4756   -7304.8297  0.3014
   00013    0.4568   -7417.5638  0.2987
   00014    0.4656   -7480.1477  0.3075
   00015    0.4480   -7532.4707  0.3106
   00016    0.4444   -7631.4351  0.3202
   00017    0.4328   -7605.6440  0.3195
   00018    0.4232   -7650.6845  0.3167
   00019    0.4368   -7716.9290  0.3111
   00020    0.4460   -7752.3660  0.3160
   00021    0.4444   -7761.9503  0.3083
   00022    0.4380   -7812.2430  0.2961
   00023    0.4316   -7813.2866  0.3002
   00024    0.4464   -7849.2313  0.2997
   00025    0.4284   -7910.9399  0.3034
   00026    0.4116   -7934.3050  0.3033
   00027    0.4272   -7913.7120  0.3083
   00028    0.4404   -7915.7103  0.3128
   00029    0.4244   -7906.3056  0.3119
   00030    0.4572   -7906.5961  0.3160
   00031    0.4104   -7957.3858  0.3182
   00032    0.4376   -8031.1902  0.3163
   00033    0.4080   -8002.2272  0.3091
   00034    0.4272   -7958.4105  0.3119
   00035    0.4300   -7988.6697  0.3107
   00036    0.4368   -8008.7352  0.3131
   00037    0.4196   -8005.3731  0.3147
   00038    0.4348   -8049.1363  0.3161
   00039    0.4208   -8063.6819  0.3119
   00040    0.4208   -8030.8127  0.3173
   00041    0.4240   -8073.2479  0.3196
   00042    0.4240   -8058.9024  0.3185
   00043    0.4100   -8098.1387  0.3146
   00044    0.4040   -8117.6366  0.3108
   00045    0.4348   -8134.4849  0.3052
   00046    0.4180   -8170.1014  0.3098
   00047    0.4228   -8140.7537  0.3126
   00048    0.4228   -8142.6966  0.3105
   00049    0.4220   -8156.3760  0.3137
   00050    0.4172   -8126.7926  0.3157
   00051    0.4300   -8077.4062  0.3220
   00052    0.4340   -8095.3446  0.3222
   00053    0.4280   -8145.8182  0.3229
   00054    0.4052   -8144.0867  0.3222
   00055    0.4152   -8150.9992  0.3162
   00056    0.4320   -8168.7439  0.3205
   00057    0.4148   -8181.7505  0.3173
   00058    0.4216   -8192.2664  0.3176
   00059    0.4208   -8216.4426  0.3174
   00060    0.4168   -8213.4082  0.3164
   00061    0.4276   -8246.0301  0.3181
   00062    0.4124   -8217.6094  0.3180
   00063    0.4104   -8225.2571  0.3216
   00064    0.4168   -8215.4836  0.3251
   00065    0.4160   -8264.1955  0.3265
   00066    0.4508   -8299.8040  0.3270
   00067    0.4220   -8253.5682  0.3225
   00068    0.4108   -8202.6630  0.3244
   00069    0.4020   -8234.5900  0.3301
   00070    0.4216   -8219.5318  0.3292
   00071    0.4148   -8232.2553  0.3337
   00072    0.4264   -8226.5586  0.3279
   00073    0.4132   -8207.5129  0.3303
   00074    0.4208   -8249.4676  0.3298
   00075    0.4184   -8266.0727  0.3215
   00076    0.4096   -8234.9110  0.3238
   00077    0.4236   -8286.0357  0.3202
   00078    0.4152   -8272.8861  0.3193
   00079    0.4180   -8279.4410  0.3196
   00080    0.4008   -8262.2254  0.3218
   00081    0.4112   -8287.3494  0.3245
   00082    0.4140   -8249.2594  0.3225
   00083    0.4088   -8282.1193  0.3234
   00084    0.4152   -8301.2564  0.3187
   00085    0.4172   -8288.1213  0.3151
   00086    0.4396   -8298.4060  0.3241
   00087    0.4108   -8288.5781  0.3286
   00088    0.4140   -8315.9127  0.3247
   00089    0.4196   -8281.8182  0.3236
   00090    0.4164   -8294.4881  0.3237
   00091    0.4272   -8248.7872  0.3150
   00092    0.4148   -8259.4036  0.3174
   00093    0.4424   -8249.6310  0.3088
   00094    0.4232   -8240.9374  0.3112
   00095    0.4236   -8184.7590  0.3137
   00096    0.4096   -8225.9398  0.3067
   00097    0.4192   -8306.1557  0.3095
   00098    0.4092   -8291.5764  0.3134
   00099    0.4028   -8334.4918  0.3108
   00100    0.4180   -8367.7147  0.3084
   00101    0.4288   -8317.5600  0.3112
   00102    0.4208   -8350.2362  0.3123
   00103    0.4184   -8353.8276  0.3049
   00104    0.4096   -8361.1688  0.3067
   00105    0.4128   -8308.3469  0.3110
   00106    0.4156   -8321.2320  0.3108
   00107    0.4368   -8356.6535  0.3111
   00108    0.4272   -8350.0281  0.3065
   00109    0.4052   -8367.8563  0.3067
   00110    0.4080   -8325.1189  0.3025
   00111    0.4288   -8324.8443  0.3038
   00112    0.4144   -8333.7051  0.3090
   00113    0.3936   -8304.7918  0.3055
   00114    0.4296   -8350.4127  0.3081
   00115    0.4128   -8303.8050  0.3136
   00116    0.4068   -8284.0499  0.3101
   00117    0.4272   -8264.6365  0.3102
   00118    0.4152   -8268.6014  0.3082
   00119    0.3964   -8266.9023  0.3057
   00120    0.4228   -8279.8262  0.3020
   00121    0.4088   -8276.6852  0.3029
   00122    0.4288   -8305.7469  0.2965
   00123    0.4104   -8360.0515  0.2992
   00124    0.4256   -8351.8733  0.2995
   00125    0.4200   -8364.0906  0.3022
   00126    0.4080   -8377.8332  0.3028
   00127    0.4100   -8355.3192  0.3011
   00128    0.4000   -8385.1761  0.3036
   00129    0.4208   -8344.4773  0.2980
   00130    0.4208   -8377.0801  0.3047
   00131    0.4112   -8397.1775  0.3038
   00132    0.4060   -8393.6489  0.3064
   00133    0.4232   -8379.7890  0.3102
   00134    0.4020   -8347.1618  0.3118
   00135    0.4116   -8364.1905  0.3186
   00136    0.4204   -8385.7046  0.3189
   00137    0.4272   -8402.2404  0.3218
   00138    0.4136   -8378.4919  0.3255
   00139    0.4140   -8379.2661  0.3188
   00140    0.4216   -8379.8981  0.3197
   00141    0.4260   -8368.8306  0.3185
   00142    0.4180   -8329.0120  0.3214
   00143    0.4308   -8325.9549  0.3244
   00144    0.4268   -8376.1886  0.3263
   00145    0.4244   -8419.8660  0.3310
   00146    0.3996   -8405.8690  0.3279
   00147    0.4268   -8384.3281  0.3219
   00148    0.4020   -8400.8100  0.3279
   00149    0.4192   -8387.8509  0.3290
   00150    0.4296   -8363.4890  0.3320
   00151    0.4092   -8400.4363  0.3372
   00152    0.4240   -8438.2305  0.3431
   00153    0.4340   -8419.6087  0.3417
   00154    0.4224   -8382.6419  0.3424
   00155    0.4160   -8334.7933  0.3430
   00156    0.4284   -8317.1240  0.3406
   00157    0.4112   -8353.4755  0.3351
   00158    0.4288   -8372.4346  0.3304
   00159    0.3984   -8393.3586  0.3260
   00160    0.4060   -8401.3121  0.3208
   00161    0.4120   -8400.1374  0.3236
   00162    0.4076   -8409.2789  0.3215
   00163    0.4040   -8395.0934  0.3223
   00164    0.4316   -8388.4556  0.3229
   00165    0.4056   -8401.1267  0.3215
   00166    0.4328   -8406.8819  0.3137
   00167    0.4264   -8415.0328  0.3154
   00168    0.4064   -8420.0245  0.3144
   00169    0.4280   -8425.0851  0.3191
   00170    0.4012   -8413.8264  0.3239
   00171    0.4268   -8374.6105  0.3286
   00172    0.4220   -8370.0999  0.3258
   00173    0.4088   -8339.7722  0.3279
   00174    0.4212   -8366.4788  0.3247
   00175    0.3972   -8404.0091  0.3235
   00176    0.4296   -8439.7668  0.3172
   00177    0.4212   -8450.3455  0.3163
   00178    0.4160   -8421.4058  0.3118
   00179    0.4272   -8425.2468  0.3085
   00180    0.4172   -8418.3167  0.3067
   00181    0.4024   -8473.6816  0.3081
   00182    0.4080   -8489.5175  0.3063
   00183    0.4120   -8431.6941  0.3030
   00184    0.4252   -8404.1713  0.3044
   00185    0.4260   -8395.0269  0.3017
   00186    0.4252   -8414.6901  0.3053
   00187    0.4180   -8439.9079  0.3033
   00188    0.4152   -8439.3590  0.2985
   00189    0.4288   -8416.3474  0.3033
   00190    0.4224   -8428.0721  0.3043
   00191    0.4056   -8446.2328  0.3016
   00192    0.4004   -8471.3154  0.2987
   00193    0.4208   -8465.6668  0.3039
   00194    0.4164   -8431.2191  0.3025
   00195    0.4160   -8428.9848  0.2970
   00196    0.4168   -8490.3182  0.2941
   00197    0.4120   -8463.0452  0.2957
   00198    0.4320   -8468.6053  0.2901
   00199    0.4256   -8443.6024  0.2920
   00200    0.4000   -8443.4934  0.2911
   00201    0.3992   -8462.7005  0.2923
   00202    0.4188   -8480.1733  0.2952
   00203    0.4168   -8452.9238  0.2944
   00204    0.4100   -8484.3169  0.2974
   00205    0.4172   -8486.6392  0.2978
   00206    0.4004   -8445.5965  0.3013
   00207    0.4260   -8428.4818  0.3022
   00208    0.4340   -8464.4625  0.3072
   00209    0.4040   -8431.9148  0.3036
   00210    0.4320   -8432.3877  0.3022
   00211    0.4212   -8412.9657  0.3073
   00212    0.4160   -8352.0403  0.3121
   00213    0.4196   -8427.1196  0.3215
   00214    0.4080   -8415.6519  0.3259
   00215    0.4080   -8459.2722  0.3262
   00216    0.4172   -8448.7934  0.3251
   00217    0.4040   -8449.4838  0.3351
   00218    0.4140   -8482.0036  0.3366
   00219    0.4204   -8479.4717  0.3313
   00220    0.4060   -8521.9940  0.3322
   00221    0.4020   -8506.2848  0.3332
   00222    0.4020   -8538.0146  0.3308
   00223    0.3916   -8502.2493  0.3297
   00224    0.4116   -8487.4176  0.3287
   00225    0.4156   -8502.2250  0.3293
   00226    0.4260   -8531.6377  0.3290
   00227    0.4104   -8479.5144  0.3240
   00228    0.4156   -8475.8483  0.3226
   00229    0.4136   -8468.3864  0.3173
   00230    0.4064   -8513.4767  0.3087
   00231    0.4112   -8499.1792  0.3124
   00232    0.3984   -8509.2657  0.3122
   00233    0.4028   -8504.7766  0.3112
   00234    0.4284   -8514.1222  0.3052
   00235    0.4156   -8483.5862  0.3098
   00236    0.4044   -8484.5344  0.3069
   00237    0.4184   -8514.0896  0.3168
   00238    0.4236   -8474.0651  0.3110
   00239    0.4100   -8447.9123  0.3134
   00240    0.4176   -8453.2514  0.3102
   00241    0.4140   -8492.6490  0.3102
   00242    0.4060   -8475.3284  0.3058
   00243    0.4116   -8516.5382  0.3070
   00244    0.4040   -8477.6307  0.3112
   00245    0.4236   -8468.7362  0.3090
   00246    0.4036   -8428.6197  0.3103
   00247    0.4204   -8488.6497  0.3094
   00248    0.4116   -8429.6760  0.3109
   00249    0.4172   -8459.7219  0.3148
   00250    0.4232   -8481.3927  0.3124
   00251    0.4184   -8472.1788  0.3163
   00252    0.4092   -8491.9220  0.3191
   00253    0.4212   -8462.1741  0.3222
   00254    0.4148   -8473.3603  0.3219
   00255    0.4116   -8428.7314  0.3245
   00256    0.4088   -8462.1048  0.3270
   00257    0.4104   -8447.6959  0.3222
   00258    0.4152   -8451.6216  0.3193
   00259    0.4176   -8475.5259  0.3191
   00260    0.3996   -8444.2198  0.3163
   00261    0.4032   -8453.7569  0.3175
   00262    0.4192   -8429.7803  0.3214
   00263    0.4324   -8378.1015  0.3171
   00264    0.4064   -8408.5500  0.3183
   00265    0.4256   -8418.7533  0.3129
   00266    0.4132   -8456.3356  0.3107
   00267    0.4136   -8475.7001  0.3084
   00268    0.4148   -8459.5049  0.3112
   00269    0.4284   -8478.1230  0.3154
   00270    0.4084   -8497.4734  0.3103
   00271    0.4104   -8481.5489  0.3094
   00272    0.4092   -8468.3264  0.3142
   00273    0.4112   -8486.7229  0.3159
   00274    0.4108   -8465.6747  0.3146
   00275    0.4248   -8408.9865  0.3087
   00276    0.4276   -8422.2115  0.3057
   00277    0.4196   -8386.1995  0.3041
   00278    0.4144   -8382.5736  0.3075
   00279    0.4244   -8409.6473  0.3101
   00280    0.4096   -8414.6673  0.3122
   00281    0.4120   -8397.2016  0.3102
   00282    0.4072   -8417.3848  0.3127
   00283    0.4204   -8447.2221  0.3096
   00284    0.4108   -8452.7721  0.3108
   00285    0.4100   -8429.7653  0.3115
   00286    0.4244   -8460.2655  0.3115
   00287    0.4032   -8448.4508  0.3104
   00288    0.4252   -8408.1895  0.3089
   00289    0.4112   -8418.3401  0.3124
   00290    0.4120   -8441.7850  0.3101
   00291    0.4240   -8438.0801  0.3149
   00292    0.4144   -8451.4226  0.3159
   00293    0.4088   -8475.6514  0.3176
   00294    0.3984   -8492.2242  0.3176
   00295    0.4228   -8490.9212  0.3176
   00296    0.4076   -8479.2684  0.3125
   00297    0.4052   -8444.3156  0.3134
   00298    0.4080   -8498.2820  0.3233
   00299    0.4072   -8477.3882  0.3167
   00300    0.4120   -8447.5720  0.3141
   00301    0.3928   -8426.9578  0.3114
   00302    0.4180   -8427.7422  0.3032
   00303    0.4056   -8451.0053  0.2928
   00304    0.4112   -8472.5544  0.2953
   00305    0.4116   -8421.2019  0.3003
   00306    0.4172   -8398.3135  0.3023
   00307    0.4196   -8404.5434  0.3079
   00308    0.4240   -8426.6060  0.3118
   00309    0.4264   -8391.2651  0.3111
   00310    0.4180   -8410.8109  0.3139
   00311    0.4228   -8394.1761  0.3188
   00312    0.4024   -8395.5774  0.3134
   00313    0.4016   -8407.1013  0.3113
   00314    0.4204   -8383.0954  0.3157
   00315    0.4140   -8370.5735  0.3182
   00316    0.4088   -8344.0176  0.3158
   00317    0.4264   -8363.2190  0.3157
   00318    0.4392   -8397.6743  0.3131
   00319    0.4204   -8401.9117  0.3141
   00320    0.4064   -8408.6334  0.3110
   00321    0.4260   -8444.9263  0.3102
   00322    0.4044   -8417.5232  0.3116
   00323    0.4092   -8443.5809  0.3102
   00324    0.4180   -8463.7867  0.3112
   00325    0.3992   -8497.0165  0.3118
   00326    0.4064   -8497.5394  0.3051
   00327    0.4092   -8514.5245  0.3147
   00328    0.4056   -8475.5737  0.3175
   00329    0.4108   -8456.3093  0.3207
   00330    0.4156   -8450.1753  0.3194
   00331    0.4292   -8458.2231  0.3129
   00332    0.4136   -8427.7612  0.3140
   00333    0.4040   -8450.2067  0.3067
   00334    0.4044   -8504.2243  0.3115
   00335    0.4248   -8531.5568  0.3123
   00336    0.4048   -8526.4619  0.3101
   00337    0.4144   -8503.7340  0.3122
   00338    0.4176   -8521.5734  0.3147
   00339    0.4120   -8531.5541  0.3103
   00340    0.4060   -8526.8967  0.3114
   00341    0.4124   -8526.8597  0.3155
   00342    0.4268   -8525.0880  0.3130
   00343    0.4060   -8487.6546  0.3084
   00344    0.3992   -8537.1194  0.3095
   00345    0.4148   -8474.8624  0.3115
   00346    0.4172   -8481.2594  0.3136
   00347    0.4076   -8481.8086  0.3035
   00348    0.4048   -8481.3219  0.3070
   00349    0.4244   -8500.4733  0.3140
   00350    0.4056   -8505.3269  0.3105
   00351    0.4112   -8516.8433  0.3174
   00352    0.4100   -8556.2359  0.3213
   00353    0.4116   -8568.1496  0.3162
   00354    0.4040   -8535.1793  0.3136
   00355    0.4160   -8559.4376  0.3101
   00356    0.4064   -8518.6794  0.3048
   00357    0.4156   -8508.9448  0.2981
   00358    0.3964   -8511.5137  0.3061
   00359    0.4132   -8544.8947  0.3071
   00360    0.4244   -8461.8273  0.3013
   00361    0.4096   -8395.4367  0.2993
   00362    0.4144   -8388.8546  0.2944
   00363    0.4048   -8427.8926  0.3009
   00364    0.4280   -8447.0066  0.3062
   00365    0.4260   -8413.9610  0.3086
   00366    0.3868   -8417.0716  0.3071
   00367    0.4100   -8391.0590  0.3130
   00368    0.4124   -8449.9614  0.3144
   00369    0.4200   -8446.8338  0.3110
   00370    0.3992   -8431.7472  0.3149
   00371    0.4036   -8426.7044  0.3167
   00372    0.3952   -8424.9659  0.3187
   00373    0.4164   -8419.7680  0.3239
   00374    0.4096   -8406.8017  0.3314
   00375    0.4052   -8434.0546  0.3317
   00376    0.4176   -8500.9797  0.3329
   00377    0.4112   -8502.5761  0.3294
   00378    0.4076   -8516.9955  0.3366
   00379    0.4212   -8498.3551  0.3363
   00380    0.4176   -8456.4108  0.3409
   00381    0.4000   -8438.1601  0.3432
   00382    0.4232   -8424.9200  0.3423
   00383    0.4028   -8399.2284  0.3465
   00384    0.4160   -8380.9933  0.3389
   00385    0.4180   -8354.0217  0.3379
   00386    0.4240   -8363.9217  0.3383
   00387    0.4188   -8387.1062  0.3363
   00388    0.4184   -8391.7387  0.3363
   00389    0.4020   -8441.5442  0.3431
   00390    0.4068   -8472.8311  0.3414
   00391    0.4044   -8463.0711  0.3457
   00392    0.4204   -8465.6084  0.3434
   00393    0.4208   -8486.5113  0.3438
   00394    0.3988   -8433.8322  0.3394
   00395    0.4248   -8426.5233  0.3450
   00396    0.4092   -8466.2308  0.3452
   00397    0.4112   -8462.5794  0.3427
   00398    0.4236   -8433.3291  0.3506
   00399    0.4244   -8429.9974  0.3554
   00400    0.4036   -8447.1468  0.3563
   00401    0.4284   -8476.4524  0.3614
   00402    0.4224   -8510.8055  0.3644
   00403    0.3992   -8536.3132  0.3719
   00404    0.4012   -8504.1678  0.3699
   00405    0.4004   -8482.0554  0.3711
   00406    0.4232   -8469.9464  0.3711
   00407    0.3948   -8462.6706  0.3681
   00408    0.4172   -8477.6179  0.3664
   00409    0.4032   -8565.2063  0.3659
   00410    0.4100   -8512.0174  0.3614
   00411    0.4244   -8457.6973  0.3643
   00412    0.4172   -8434.0695  0.3641
   00413    0.4156   -8387.7696  0.3674
   00414    0.4232   -8389.2091  0.3683
   00415    0.4340   -8462.1715  0.3730
   00416    0.3984   -8468.6003  0.3736
   00417    0.4252   -8448.3571  0.3784
   00418    0.4164   -8446.6300  0.3862
   00419    0.4132   -8428.7500  0.3862
   00420    0.4204   -8424.5531  0.3868
   00421    0.4292   -8404.1603  0.3853
   00422    0.4236   -8433.9148  0.3889
   00423    0.4092   -8451.9170  0.3906
   00424    0.4244   -8446.2102  0.3892
   00425    0.4312   -8481.3796  0.3998
   00426    0.4128   -8501.0734  0.3953
   00427    0.3940   -8474.2835  0.3950
   00428    0.4164   -8491.3237  0.3977
   00429    0.4104   -8523.5612  0.3946
   00430    0.4276   -8548.9052  0.3955
   00431    0.4096   -8547.6954  0.3911
   00432    0.4136   -8526.0176  0.3925
   00433    0.4096   -8517.3444  0.3916
   00434    0.4128   -8514.5822  0.3930
   00435    0.4056   -8507.6715  0.3940
   00436    0.4032   -8483.9702  0.4029
   00437    0.3952   -8493.0506  0.4009
   00438    0.3744   -8447.5916  0.3971
   00439    0.4180   -8447.2694  0.3952
   00440    0.4196   -8493.0620  0.3978
   00441    0.4152   -8492.7855  0.3981
   00442    0.4132   -8500.7762  0.3940
   00443    0.4028   -8468.8384  0.3963
   00444    0.4224   -8476.7258  0.3910
   00445    0.4160   -8474.7141  0.3870
   00446    0.4256   -8452.0186  0.3890
   00447    0.4072   -8484.8779  0.3935
   00448    0.4180   -8455.0460  0.3942
   00449    0.4304   -8452.6143  0.3911
   00450    0.4104   -8433.6147  0.3887
   00451    0.4044   -8448.4129  0.3956
   00452    0.4244   -8460.0142  0.3979
   00453    0.4188   -8443.8953  0.3897
   00454    0.4132   -8490.0913  0.3866
   00455    0.4248   -8498.1537  0.3828
   00456    0.4304   -8508.1442  0.3866
   00457    0.4088   -8505.5948  0.3820
   00458    0.4148   -8523.0496  0.3846
   00459    0.4040   -8554.1088  0.3844
   00460    0.3928   -8532.7787  0.3830
   00461    0.4132   -8497.9719  0.3857
   00462    0.4228   -8534.6310  0.3820
   00463    0.4352   -8488.6859  0.3892
   00464    0.4400   -8490.1829  0.3872
   00465    0.4072   -8469.5147  0.3849
   00466    0.4016   -8507.1821  0.3837
