#=====================================================
# File created:        Sun-16-Feb-2025-at-12-41-34PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        33.687183
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2600.6539  0.2532
   00001    0.6800   -3813.8491  0.2581
   00002    0.6244   -4558.5304  0.2697
   00003    0.5856   -5132.1790  0.2780
   00004    0.5584   -5482.6221  0.2764
   00005    0.5376   -5838.3140  0.2798
   00006    0.5252   -6096.3242  0.2810
   00007    0.5364   -6356.3549  0.2787
   00008    0.4960   -6562.0788  0.2828
   00009    0.4748   -6763.5724  0.2852
   00010    0.4624   -6898.0328  0.2818
   00011    0.4784   -7022.0318  0.2802
   00012    0.4952   -7118.3250  0.2842
   00013    0.4640   -7199.9144  0.2819
   00014    0.4708   -7296.6515  0.2781
   00015    0.4620   -7339.9827  0.2767
   00016    0.4540   -7395.8609  0.2759
   00017    0.4372   -7479.2463  0.2688
   00018    0.4736   -7465.3345  0.2630
   00019    0.4500   -7500.4471  0.2681
   00020    0.4360   -7574.0836  0.2744
   00021    0.4336   -7631.2356  0.2700
   00022    0.4740   -7633.0133  0.2750
   00023    0.4312   -7710.2366  0.2801
   00024    0.4492   -7725.1140  0.2764
   00025    0.4284   -7706.8058  0.2799
   00026    0.4308   -7810.6617  0.2856
   00027    0.4304   -7852.6293  0.2903
   00028    0.4344   -7801.5270  0.2914
   00029    0.4448   -7782.8891  0.2957
   00030    0.4432   -7799.1688  0.2916
   00031    0.4308   -7847.1707  0.2964
   00032    0.4324   -7850.6741  0.2999
   00033    0.4172   -7929.7233  0.3035
   00034    0.4420   -7936.6830  0.3040
   00035    0.4408   -7949.8583  0.3074
   00036    0.4240   -7928.4301  0.3094
   00037    0.4260   -7964.6587  0.3090
   00038    0.4220   -7964.3969  0.3117
   00039    0.4384   -7988.3927  0.3147
   00040    0.4344   -8049.0730  0.3194
   00041    0.4356   -7991.1633  0.3209
   00042    0.4356   -7962.8417  0.3127
   00043    0.4360   -7980.4828  0.3115
   00044    0.4412   -8048.1911  0.3071
   00045    0.4328   -8090.9336  0.3096
   00046    0.4200   -8098.8000  0.3087
   00047    0.4180   -8096.8671  0.3093
