#=====================================================
# File created:        Mon-17-Feb-2025-at-05-15-17PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.319707
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2403.4357  0.2605
   00001    0.7064   -3886.9600  0.2719
   00002    0.6268   -4809.8371  0.2771
   00003    0.5592   -5365.1870  0.2801
   00004    0.5460   -5721.7972  0.2868
   00005    0.5344   -6053.6082  0.2982
   00006    0.5100   -6424.6563  0.2927
   00007    0.5032   -6627.2968  0.3010
   00008    0.4804   -6794.0345  0.3163
   00009    0.4556   -6946.0429  0.3157
   00010    0.4768   -7055.5022  0.3245
   00011    0.4744   -7137.9184  0.3302
   00012    0.4832   -7165.5470  0.3336
   00013    0.4708   -7198.5424  0.3323
   00014    0.4624   -7299.8334  0.3280
   00015    0.4728   -7387.1830  0.3330
   00016    0.4408   -7447.9554  0.3418
   00017    0.4460   -7512.9637  0.3480
   00018    0.4564   -7548.6884  0.3487
   00019    0.4620   -7618.6636  0.3615
   00020    0.4432   -7657.7942  0.3597
   00021    0.4700   -7687.5935  0.3700
   00022    0.4516   -7760.0175  0.3769
   00023    0.4336   -7803.1022  0.3877
   00024    0.4260   -7783.6384  0.3929
   00025    0.4388   -7812.5798  0.3957
   00026    0.4480   -7848.3500  0.3908
   00027    0.4332   -7861.9209  0.3844
   00028    0.4356   -7814.1940  0.3815
   00029    0.4292   -7780.1519  0.3813
   00030    0.4300   -7854.4776  0.3898
   00031    0.4412   -7902.4569  0.3989
   00032    0.4292   -7943.4094  0.4039
   00033    0.4424   -7955.5682  0.4069
   00034    0.4284   -7961.5847  0.4042
   00035    0.4260   -8012.7769  0.4071
   00036    0.4380   -8049.0015  0.4072
   00037    0.4284   -8038.8873  0.4160
   00038    0.4244   -8081.7347  0.4235
   00039    0.3992   -8110.6448  0.4338
   00040    0.4208   -8100.4415  0.4337
   00041    0.4236   -8122.5981  0.4396
   00042    0.4144   -8125.0737  0.4373
   00043    0.4164   -8176.6293  0.4452
   00044    0.4156   -8163.5028  0.4451
   00045    0.4148   -8150.4786  0.4416
   00046    0.4248   -8162.9110  0.4412
   00047    0.4116   -8155.3522  0.4390
   00048    0.4224   -8137.3136  0.4421
   00049    0.4100   -8161.1499  0.4467
   00050    0.4256   -8161.9505  0.4506
   00051    0.4312   -8152.9593  0.4504
   00052    0.4392   -8136.2579  0.4539
   00053    0.4284   -8132.6312  0.4523
   00054    0.4244   -8136.7810  0.4533
   00055    0.4200   -8143.7612  0.4546
   00056    0.4408   -8110.2678  0.4583
   00057    0.4356   -8087.2339  0.4557
   00058    0.4140   -8095.8051  0.4624
   00059    0.4188   -8110.7593  0.4628
   00060    0.4192   -8135.8333  0.4685
   00061    0.4064   -8190.6679  0.4705
   00062    0.4264   -8221.8234  0.4725
   00063    0.4204   -8220.8243  0.4733
   00064    0.4036   -8238.3620  0.4711
   00065    0.4152   -8259.9827  0.4733
   00066    0.4232   -8257.3135  0.4774
   00067    0.4248   -8265.5106  0.4743
   00068    0.4096   -8225.2058  0.4725
   00069    0.4188   -8271.2640  0.4845
   00070    0.4372   -8240.8543  0.4846
   00071    0.4164   -8307.9279  0.4845
   00072    0.4216   -8336.0120  0.4882
   00073    0.4016   -8318.8592  0.4887
   00074    0.4280   -8335.8007  0.4865
   00075    0.4300   -8294.0340  0.4876
   00076    0.4080   -8302.3291  0.4876
   00077    0.4376   -8326.3871  0.4888
   00078    0.4132   -8276.8859  0.4855
   00079    0.4124   -8285.8523  0.4902
   00080    0.4368   -8265.7619  0.4826
   00081    0.4364   -8326.0752  0.4863
   00082    0.4144   -8327.0657  0.4788
   00083    0.4328   -8322.1467  0.4743
   00084    0.4084   -8365.6175  0.4826
   00085    0.4144   -8415.7017  0.4877
   00086    0.3976   -8382.5667  0.4868
   00087    0.4060   -8382.2764  0.4892
   00088    0.4204   -8366.3949  0.4890
   00089    0.4152   -8326.6780  0.4920
   00090    0.4100   -8320.9662  0.4962
   00091    0.4348   -8306.9150  0.4939
   00092    0.4256   -8324.1051  0.4969
   00093    0.4288   -8332.8571  0.4989
   00094    0.4204   -8390.1633  0.4938
   00095    0.4044   -8356.2573  0.4979
   00096    0.4112   -8389.4039  0.4975
   00097    0.4128   -8393.6958  0.4950
   00098    0.4112   -8395.1736  0.4982
   00099    0.4124   -8331.9056  0.5007
   00100    0.4320   -8387.4085  0.5006
   00101    0.4240   -8378.5398  0.5105
   00102    0.4332   -8366.4863  0.5026
   00103    0.4252   -8355.9453  0.5053
   00104    0.4024   -8321.5514  0.5021
   00105    0.4152   -8366.0680  0.5035
   00106    0.4192   -8357.4226  0.5028
   00107    0.4300   -8378.1519  0.5066
   00108    0.4012   -8335.6851  0.5122
   00109    0.4268   -8364.3138  0.5216
   00110    0.4208   -8359.5441  0.5235
   00111    0.4180   -8365.9650  0.5273
   00112    0.4360   -8386.5238  0.5331
   00113    0.4096   -8398.9229  0.5389
   00114    0.4160   -8415.8088  0.5322
   00115    0.4088   -8430.2978  0.5349
   00116    0.4068   -8456.9402  0.5417
   00117    0.4064   -8461.2945  0.5416
   00118    0.4136   -8423.1353  0.5377
   00119    0.4000   -8439.3003  0.5460
   00120    0.4368   -8422.9170  0.5499
   00121    0.4080   -8390.9086  0.5504
   00122    0.4128   -8387.9486  0.5411
   00123    0.4276   -8410.4011  0.5472
   00124    0.4076   -8430.5348  0.5486
   00125    0.4008   -8497.7170  0.5476
   00126    0.4036   -8481.2138  0.5494
   00127    0.4196   -8441.8416  0.5511
   00128    0.4204   -8410.5345  0.5472
   00129    0.4096   -8396.7746  0.5439
   00130    0.4052   -8392.3081  0.5426
   00131    0.4032   -8391.4126  0.5399
   00132    0.4196   -8340.8598  0.5387
   00133    0.4196   -8367.8224  0.5308
   00134    0.4156   -8335.7348  0.5337
   00135    0.4048   -8347.0754  0.5324
   00136    0.4164   -8370.5631  0.5326
   00137    0.4140   -8341.7831  0.5243
   00138    0.4248   -8361.1659  0.5128
   00139    0.4112   -8351.7936  0.5156
   00140    0.4232   -8373.2958  0.5155
   00141    0.4136   -8353.8690  0.5213
   00142    0.4028   -8348.2697  0.5236
   00143    0.4064   -8347.9382  0.5301
   00144    0.4056   -8325.3359  0.5357
   00145    0.4144   -8346.4105  0.5433
   00146    0.4244   -8346.7223  0.5385
   00147    0.4356   -8358.8421  0.5359
   00148    0.4224   -8403.9916  0.5328
   00149    0.4156   -8415.8945  0.5333
   00150    0.4164   -8411.8066  0.5362
   00151    0.4224   -8421.4740  0.5363
   00152    0.4108   -8485.8091  0.5363
   00153    0.4196   -8465.0805  0.5336
   00154    0.4208   -8400.6248  0.5338
   00155    0.4248   -8371.0830  0.5331
   00156    0.4160   -8372.6522  0.5287
   00157    0.4240   -8399.2557  0.5255
   00158    0.4272   -8437.9112  0.5283
   00159    0.4224   -8437.3502  0.5299
   00160    0.4212   -8416.0964  0.5247
   00161    0.3980   -8387.1912  0.5267
   00162    0.4080   -8400.9565  0.5312
   00163    0.4064   -8396.5324  0.5200
   00164    0.4056   -8386.5315  0.5220
   00165    0.4120   -8394.6628  0.5257
   00166    0.4088   -8375.4378  0.5296
   00167    0.4240   -8382.6623  0.5369
   00168    0.4156   -8383.7484  0.5452
   00169    0.4168   -8298.1192  0.5452
   00170    0.4128   -8313.1552  0.5442
