#=====================================================
# File created:        Fri-14-Feb-2025-at-06-23-10PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        38.618180
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2557.4026  0.2631
   00001    0.6644   -3782.3141  0.2788
   00002    0.6280   -4491.7089  0.2846
   00003    0.5796   -5101.3955  0.2895
   00004    0.5648   -5536.6526  0.2952
   00005    0.5472   -5862.5428  0.3059
   00006    0.5168   -6118.3454  0.3020
   00007    0.5136   -6370.0176  0.3084
   00008    0.4892   -6545.0244  0.3058
   00009    0.4868   -6692.3732  0.2961
   00010    0.4692   -6855.4218  0.2931
   00011    0.4848   -6932.2605  0.2945
   00012    0.4720   -7084.3405  0.2961
   00013    0.4636   -7168.5178  0.2931
   00014    0.4748   -7210.1814  0.2880
   00015    0.4584   -7320.3555  0.2944
   00016    0.4756   -7309.4379  0.2904
   00017    0.4688   -7378.8380  0.2892
   00018    0.4556   -7398.2607  0.2812
   00019    0.4536   -7447.8620  0.2764
   00020    0.4456   -7469.8000  0.2707
   00021    0.4440   -7535.9527  0.2697
   00022    0.4544   -7532.8948  0.2708
   00023    0.4456   -7546.8150  0.2662
   00024    0.4420   -7624.0963  0.2680
   00025    0.4404   -7637.9111  0.2698
   00026    0.4536   -7649.5567  0.2752
   00027    0.4232   -7706.8964  0.2813
   00028    0.4308   -7719.6821  0.2682
   00029    0.4416   -7743.1900  0.2666
   00030    0.4400   -7791.0587  0.2682
   00031    0.4424   -7795.5037  0.2709
   00032    0.4272   -7843.6814  0.2683
   00033    0.4360   -7904.8165  0.2744
   00034    0.4356   -7935.3799  0.2722
   00035    0.4244   -7907.1975  0.2810
   00036    0.4284   -7930.0905  0.2785
   00037    0.4196   -7974.1115  0.2737
   00038    0.4172   -7952.0322  0.2714
   00039    0.4368   -7972.6740  0.2764
   00040    0.4188   -7992.8420  0.2783
   00041    0.4284   -8030.5712  0.2781
   00042    0.4208   -8028.1458  0.2767
   00043    0.4360   -8087.4608  0.2755
   00044    0.4208   -8102.8261  0.2864
   00045    0.4248   -8070.1640  0.2871
   00046    0.4320   -8107.8117  0.2833
