#=====================================================
# File created:        Mon-17-Feb-2025-at-05-16-04PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        0.826891
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.2711
   00001    0.6932   -3903.6636  0.2828
   00002    0.6144   -4793.3012  0.2916
   00003    0.5788   -5318.3947  0.2878
   00004    0.5444   -5730.5860  0.2856
   00005    0.5272   -6046.6770  0.2803
   00006    0.5228   -6254.4677  0.2904
   00007    0.5080   -6507.3692  0.2927
   00008    0.4888   -6749.2906  0.2979
   00009    0.4772   -6857.8051  0.3091
   00010    0.4868   -7008.8927  0.3095
   00011    0.4552   -7138.0752  0.3114
   00012    0.4568   -7264.7790  0.3151
   00013    0.4568   -7277.5620  0.3204
   00014    0.4432   -7365.7728  0.3286
   00015    0.4628   -7401.5132  0.3437
   00016    0.4604   -7448.5642  0.3477
   00017    0.4608   -7550.7300  0.3556
   00018    0.4528   -7566.4173  0.3556
   00019    0.4488   -7594.0904  0.3568
   00020    0.4464   -7646.2015  0.3509
   00021    0.4372   -7670.7791  0.3639
   00022    0.4336   -7672.1552  0.3634
   00023    0.4268   -7757.7254  0.3633
   00024    0.4408   -7780.8955  0.3692
   00025    0.4356   -7900.3376  0.3720
   00026    0.4344   -7971.0997  0.3734
   00027    0.4364   -8001.1582  0.3780
   00028    0.4424   -8003.2308  0.3783
   00029    0.4160   -7984.6889  0.3856
   00030    0.4180   -7993.0202  0.3829
   00031    0.4396   -7988.3405  0.3781
   00032    0.4408   -8049.2008  0.3828
   00033    0.4344   -8090.9858  0.3828
   00034    0.4324   -8104.6266  0.3730
   00035    0.4316   -8084.5063  0.3780
   00036    0.4420   -8064.6600  0.3791
   00037    0.4296   -8107.6610  0.3793
   00038    0.4276   -8120.0509  0.3824
   00039    0.4192   -8138.9332  0.3850
   00040    0.4324   -8181.7609  0.3813
   00041    0.4364   -8157.4338  0.3881
   00042    0.4252   -8157.7094  0.3922
   00043    0.4228   -8188.2184  0.3917
   00044    0.4244   -8199.9079  0.3946
   00045    0.4160   -8204.9611  0.3937
   00046    0.4144   -8244.0886  0.3868
   00047    0.4220   -8228.8847  0.3881
   00048    0.4216   -8208.0850  0.3945
   00049    0.4336   -8223.0572  0.3890
   00050    0.4348   -8225.0748  0.3871
   00051    0.4160   -8243.9466  0.3867
   00052    0.4192   -8222.3628  0.3815
   00053    0.4196   -8224.8856  0.3800
   00054    0.4340   -8297.7334  0.3849
   00055    0.4320   -8323.1089  0.3861
   00056    0.4096   -8282.7546  0.3897
   00057    0.4000   -8296.1298  0.3921
   00058    0.4228   -8319.9464  0.4005
   00059    0.3992   -8321.7216  0.4036
   00060    0.4236   -8353.5841  0.3922
   00061    0.4388   -8335.4889  0.3893
   00062    0.4188   -8322.0737  0.3870
   00063    0.4384   -8288.6264  0.3901
   00064    0.4168   -8291.7169  0.3985
   00065    0.4144   -8251.6655  0.3976
   00066    0.4276   -8285.1807  0.3992
   00067    0.4228   -8307.1174  0.4019
   00068    0.4240   -8312.7789  0.3954
   00069    0.4180   -8345.4447  0.3971
   00070    0.4216   -8329.2028  0.3978
   00071    0.4300   -8354.7517  0.3996
   00072    0.4172   -8371.2360  0.4034
   00073    0.4164   -8387.1195  0.4047
   00074    0.4132   -8367.5271  0.4039
   00075    0.4248   -8288.9834  0.3986
   00076    0.4152   -8264.6844  0.3955
   00077    0.4164   -8247.5778  0.3908
   00078    0.4168   -8250.0181  0.3917
   00079    0.4076   -8328.0047  0.3880
   00080    0.4160   -8352.3663  0.3911
   00081    0.4408   -8286.9385  0.3852
   00082    0.4164   -8255.8943  0.3934
   00083    0.4364   -8239.6343  0.3953
   00084    0.4176   -8275.4269  0.3943
   00085    0.4124   -8309.4388  0.3998
   00086    0.4128   -8302.6273  0.4011
   00087    0.4120   -8332.8980  0.4019
   00088    0.4164   -8327.7313  0.3975
   00089    0.4220   -8302.2073  0.3964
   00090    0.4216   -8335.0099  0.3984
   00091    0.4176   -8350.2869  0.3991
   00092    0.4096   -8356.0058  0.4006
   00093    0.4184   -8384.5596  0.4116
   00094    0.4180   -8325.5831  0.4183
   00095    0.4284   -8368.7743  0.4130
   00096    0.4200   -8360.2612  0.4190
   00097    0.4248   -8337.9641  0.4195
   00098    0.4212   -8362.4524  0.4233
   00099    0.4132   -8371.7891  0.4300
   00100    0.4124   -8374.0166  0.4396
   00101    0.4120   -8399.5068  0.4362
   00102    0.4156   -8368.4849  0.4370
   00103    0.4248   -8369.1670  0.4369
   00104    0.4244   -8354.8845  0.4308
   00105    0.4036   -8345.0661  0.4332
   00106    0.4044   -8312.5749  0.4323
   00107    0.4108   -8332.1055  0.4301
   00108    0.4024   -8330.0856  0.4352
   00109    0.4040   -8328.9778  0.4333
   00110    0.4100   -8321.5274  0.4279
   00111    0.4220   -8328.9525  0.4282
   00112    0.4316   -8331.3837  0.4204
   00113    0.4092   -8344.9333  0.4206
   00114    0.4028   -8322.9484  0.4239
   00115    0.4144   -8362.2898  0.4222
   00116    0.3996   -8387.8892  0.4269
   00117    0.4096   -8393.4043  0.4303
   00118    0.4016   -8409.7480  0.4342
   00119    0.4072   -8386.4555  0.4318
   00120    0.4216   -8381.8589  0.4411
   00121    0.4064   -8366.4064  0.4426
   00122    0.4144   -8422.1307  0.4499
   00123    0.4216   -8373.1329  0.4559
   00124    0.4048   -8394.1390  0.4541
   00125    0.4068   -8429.2343  0.4483
   00126    0.4340   -8422.4443  0.4586
   00127    0.3972   -8428.3483  0.4584
   00128    0.4316   -8402.0557  0.4623
   00129    0.4164   -8409.8473  0.4613
   00130    0.4216   -8408.9585  0.4640
   00131    0.4276   -8432.1574  0.4664
   00132    0.4148   -8410.8441  0.4636
   00133    0.4192   -8450.0811  0.4604
   00134    0.4104   -8404.5088  0.4575
   00135    0.4128   -8406.4423  0.4542
   00136    0.4160   -8387.4146  0.4526
   00137    0.4136   -8458.4183  0.4564
   00138    0.4200   -8414.9084  0.4513
   00139    0.4240   -8375.9463  0.4501
   00140    0.4256   -8389.4346  0.4506
   00141    0.4064   -8375.1027  0.4451
   00142    0.4184   -8383.9502  0.4463
   00143    0.4136   -8421.4491  0.4441
   00144    0.4288   -8396.1733  0.4513
   00145    0.4008   -8426.5907  0.4537
   00146    0.4012   -8433.3069  0.4573
   00147    0.4084   -8452.5967  0.4566
   00148    0.4044   -8382.7790  0.4554
   00149    0.4172   -8424.1626  0.4567
   00150    0.3944   -8417.7355  0.4552
   00151    0.4068   -8442.5539  0.4527
   00152    0.4244   -8397.3080  0.4548
   00153    0.4104   -8371.0554  0.4556
   00154    0.4176   -8397.2450  0.4507
   00155    0.4196   -8421.9376  0.4504
   00156    0.4288   -8370.1090  0.4511
   00157    0.4152   -8365.7932  0.4514
   00158    0.4152   -8396.4682  0.4509
   00159    0.4036   -8380.5131  0.4517
   00160    0.4152   -8388.0227  0.4489
   00161    0.4208   -8434.6612  0.4553
   00162    0.4212   -8389.4092  0.4523
   00163    0.4144   -8376.5448  0.4431
   00164    0.4092   -8422.5914  0.4379
   00165    0.4208   -8446.0326  0.4441
   00166    0.3992   -8423.0646  0.4418
   00167    0.4176   -8386.0147  0.4422
   00168    0.4256   -8431.7966  0.4468
   00169    0.4124   -8418.2332  0.4501
   00170    0.4216   -8390.7508  0.4448
   00171    0.4280   -8392.0319  0.4362
   00172    0.4136   -8372.0406  0.4366
   00173    0.4020   -8396.0998  0.4342
   00174    0.4108   -8417.5699  0.4375
   00175    0.4128   -8462.4499  0.4476
   00176    0.4208   -8421.9068  0.4444
   00177    0.4116   -8389.4884  0.4508
   00178    0.4176   -8405.9122  0.4486
   00179    0.4100   -8425.2964  0.4445
   00180    0.4292   -8443.0141  0.4402
   00181    0.4152   -8423.7643  0.4410
   00182    0.4128   -8417.5516  0.4422
   00183    0.4196   -8415.3163  0.4441
   00184    0.4264   -8431.0556  0.4440
   00185    0.4052   -8412.0540  0.4404
   00186    0.4016   -8464.4479  0.4447
   00187    0.4236   -8436.9067  0.4379
   00188    0.4300   -8454.4092  0.4443
   00189    0.4032   -8467.3673  0.4378
   00190    0.4244   -8451.1406  0.4375
   00191    0.4036   -8455.6131  0.4394
   00192    0.4200   -8486.0299  0.4411
   00193    0.4112   -8465.4542  0.4429
   00194    0.4152   -8530.6700  0.4507
   00195    0.4060   -8522.4229  0.4536
   00196    0.4012   -8508.4295  0.4483
   00197    0.4184   -8488.7392  0.4474
   00198    0.4112   -8481.9143  0.4486
   00199    0.4100   -8455.2468  0.4485
   00200    0.4080   -8450.6290  0.4510
   00201    0.3940   -8464.1515  0.4498
   00202    0.4036   -8511.5371  0.4455
   00203    0.4160   -8474.9433  0.4416
   00204    0.3896   -8461.3422  0.4371
   00205    0.4016   -8417.1577  0.4435
   00206    0.4036   -8425.0037  0.4413
   00207    0.4104   -8433.1249  0.4421
   00208    0.4016   -8466.7753  0.4414
   00209    0.4188   -8442.6330  0.4388
   00210    0.4168   -8424.3042  0.4449
   00211    0.4132   -8441.7933  0.4507
   00212    0.4300   -8409.2556  0.4532
   00213    0.4128   -8427.0018  0.4563
   00214    0.4052   -8428.8124  0.4571
   00215    0.4180   -8398.6774  0.4590
   00216    0.4076   -8447.5334  0.4584
   00217    0.4056   -8489.9475  0.4540
   00218    0.4228   -8470.9689  0.4515
   00219    0.4160   -8459.1490  0.4575
   00220    0.4088   -8441.5872  0.4569
   00221    0.4192   -8421.4585  0.4618
   00222    0.4260   -8418.1632  0.4543
   00223    0.4128   -8383.0269  0.4561
   00224    0.4088   -8379.9533  0.4629
   00225    0.4180   -8468.9535  0.4662
   00226    0.4176   -8489.0181  0.4633
   00227    0.4048   -8498.6233  0.4621
   00228    0.4192   -8511.4468  0.4598
   00229    0.4076   -8484.1224  0.4536
   00230    0.4232   -8482.5328  0.4586
   00231    0.4084   -8483.8486  0.4627
   00232    0.3952   -8493.2149  0.4695
   00233    0.4052   -8518.0234  0.4666
   00234    0.4064   -8521.6507  0.4673
