lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.525, Time: 33.687183 s
         4000197 function calls (3976313 primitive calls) in 36.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2505000   19.411    0.000   19.411    0.000 lebwohl_lasher.py:210(cell_energy)
      501    8.059    0.016    8.204    0.016 lebwohl_lasher.py:310(calculate_order)
      500    6.784    0.014   26.175    0.052 lebwohl_lasher.py:355(monte_carlo_step)
      8/4    0.216    0.027    0.386    0.097 backend_agg.py:206(get_text_width_height_descent)
      501    0.113    0.000    0.205    0.000 lebwohl_lasher.py:271(total_energy)
     1528    0.105    0.000    0.105    0.000 {built-in method posix.stat}
  484/482    0.102    0.000    0.108    0.000 {method 'call' of '_tkinter.tkapp' objects}
        2    0.091    0.046    0.091    0.046 {built-in method _tkinter.create}
     7554    0.070    0.000    0.131    0.000 inspect.py:879(cleandoc)
     2004    0.062    0.000    0.076    0.000 numeric.py:1185(roll)
      313    0.062    0.000    0.062    0.000 {built-in method marshal.loads}
      8/4    0.056    0.007    0.659    0.165 text.py:73(_get_text_metrics_with_cache_impl)
      501    0.055    0.000    0.109    0.000 _linalg.py:1345(eig)
        2    0.046    0.023    0.046    0.023 collections.py:352(draw)
     3806    0.039    0.000    0.039    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    80797    0.031    0.000    0.034    0.000 {built-in method builtins.getattr}
      227    0.029    0.000    0.086    0.000 artist.py:1433(get_aliases)
    48/47    0.025    0.001    0.033    0.001 {built-in method _imp.create_dynamic}
189511/188404    0.023    0.000    0.024    0.000 {built-in method builtins.len}
      456    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
    98701    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
1194/1106    0.020    0.000    0.456    0.000 {built-in method builtins.__build_class__}
    10248    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
    79021    0.018    0.000    0.024    0.000 {built-in method builtins.isinstance}
     4409    0.018    0.000    0.174    0.000 artist.py:1461(get_valid_values)
23468/23434    0.017    0.000    0.021    0.000 {built-in method builtins.hasattr}
      227    0.017    0.000    0.058    0.000 artist.py:1511(get_setters)
    89408    0.016    0.000    0.016    0.000 {method 'lstrip' of 'str' objects}
        1    0.015    0.015    0.015    0.015 _triinterpolate.py:1(<module>)
    63516    0.014    0.000    0.014    0.000 {built-in method builtins.min}
     5099    0.014    0.000    0.033    0.000 __init__.py:133(check_shape)
      583    0.014    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
    15837    0.012    0.000    0.018    0.000 __init__.py:698(_get)
     5096    0.012    0.000    0.032    0.000 path.py:202(_update_values)
     6875    0.012    0.000    0.020    0.000 inspect.py:2729(__init__)
16767/16760    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
      313    0.010    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        4    0.010    0.002    0.093    0.023 collections.py:1215(set_verts)
        4    0.009    0.002    0.009    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
       72    0.009    0.000    0.009    0.000 lines.py:744(draw)
    15507    0.009    0.000    0.027    0.000 __init__.py:778(__getitem__)
    40261    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
  485/233    0.009    0.000    0.022    0.000 _parser.py:512(_parse)
     2004    0.009    0.000    0.011    0.000 numeric.py:1388(normalize_axis_tuple)
      658    0.009    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
     5096    0.008    0.000    0.085    0.000 path.py:99(__init__)
      501    0.008    0.000    0.013    0.000 shape_base.py:221(vstack)
     7512    0.008    0.000    0.115    0.000 inspect.py:860(getdoc)
     1741    0.008    0.000    0.030    0.000 fromnumeric.py:69(_wrapreduction)
      695    0.008    0.000    0.024    0.000 inspect.py:2368(_signature_from_function)
    27822    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
      965    0.008    0.000    0.011    0.000 inspect.py:3015(__init__)
  4900/84    0.008    0.000    0.023    0.000 copy.py:118(deepcopy)
     9386    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
    15300    0.008    0.000    0.008    0.000 __init__.py:153(<genexpr>)
     6995    0.007    0.000    0.053    0.000 __init__.py:280(_compile)
      313    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
      482    0.007    0.000    0.011    0.000 enum.py:249(__set_name__)
      120    0.006    0.000    0.215    0.002 artist.py:1593(pprint_setters)
    15837    0.006    0.000    0.006    0.000 {function RcParams.__getitem__ at 0x7f66829e4860}
4767/4285    0.006    0.000    0.017    0.000 {built-in method __new__ of type object at 0x562d36447300}
     5695    0.006    0.000    0.014    0.000 {built-in method builtins.any}
       38    0.006    0.000    0.015    0.000 backend_agg.py:248(_prepare_font)
      526    0.005    0.000    0.026    0.000 artist.py:1188(_update_props)
     1630    0.005    0.000    0.007    0.000 typing.py:1169(__setattr__)
        1    0.005    0.005    0.008    0.008 getlimits.py:166(_register_known_types)
    16684    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
     4409    0.005    0.000    0.013    0.000 artist.py:1549(aliased_name)
      313    0.005    0.000    0.110    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     7566    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
  797/728    0.005    0.000    0.033    0.000 inspect.py:2463(_signature_from_callable)
 1044/209    0.005    0.000    0.011    0.000 _compiler.py:37(_compile)
      515    0.005    0.000    0.008    0.000 fromnumeric.py:89(_wrapreduction_any_all)
      501    0.005    0.000    0.006    0.000 numeric.py:65(zeros_like)
      445    0.005    0.000    0.009    0.000 core.py:519(copy)
     6474    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
       52    0.005    0.000    0.005    0.000 {built-in method _io.open}
      501    0.005    0.000    0.019    0.000 _linalg.py:204(_assert_finite)
      250    0.005    0.000    0.011    0.000 fromnumeric.py:51(_wrapfunc)
     1035    0.005    0.000    0.005    0.000 {method '__reduce_ex__' of 'object' objects}
     8061    0.004    0.000    0.011    0.000 enum.py:713(__call__)
      106    0.004    0.000    0.332    0.003 artist.py:158(_update_set_signature_and_docstring)
     3451    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      505    0.004    0.000    0.006    0.000 _linalg.py:148(_commonType)
       63    0.004    0.000    0.008    0.000 {built-in method builtins.eval}
     1388    0.004    0.000    0.009    0.000 cbook.py:348(process)
       34    0.004    0.000    1.478    0.043 __init__.py:1(<module>)
    48/45    0.004    0.000    0.013    0.000 {built-in method _imp.exec_dynamic}
       31    0.004    0.000    0.044    0.001 __init__.py:884(_rc_params_in_file)
    329/0    0.004    0.000    0.000          {built-in method builtins.exec}
      386    0.004    0.000    0.139    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      710    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap>:304(acquire)
   392/14    0.004    0.000    1.036    0.074 <frozen importlib._bootstrap>:1349(_find_and_load)
      502    0.004    0.000    0.006    0.000 _twodim_base_impl.py:163(eye)
     5933    0.004    0.000    0.046    0.000 __init__.py:174(search)
      699    0.004    0.000    0.011    0.000 functools.py:35(update_wrapper)
      178    0.004    0.000    0.006    0.000 fromnumeric.py:41(_wrapit)
     1611    0.004    0.000    0.011    0.000 copy.py:61(copy)
