lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.629, Time: 1.319707 s
         1544603 function calls (1520807 primitive calls) in 2.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2503    0.578    0.000    0.833    0.000 lebwohl_lasher.py:206(lattice_energies)
     1000    0.204    0.000    0.864    0.001 lebwohl_lasher.py:312(mc_step_worker)
    10012    0.196    0.000    0.242    0.000 numeric.py:1185(roll)
      8/4    0.143    0.018    0.251    0.063 backend_agg.py:206(get_text_width_height_descent)
     1528    0.104    0.000    0.104    0.000 {built-in method posix.stat}
        2    0.085    0.043    0.085    0.043 {built-in method _tkinter.create}
      500    0.080    0.000    0.966    0.002 lebwohl_lasher.py:376(monte_carlo_step)
  396/394    0.075    0.000    0.082    0.000 {method 'call' of '_tkinter.tkapp' objects}
      501    0.069    0.000    0.161    0.000 lebwohl_lasher.py:262(calculate_order)
     7554    0.061    0.000    0.112    0.000 inspect.py:879(cleandoc)
      313    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
     4807    0.045    0.000    0.045    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      8/4    0.043    0.005    0.465    0.116 text.py:73(_get_text_metrics_with_cache_impl)
    10012    0.031    0.000    0.036    0.000 numeric.py:1388(normalize_axis_tuple)
        2    0.030    0.015    0.030    0.015 collections.py:352(draw)
     2244    0.026    0.000    0.047    0.000 fromnumeric.py:69(_wrapreduction)
    48/47    0.026    0.001    0.032    0.001 {built-in method _imp.create_dynamic}
      501    0.025    0.000    0.040    0.000 _linalg.py:1502(eigh)
      227    0.022    0.000    0.070    0.000 artist.py:1433(get_aliases)
    79533    0.018    0.000    0.020    0.000 {built-in method builtins.getattr}
189422/188315    0.018    0.000    0.018    0.000 {built-in method builtins.len}
    10248    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
      456    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
1194/1106    0.017    0.000    0.368    0.000 {built-in method builtins.__build_class__}
    98701    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
    79055    0.015    0.000    0.022    0.000 {built-in method builtins.isinstance}
      227    0.014    0.000    0.045    0.000 artist.py:1511(get_setters)
    89408    0.013    0.000    0.013    0.000 {method 'lstrip' of 'str' objects}
      583    0.013    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
     4409    0.012    0.000    0.146    0.000 artist.py:1461(get_valid_values)
    63516    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        1    0.011    0.011    0.011    0.011 _triinterpolate.py:1(<module>)
     5099    0.010    0.000    0.023    0.000 __init__.py:133(check_shape)
       72    0.009    0.000    0.009    0.000 lines.py:744(draw)
     6875    0.009    0.000    0.016    0.000 inspect.py:2729(__init__)
16767/16760    0.009    0.000    0.011    0.000 {method 'join' of 'str' objects}
      500    0.009    0.000    0.015    0.000 numeric.py:1753(indices)
  485/233    0.008    0.000    0.021    0.000 _parser.py:512(_parse)
      313    0.008    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        4    0.008    0.002    0.008    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
    15507    0.008    0.000    0.017    0.000 __init__.py:778(__getitem__)
    38758    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    24606    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
  4900/84    0.007    0.000    0.018    0.000 copy.py:118(deepcopy)
22967/22933    0.007    0.000    0.011    0.000 {built-in method builtins.hasattr}
    15300    0.007    0.000    0.007    0.000 __init__.py:153(<genexpr>)
     5096    0.007    0.000    0.052    0.000 path.py:99(__init__)
    27778    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     9342    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
      658    0.006    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      695    0.006    0.000    0.019    0.000 inspect.py:2368(_signature_from_function)
     7512    0.006    0.000    0.098    0.000 inspect.py:860(getdoc)
     2004    0.006    0.000    0.053    0.000 fromnumeric.py:2349(sum)
     6995    0.006    0.000    0.048    0.000 __init__.py:280(_compile)
     5096    0.006    0.000    0.017    0.000 path.py:202(_update_values)
     1601    0.005    0.000    0.005    0.000 {built-in method numpy.array}
       38    0.005    0.000    0.015    0.000 backend_agg.py:248(_prepare_font)
        2    0.005    0.003    0.005    0.003 {built-in method matplotlib.backends._tkagg.blit}
        4    0.005    0.001    0.055    0.014 collections.py:1215(set_verts)
    15837    0.005    0.000    0.009    0.000 __init__.py:698(_get)
      965    0.005    0.000    0.007    0.000 inspect.py:3015(__init__)
4767/4285    0.005    0.000    0.014    0.000 {built-in method __new__ of type object at 0x559bbaee2300}
      313    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
      120    0.005    0.000    0.180    0.001 artist.py:1593(pprint_setters)
    11020    0.005    0.000    0.005    0.000 {built-in method numpy.asanyarray}
      482    0.005    0.000    0.009    0.000 enum.py:249(__set_name__)
     4409    0.005    0.000    0.011    0.000 artist.py:1549(aliased_name)
     5695    0.005    0.000    0.012    0.000 {built-in method builtins.any}
      526    0.004    0.000    0.020    0.000 artist.py:1188(_update_props)
     7566    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
 1044/209    0.004    0.000    0.010    0.000 _compiler.py:37(_compile)
    15837    0.004    0.000    0.004    0.000 {function RcParams.__getitem__ at 0x7fc3ec2ac720}
    48/45    0.004    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
     3451    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
  797/728    0.004    0.000    0.027    0.000 inspect.py:2463(_signature_from_callable)
    329/0    0.004    0.000    0.000          {built-in method builtins.exec}
       63    0.004    0.000    0.006    0.000 {built-in method builtins.eval}
     6430    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
     5933    0.004    0.000    0.040    0.000 __init__.py:174(search)
     8017    0.003    0.000    0.008    0.000 enum.py:713(__call__)
     1611    0.003    0.000    0.010    0.000 copy.py:61(copy)
     1524    0.003    0.000    0.024    0.000 {method 'sum' of 'numpy.ndarray' objects}
      106    0.003    0.000    0.270    0.003 artist.py:158(_update_set_signature_and_docstring)
       31    0.003    0.000    0.032    0.001 __init__.py:884(_rc_params_in_file)
      710    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:304(acquire)
      386    0.003    0.000    0.132    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1071    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
     5286    0.003    0.000    0.006    0.000 cbook.py:1337(_to_unmasked_float_array)
      108    0.003    0.000    0.022    0.000 lines.py:287(__init__)
   392/14    0.003    0.000    0.861    0.061 <frozen importlib._bootstrap>:1349(_find_and_load)
       52    0.003    0.000    0.003    0.000 {built-in method _io.open}
    10018    0.003    0.000    0.003    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
 1971/382    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
    33648    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     4908    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
      412    0.003    0.000    0.004    0.000 cbook.py:1742(normalize_kwargs)
     65/3    0.003    0.000    1.277    0.426 text.py:358(_get_layout)
     1344    0.003    0.000    0.005    0.000 cbook.py:348(process)
      596    0.003    0.000    0.006    0.000 enum.py:383(__setitem__)
     1035    0.003    0.000    0.012    0.000 copy.py:247(_reconstruct)
     1339    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      699    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
       44    0.003    0.000    0.006    0.000 __init__.py:355(namedtuple)
      313    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     6563    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
    10471    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     1148    0.002    0.000    0.003    0.000 cbook.py:2010(_setattr_cm)
      252    0.002    0.000    0.004    0.000 artist.py:179(__init__)
       36    0.002    0.000    0.052    0.001 axis.py:59(__init__)
     7500    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
      626    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
   336/84    0.002    0.000    0.018    0.000 copy.py:217(_deepcopy_dict)
6678/6152    0.002    0.000    0.003    0.000 artist.py:315(stale)
     2718    0.002    0.000    0.003    0.000 __init__.py:100(check_in_list)
       34    0.002    0.000    1.164    0.034 __init__.py:1(<module>)
    10057    0.002    0.000    0.002    0.000 {built-in method _operator.index}
      631    0.002    0.000    0.004    0.000 typing.py:1587(__hash__)
     8010    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
      710    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
       60    0.002    0.000    0.007    0.000 lines.py:672(recache)
    10012    0.002    0.000    0.002    0.000 numeric.py:1181(_roll_dispatcher)
     9764    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      505    0.002    0.000    0.003    0.000 _linalg.py:148(_commonType)
     1630    0.002    0.000    0.004    0.000 typing.py:1169(__setattr__)
       12    0.002    0.000    0.002    0.000 backend_agg.py:93(draw_path)
     1035    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      710    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      710    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
2254/2074    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
   389/14    0.002    0.000    0.860    0.061 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
 1240/409    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
       92    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     5621    0.002    0.000    0.002    0.000 typing.py:1577(<genexpr>)
      261    0.002    0.000    0.002    0.000 _shape_base_impl.py:633(column_stack)
     1098    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6243    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
    10012    0.002    0.000    0.002    0.000 multiarray.py:82(empty_like)
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
      528    0.002    0.000    0.002    0.000 font_manager.py:700(__hash__)
      348    0.002    0.000    0.002    0.000 transforms.py:179(set_children)
       24    0.002    0.000    0.003    0.000 util.py:209(_collapse_string_to_ranges)
      894    0.002    0.000    0.011    0.000 colors.py:277(to_rgba)
      441    0.002    0.000    0.004    0.000 typing.py:175(_type_check)
       24    0.002    0.000    0.011    0.000 ticker.py:2157(_raw_ticks)
     7315    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      366    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1111    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
 1971/382    0.001    0.000    0.005    0.000 <frozen abc>:121(__subclasscheck__)
     2703    0.001    0.000    0.003    0.000 cbook.py:468(_strip_comment)
      383    0.001    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
     5101    0.001    0.000    0.002    0.000 _parser.py:261(get)
      511    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        2    0.001    0.001    0.002    0.001 quiver.py:653(_make_verts)
      521    0.001    0.000    0.004    0.000 _ufunc_config.py:441(__enter__)
      649    0.001    0.000    0.002    0.000 contextlib.py:104(__init__)
      144    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
     1524    0.001    0.000    0.020    0.000 _methods.py:51(_sum)
     2255    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
   366/14    0.001    0.000    0.857    0.061 <frozen importlib._bootstrap>:911(_load_unlocked)
     2178    0.001    0.000    0.003    0.000 typing.py:1117(_is_dunder)
      242    0.001    0.000    0.004    0.000 typing.py:262(_collect_parameters)
       33    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      168    0.001    0.000    0.003    0.000 artist.py:1167(update_from)
      237    0.001    0.000    0.010    0.000 typing.py:1223(__init__)
     6194    0.001    0.000    0.001    0.000 _parser.py:240(__next)
      346    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       44    0.001    0.000    0.013    0.000 enum.py:515(__new__)
      793    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
      710    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
1747/1651    0.001    0.000    0.009    0.000 {built-in method builtins.next}
     8105    0.001    0.000    0.001    0.000 {built-in method builtins.id}
  124/104    0.001    0.000    0.002    0.000 transforms.py:2431(get_affine)
       94    0.001    0.000    0.010    0.000 text.py:157(_reset_visual_defaults)
     2090    0.001    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
      888    0.001    0.000    0.002    0.000 transforms.py:1769(__init__)
     7097    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      266    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      361    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4604    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      715    0.001    0.000    0.006    0.000 {method 'max' of 'numpy.ndarray' objects}
      710    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        4    0.001    0.000    0.001    0.000 _linalg.py:499(inv)
   450/68    0.001    0.000    0.699    0.010 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       24    0.001    0.000    0.001    0.000 ticker.py:1982(scale_range)
      522    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
  435/209    0.001    0.000    0.022    0.000 _parser.py:452(_parse_sub)
      853    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
      505    0.001    0.000    0.002    0.000 _linalg.py:123(_makearray)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        9    0.001    0.000    0.002    0.000 enum.py:1682(convert_class)
     3287    0.001    0.000    0.001    0.000 inspect.py:3062(<genexpr>)
      264    0.001    0.000    0.023    0.000 markers.py:299(_set_marker)
      961    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     2317    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.006    0.006 lebwohl_lasher.py:146(save_data)
     5702    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       22    0.001    0.000    0.007    0.000 typing.py:2758(__new__)
      313    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1114    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     2569    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      209    0.001    0.000    0.038    0.000 _compiler.py:740(compile)
     2653    0.001    0.000    0.002    0.000 _parser.py:176(append)
      560    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
   433/27    0.001    0.000    0.701    0.026 {built-in method builtins.__import__}
      697    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      982    0.001    0.000    0.023    0.000 __init__.py:748(__setitem__)
      209    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
   313/14    0.001    0.000    0.856    0.061 <frozen importlib._bootstrap_external>:989(exec_module)
      626    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      238    0.001    0.000    0.001    0.000 core.py:457(__init__)
