lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.409, Time: 38.618180 s
         5246196 function calls (5222027 primitive calls) in 41.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3757500   25.182    0.000   25.182    0.000 lebwohl_lasher.py:212(cell_energy)
      501    7.183    0.014    7.345    0.015 lebwohl_lasher.py:305(calculate_order)
      500    5.750    0.012   22.896    0.046 lebwohl_lasher.py:350(monte_carlo_step)
      501    0.408    0.001    8.421    0.017 lebwohl_lasher.py:273(total_energy)
      583    0.256    0.000    0.256    0.000 {method 'read' of '_io.BufferedReader' objects}
      8/4    0.196    0.024    0.415    0.104 backend_agg.py:206(get_text_width_height_descent)
    48/47    0.134    0.003    0.145    0.003 {built-in method _imp.create_dynamic}
        2    0.133    0.067    0.133    0.067 {built-in method _tkinter.create}
      313    0.124    0.000    0.124    0.000 {built-in method marshal.loads}
     1528    0.101    0.000    0.101    0.000 {built-in method posix.stat}
  541/539    0.087    0.000    0.098    0.000 {method 'call' of '_tkinter.tkapp' objects}
      8/4    0.083    0.010    0.795    0.199 text.py:73(_get_text_metrics_with_cache_impl)
     7554    0.063    0.000    0.120    0.000 inspect.py:879(cleandoc)
      501    0.056    0.000    0.105    0.000 _linalg.py:1345(eig)
        2    0.033    0.017    0.033    0.017 collections.py:352(draw)
     3362    0.027    0.000    0.027    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    80992    0.024    0.000    0.027    0.000 {built-in method builtins.getattr}
      227    0.024    0.000    0.077    0.000 artist.py:1433(get_aliases)
       31    0.021    0.001    0.060    0.002 __init__.py:884(_rc_params_in_file)
1194/1106    0.020    0.000    0.408    0.000 {built-in method builtins.__build_class__}
189574/188467    0.020    0.000    0.020    0.000 {built-in method builtins.len}
    10248    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
      456    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
       33    0.017    0.001    0.017    0.001 {built-in method posix.listdir}
