#=====================================================
# File created:        Sat-22-Feb-2025-at-08-24-18PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        3.974497
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22485.6076  0.2512
   00001    0.6780  -33535.9288  0.2561
   00002    0.6301  -40459.7310  0.2565
   00003    0.5844  -45608.5697  0.2570
   00004    0.5551  -49387.9714  0.2563
   00005    0.5443  -52504.2850  0.2578
   00006    0.5168  -54737.4490  0.2605
   00007    0.5035  -56914.6443  0.2596
   00008    0.4949  -58670.6295  0.2611
   00009    0.4865  -60296.4370  0.2590
   00010    0.4896  -61647.2969  0.2584
   00011    0.4771  -62875.2017  0.2609
   00012    0.4755  -63741.1256  0.2637
   00013    0.4687  -64457.7673  0.2646
   00014    0.4616  -65288.1909  0.2635
   00015    0.4564  -65986.4020  0.2604
   00016    0.4609  -66596.6294  0.2609
   00017    0.4523  -66979.0389  0.2615
   00018    0.4573  -67485.2278  0.2631
   00019    0.4450  -67979.9121  0.2630
   00020    0.4526  -68262.3085  0.2629
   00021    0.4431  -68607.7565  0.2614
   00022    0.4512  -69036.7536  0.2594
   00023    0.4385  -69416.8672  0.2595
   00024    0.4406  -69727.8883  0.2607
   00025    0.4359  -69941.6083  0.2595
   00026    0.4397  -70014.9123  0.2601
   00027    0.4390  -70355.4467  0.2597
   00028    0.4417  -70526.0492  0.2592
   00029    0.4408  -70701.2117  0.2641
   00030    0.4304  -70829.3064  0.2668
   00031    0.4338  -71005.5161  0.2684
   00032    0.4306  -71003.0636  0.2713
   00033    0.4348  -71163.7860  0.2704
   00034    0.4378  -71376.0976  0.2704
   00035    0.4290  -71529.2195  0.2708
   00036    0.4321  -71695.8602  0.2711
   00037    0.4331  -71913.7685  0.2711
   00038    0.4364  -72014.4835  0.2720
   00039    0.4337  -72205.6768  0.2729
   00040    0.4251  -72268.3155  0.2741
   00041    0.4248  -72369.1905  0.2729
   00042    0.4294  -72362.0457  0.2745
   00043    0.4290  -72460.0213  0.2755
   00044    0.4292  -72565.3943  0.2740
   00045    0.4281  -72628.1183  0.2747
   00046    0.4264  -72844.5756  0.2747
   00047    0.4241  -72994.4057  0.2747
   00048    0.4219  -72992.9729  0.2751
   00049    0.4232  -73071.8745  0.2742
   00050    0.4218  -73080.3882  0.2734
   00051    0.4267  -73014.5648  0.2765
   00052    0.4228  -72994.5468  0.2763
   00053    0.4205  -73105.2471  0.2773
   00054    0.4255  -73155.7563  0.2781
   00055    0.4266  -73138.2089  0.2798
   00056    0.4245  -73075.8661  0.2796
   00057    0.4245  -73254.5901  0.2813
   00058    0.4271  -73450.0725  0.2814
   00059    0.4150  -73400.9602  0.2807
   00060    0.4196  -73459.4540  0.2820
   00061    0.4220  -73539.8635  0.2852
   00062    0.4218  -73697.7510  0.2866
   00063    0.4170  -73692.5232  0.2859
   00064    0.4212  -73764.2921  0.2863
   00065    0.4257  -73783.1851  0.2876
   00066    0.4198  -73802.7155  0.2860
   00067    0.4250  -73866.7127  0.2871
   00068    0.4310  -73836.6914  0.2878
   00069    0.4202  -73861.5450  0.2858
   00070    0.4189  -74076.6985  0.2850
   00071    0.4233  -74160.5957  0.2856
   00072    0.4184  -74133.8723  0.2872
   00073    0.4202  -74145.5065  0.2892
   00074    0.4245  -74203.8297  0.2888
   00075    0.4198  -74172.1276  0.2887
   00076    0.4199  -74285.5120  0.2896
   00077    0.4224  -74292.3763  0.2896
   00078    0.4203  -74326.8083  0.2899
   00079    0.4210  -74498.4151  0.2930
   00080    0.4218  -74548.1826  0.2917
   00081    0.4156  -74458.9704  0.2914
   00082    0.4148  -74470.2274  0.2921
   00083    0.4154  -74622.5325  0.2934
   00084    0.4229  -74625.7982  0.2931
