#=====================================================
# File created:        Sat-22-Feb-2025-at-09-16-08PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        4.292119
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22305.4003  0.2572
   00001    0.6848  -33492.1521  0.2577
   00002    0.6222  -40457.0209  0.2607
   00003    0.5872  -45941.1345  0.2618
   00004    0.5565  -49940.5043  0.2692
   00005    0.5315  -53031.5094  0.2711
   00006    0.5146  -55494.5014  0.2711
   00007    0.5054  -57758.2817  0.2710
   00008    0.4999  -59220.4888  0.2718
   00009    0.4882  -60753.3561  0.2717
   00010    0.4830  -61942.0007  0.2751
   00011    0.4763  -63006.2058  0.2770
   00012    0.4676  -63864.4176  0.2780
   00013    0.4679  -64520.4406  0.2795
   00014    0.4666  -65464.5801  0.2786
   00015    0.4623  -66041.3533  0.2794
   00016    0.4587  -66784.9465  0.2818
   00017    0.4537  -67102.8600  0.2798
   00018    0.4546  -67491.1301  0.2793
   00019    0.4511  -67857.6112  0.2813
   00020    0.4444  -68459.5791  0.2821
   00021    0.4432  -68867.9439  0.2792
   00022    0.4473  -69151.7680  0.2803
   00023    0.4409  -69383.0038  0.2825
   00024    0.4400  -69643.6505  0.2820
   00025    0.4376  -69906.1971  0.2823
   00026    0.4433  -70109.8268  0.2839
   00027    0.4452  -70300.7576  0.2864
   00028    0.4397  -70665.3627  0.2845
   00029    0.4341  -70889.3594  0.2850
   00030    0.4335  -71050.3846  0.2841
   00031    0.4310  -71040.1391  0.2830
   00032    0.4320  -71092.7194  0.2820
   00033    0.4332  -71285.3285  0.2804
   00034    0.4280  -71459.1299  0.2800
   00035    0.4300  -71718.2689  0.2782
   00036    0.4298  -71953.2729  0.2828
   00037    0.4322  -72002.5801  0.2811
   00038    0.4320  -71989.8381  0.2840
   00039    0.4313  -72267.7613  0.2814
   00040    0.4315  -72325.0828  0.2830
   00041    0.4247  -72322.0782  0.2805
   00042    0.4311  -72423.6075  0.2828
   00043    0.4251  -72495.8780  0.2845
   00044    0.4296  -72617.8807  0.2841
   00045    0.4290  -72820.0514  0.2820
   00046    0.4307  -72869.2034  0.2811
   00047    0.4298  -72812.6469  0.2818
   00048    0.4317  -72723.3768  0.2820
   00049    0.4254  -72829.1888  0.2810
   00050    0.4315  -72907.2074  0.2787
   00051    0.4269  -72900.9721  0.2802
   00052    0.4273  -73053.9050  0.2784
   00053    0.4210  -73232.1675  0.2792
   00054    0.4322  -73159.9816  0.2770
   00055    0.4219  -73130.2049  0.2770
   00056    0.4293  -73272.4356  0.2778
   00057    0.4262  -73317.8249  0.2783
   00058    0.4240  -73345.2523  0.2785
   00059    0.4279  -73529.7295  0.2772
   00060    0.4209  -73519.6145  0.2774
   00061    0.4284  -73465.7911  0.2784
   00062    0.4217  -73526.7925  0.2775
   00063    0.4243  -73381.2996  0.2785
   00064    0.4201  -73354.5937  0.2779
   00065    0.4271  -73485.5348  0.2769
   00066    0.4268  -73435.0212  0.2768
   00067    0.4321  -73461.2244  0.2796
   00068    0.4259  -73632.3159  0.2792
   00069    0.4221  -73718.1969  0.2795
   00070    0.4231  -73878.9195  0.2799
   00071    0.4174  -73821.1239  0.2784
   00072    0.4203  -73956.3494  0.2775
   00073    0.4213  -74010.3952  0.2791
   00074    0.4192  -74102.1970  0.2759
   00075    0.4209  -74046.0249  0.2757
   00076    0.4162  -73972.0211  0.2780
   00077    0.4231  -74088.2514  0.2804
   00078    0.4265  -74152.8047  0.2799
   00079    0.4221  -74192.4308  0.2795
   00080    0.4235  -74181.2067  0.2788
   00081    0.4250  -74267.0642  0.2801
   00082    0.4216  -74306.4819  0.2797
   00083    0.4218  -74267.7126  0.2788
   00084    0.4164  -74236.4215  0.2790
   00085    0.4240  -74287.1438  0.2783
   00086    0.4209  -74309.6741  0.2760
   00087    0.4226  -74289.6230  0.2775
   00088    0.4225  -74298.8139  0.2785
   00089    0.4183  -74393.3377  0.2775
   00090    0.4188  -74343.4121  0.2776
   00091    0.4200  -74388.5647  0.2762
   00092    0.4160  -74447.9636  0.2785
   00093    0.4220  -74397.2784  0.2785
   00094    0.4203  -74435.8947  0.2780
   00095    0.4173  -74324.1950  0.2790
   00096    0.4184  -74375.0106  0.2779
   00097    0.4191  -74464.6205  0.2782
   00098    0.4198  -74502.0690  0.2800
   00099    0.4192  -74541.2800  0.2799
   00100    0.4153  -74481.8680  0.2793
   00101    0.4201  -74384.3720  0.2794
   00102    0.4262  -74504.6656  0.2774
   00103    0.4196  -74486.6641  0.2764
   00104    0.4172  -74511.6254  0.2773
   00105    0.4211  -74547.8167  0.2757
   00106    0.4167  -74561.5393  0.2754
   00107    0.4184  -74682.4667  0.2764
   00108    0.4130  -74680.2998  0.2755
   00109    0.4101  -74716.7768  0.2762
   00110    0.4148  -74762.7560  0.2758
