#=====================================================
# File created:        Sun-23-Feb-2025-at-10-09-51AM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        2.852376
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22476.8379  0.2512
   00001    0.6757  -33523.8479  0.2528
   00002    0.6166  -40473.7319  0.2573
   00003    0.5842  -45645.7128  0.2582
   00004    0.5567  -49568.9578  0.2579
   00005    0.5325  -52429.2910  0.2588
   00006    0.5200  -54839.3479  0.2573
   00007    0.5094  -57068.1938  0.2579
   00008    0.5036  -58741.4018  0.2587
   00009    0.4880  -60276.4560  0.2578
   00010    0.4888  -61572.5627  0.2568
   00011    0.4736  -62614.4929  0.2577
   00012    0.4743  -63587.1891  0.2577
   00013    0.4676  -64327.0576  0.2599
   00014    0.4598  -65167.4536  0.2599
   00015    0.4591  -65925.4849  0.2624
   00016    0.4620  -66449.3974  0.2630
   00017    0.4544  -67055.0282  0.2621
   00018    0.4549  -67428.5415  0.2624
   00019    0.4454  -67850.3953  0.2616
   00020    0.4508  -68263.0907  0.2630
   00021    0.4460  -68777.5746  0.2657
   00022    0.4419  -69126.8980  0.2646
   00023    0.4448  -69439.2093  0.2674
   00024    0.4400  -69701.2922  0.2670
   00025    0.4441  -70088.2481  0.2679
   00026    0.4389  -70402.7028  0.2699
   00027    0.4368  -70551.0109  0.2720
   00028    0.4385  -70909.7343  0.2740
   00029    0.4383  -70990.8793  0.2743
   00030    0.4369  -71191.6779  0.2736
   00031    0.4330  -71263.6253  0.2736
   00032    0.4345  -71507.7661  0.2735
   00033    0.4315  -71593.3847  0.2709
   00034    0.4339  -71697.0925  0.2705
   00035    0.4375  -71810.3121  0.2703
   00036    0.4347  -72002.6865  0.2696
   00037    0.4304  -72125.3049  0.2726
   00038    0.4284  -72241.6405  0.2740
   00039    0.4255  -72378.5233  0.2752
   00040    0.4269  -72360.2321  0.2778
   00041    0.4274  -72542.9850  0.2777
   00042    0.4244  -72458.3965  0.2781
   00043    0.4266  -72612.9200  0.2782
   00044    0.4340  -72719.1952  0.2799
   00045    0.4266  -72728.4928  0.2790
   00046    0.4296  -72803.0333  0.2809
   00047    0.4277  -72959.8880  0.2795
   00048    0.4295  -72915.8489  0.2801
   00049    0.4292  -72899.4715  0.2810
   00050    0.4230  -73043.1734  0.2830
   00051    0.4214  -73060.9988  0.2808
   00052    0.4304  -73077.2082  0.2799
   00053    0.4263  -73026.1951  0.2807
   00054    0.4259  -73240.4884  0.2817
   00055    0.4264  -73383.0160  0.2842
   00056    0.4292  -73366.1061  0.2840
