#=====================================================
# File created:        Sun-23-Feb-2025-at-12-19-17PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.215564
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22700.0662  0.2545
   00001    0.6956  -35207.6929  0.2568
   00002    0.6317  -42472.2178  0.2631
   00003    0.5843  -47835.4459  0.2640
   00004    0.5480  -51892.2894  0.2641
   00005    0.5240  -54738.0760  0.2666
   00006    0.5133  -57238.0735  0.2665
   00007    0.4985  -59216.2073  0.2702
   00008    0.4887  -60979.5268  0.2729
   00009    0.4798  -62487.4111  0.2760
   00010    0.4731  -63953.9663  0.2771
   00011    0.4678  -64994.3676  0.2760
   00012    0.4576  -65862.7113  0.2754
   00013    0.4643  -66471.8052  0.2747
   00014    0.4608  -67185.2265  0.2783
   00015    0.4497  -67817.5106  0.2782
   00016    0.4490  -68341.5414  0.2785
   00017    0.4438  -68722.1456  0.2781
   00018    0.4490  -69184.7556  0.2810
   00019    0.4401  -69601.4436  0.2790
   00020    0.4410  -70042.6215  0.2795
   00021    0.4360  -70154.6135  0.2784
   00022    0.4409  -70493.4360  0.2778
   00023    0.4334  -70639.2319  0.2744
   00024    0.4312  -70830.4981  0.2752
   00025    0.4339  -71092.6866  0.2760
   00026    0.4312  -71376.9093  0.2775
   00027    0.4371  -71486.2170  0.2788
   00028    0.4341  -71546.5541  0.2781
   00029    0.4344  -71820.8149  0.2790
   00030    0.4346  -72007.3345  0.2803
   00031    0.4271  -72345.4369  0.2788
   00032    0.4259  -72354.1094  0.2795
   00033    0.4248  -72430.9024  0.2792
   00034    0.4288  -72544.8612  0.2794
   00035    0.4217  -72826.9279  0.2802
   00036    0.4260  -72924.4998  0.2802
   00037    0.4307  -72964.8403  0.2816
   00038    0.4270  -73131.5421  0.2850
   00039    0.4286  -73123.4604  0.2869
   00040    0.4242  -73177.9467  0.2880
   00041    0.4296  -73270.0212  0.2878
   00042    0.4232  -73316.3859  0.2885
   00043    0.4232  -73558.5014  0.2885
   00044    0.4271  -73412.5398  0.2833
   00045    0.4239  -73487.9369  0.2836
   00046    0.4254  -73506.9588  0.2845
   00047    0.4280  -73697.7738  0.2856
   00048    0.4228  -73671.8848  0.2853
   00049    0.4227  -73760.1177  0.2851
   00050    0.4244  -73658.6628  0.2848
   00051    0.4180  -73713.8705  0.2849
   00052    0.4197  -73840.4822  0.2829
   00053    0.4228  -73729.8901  0.2853
   00054    0.4244  -73809.5735  0.2852
   00055    0.4212  -73769.6191  0.2823
   00056    0.4274  -73787.2454  0.2842
   00057    0.4245  -73865.2599  0.2854
   00058    0.4273  -73911.7744  0.2852
   00059    0.4241  -73939.5651  0.2833
   00060    0.4244  -74065.7590  0.2830
   00061    0.4259  -74194.3299  0.2804
   00062    0.4188  -74271.7415  0.2793
   00063    0.4183  -74120.9498  0.2757
   00064    0.4203  -74158.5196  0.2776
   00065    0.4212  -74090.1849  0.2799
   00066    0.4255  -74034.2111  0.2818
   00067    0.4179  -74111.9830  0.2820
   00068    0.4221  -74223.6703  0.2805
   00069    0.4230  -74304.7900  0.2822
   00070    0.4173  -74340.8885  0.2822
   00071    0.4201  -74183.7129  0.2837
   00072    0.4192  -74214.7260  0.2850
   00073    0.4193  -74279.1492  0.2859
   00074    0.4202  -74286.8175  0.2853
   00075    0.4190  -74222.2153  0.2842
   00076    0.4202  -74217.9919  0.2853
   00077    0.4224  -74444.4727  0.2854
   00078    0.4155  -74482.0421  0.2849
   00079    0.4211  -74649.2527  0.2864
   00080    0.4249  -74652.0942  0.2868
   00081    0.4159  -74566.9243  0.2879
   00082    0.4205  -74650.8111  0.2865
   00083    0.4116  -74672.4780  0.2873
   00084    0.4219  -74824.1104  0.2860
