#=====================================================
# File created:        Sat-22-Feb-2025-at-08-26-09PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        4.428102
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22904.2881  0.2558
   00001    0.6771  -33964.1665  0.2537
   00002    0.6232  -40819.7078  0.2556
   00003    0.5841  -45855.1843  0.2576
   00004    0.5588  -49607.9024  0.2600
   00005    0.5324  -52673.9983  0.2614
   00006    0.5202  -54927.1279  0.2587
   00007    0.5084  -56877.4853  0.2602
   00008    0.5007  -58487.8281  0.2628
   00009    0.4963  -59951.8146  0.2621
   00010    0.4872  -61280.7646  0.2616
   00011    0.4799  -62446.4025  0.2623
   00012    0.4759  -63588.3957  0.2639
   00013    0.4668  -64380.1385  0.2639
   00014    0.4635  -65113.8856  0.2628
   00015    0.4554  -65748.5069  0.2613
   00016    0.4608  -66382.4799  0.2642
   00017    0.4597  -67010.4818  0.2644
   00018    0.4502  -67555.2013  0.2656
   00019    0.4528  -68021.5524  0.2658
   00020    0.4461  -68503.0592  0.2629
   00021    0.4437  -68876.2054  0.2630
   00022    0.4432  -69259.7271  0.2611
   00023    0.4393  -69554.9309  0.2617
   00024    0.4408  -69871.3350  0.2611
   00025    0.4377  -70001.8945  0.2618
   00026    0.4346  -70338.3631  0.2627
   00027    0.4360  -70545.4392  0.2641
   00028    0.4365  -70791.6048  0.2654
   00029    0.4354  -71020.4311  0.2671
   00030    0.4410  -71093.2138  0.2673
   00031    0.4336  -71330.2031  0.2665
   00032    0.4335  -71542.3309  0.2673
   00033    0.4259  -71646.8791  0.2691
   00034    0.4278  -71804.1829  0.2689
   00035    0.4356  -71957.8002  0.2670
   00036    0.4312  -72189.7768  0.2691
   00037    0.4259  -72318.8953  0.2697
   00038    0.4228  -72494.5578  0.2729
   00039    0.4351  -72340.9255  0.2735
   00040    0.4252  -72473.1222  0.2754
   00041    0.4248  -72619.2189  0.2766
   00042    0.4293  -72718.4175  0.2762
   00043    0.4285  -72804.5921  0.2741
   00044    0.4250  -72877.5404  0.2718
   00045    0.4270  -72895.7429  0.2702
   00046    0.4255  -72870.2895  0.2676
   00047    0.4207  -73001.1722  0.2679
   00048    0.4316  -73045.9349  0.2672
   00049    0.4227  -73019.2755  0.2685
   00050    0.4257  -73074.1071  0.2669
   00051    0.4231  -73171.1591  0.2671
   00052    0.4286  -73320.1510  0.2660
   00053    0.4233  -73402.1579  0.2675
   00054    0.4240  -73511.7432  0.2671
   00055    0.4216  -73630.4083  0.2661
   00056    0.4211  -73554.1214  0.2668
   00057    0.4222  -73665.9312  0.2688
   00058    0.4233  -73654.9333  0.2685
   00059    0.4282  -73575.3174  0.2708
   00060    0.4252  -73620.9225  0.2715
   00061    0.4226  -73713.6421  0.2705
   00062    0.4268  -73902.0264  0.2675
   00063    0.4216  -73855.7279  0.2681
   00064    0.4222  -73862.8388  0.2694
   00065    0.4238  -73901.8463  0.2694
   00066    0.4168  -73930.3009  0.2707
   00067    0.4220  -74006.7891  0.2703
   00068    0.4188  -74085.2903  0.2696
   00069    0.4171  -74002.0415  0.2717
   00070    0.4162  -74081.3915  0.2695
   00071    0.4190  -74118.1849  0.2692
   00072    0.4187  -74158.5437  0.2668
   00073    0.4255  -74152.9437  0.2674
   00074    0.4263  -74235.3856  0.2706
   00075    0.4200  -74062.6536  0.2693
   00076    0.4196  -74392.0733  0.2707
   00077    0.4149  -74420.8522  0.2696
   00078    0.4200  -74451.7696  0.2685
   00079    0.4168  -74360.9821  0.2681
   00080    0.4275  -74487.4930  0.2674
   00081    0.4182  -74490.8993  0.2677
   00082    0.4211  -74448.6933  0.2674
   00083    0.4224  -74379.7173  0.2658
   00084    0.4229  -74379.0481  0.2662
