#=====================================================
# File created:        Sun-23-Feb-2025-at-12-20-09PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.179911
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22904.2881  0.2558
   00001    0.6887  -34964.2205  0.2586
   00002    0.6230  -42552.2504  0.2644
   00003    0.5802  -47944.7297  0.2663
   00004    0.5514  -51927.5509  0.2719
   00005    0.5300  -55174.2505  0.2700
   00006    0.5092  -57800.7299  0.2758
   00007    0.4970  -59831.3233  0.2795
   00008    0.4910  -61394.2691  0.2814
   00009    0.4789  -62747.7382  0.2820
   00010    0.4665  -63772.8257  0.2827
   00011    0.4671  -64911.7684  0.2826
   00012    0.4598  -65809.5113  0.2817
   00013    0.4582  -66737.6135  0.2828
   00014    0.4528  -67419.2740  0.2818
   00015    0.4469  -68026.3867  0.2817
   00016    0.4439  -68454.8602  0.2835
   00017    0.4474  -69001.5798  0.2864
   00018    0.4386  -69335.2128  0.2883
   00019    0.4468  -69632.6353  0.2880
   00020    0.4447  -69951.3989  0.2904
   00021    0.4393  -70130.3621  0.2933
   00022    0.4386  -70489.7048  0.2957
   00023    0.4383  -70634.7299  0.2968
   00024    0.4326  -70937.7541  0.2969
   00025    0.4367  -71237.0478  0.2996
   00026    0.4285  -71468.8575  0.2976
   00027    0.4333  -71629.7755  0.2964
   00028    0.4268  -71848.8294  0.2954
   00029    0.4368  -72023.0573  0.2925
   00030    0.4303  -72225.5726  0.2939
   00031    0.4322  -72327.7835  0.2943
   00032    0.4279  -72363.0131  0.2931
   00033    0.4280  -72450.7185  0.2933
   00034    0.4276  -72504.8074  0.2940
   00035    0.4256  -72652.4751  0.2956
   00036    0.4306  -72644.5258  0.2966
   00037    0.4305  -72720.9567  0.2988
   00038    0.4294  -72988.2724  0.2987
   00039    0.4299  -73119.6334  0.2988
   00040    0.4273  -73203.7612  0.2990
   00041    0.4252  -73331.2682  0.2987
   00042    0.4269  -73538.3062  0.2979
   00043    0.4272  -73457.4624  0.2967
   00044    0.4288  -73606.7850  0.2969
   00045    0.4218  -73707.8199  0.2980
   00046    0.4219  -73708.1380  0.3003
   00047    0.4274  -73702.2125  0.3015
   00048    0.4200  -73831.0826  0.3021
   00049    0.4255  -74002.0113  0.3019
   00050    0.4239  -74065.3624  0.3026
   00051    0.4219  -74022.2505  0.3040
   00052    0.4235  -74065.2999  0.3071
   00053    0.4215  -74150.4723  0.3081
   00054    0.4196  -74258.4127  0.3088
   00055    0.4233  -74332.6654  0.3085
   00056    0.4172  -74481.6984  0.3099
   00057    0.4171  -74438.8025  0.3111
   00058    0.4249  -74560.6219  0.3110
   00059    0.4216  -74609.8254  0.3105
   00060    0.4168  -74699.3941  0.3087
   00061    0.4198  -74954.0151  0.3086
   00062    0.4140  -74979.5828  0.3092
   00063    0.4199  -74872.4698  0.3069
   00064    0.4152  -74938.7964  0.3051
   00065    0.4200  -74815.2916  0.3027
   00066    0.4203  -74732.8316  0.3027
   00067    0.4180  -74785.5205  0.3054
   00068    0.4214  -74830.7169  0.3062
   00069    0.4179  -74648.2837  0.3042
   00070    0.4211  -74779.3449  0.3059
   00071    0.4223  -74669.5433  0.3073
   00072    0.4181  -74594.8324  0.3085
   00073    0.4164  -74825.0351  0.3096
   00074    0.4174  -74866.8284  0.3116
   00075    0.4186  -74917.6776  0.3103
   00076    0.4219  -74985.2657  0.3105
   00077    0.4222  -74968.4859  0.3105
   00078    0.4137  -74962.6914  0.3112
   00079    0.4238  -74924.0117  0.3118
   00080    0.4175  -74877.6389  0.3123
   00081    0.4224  -74893.2472  0.3139
   00082    0.4159  -75023.9671  0.3131
   00083    0.4178  -75117.7996  0.3109
   00084    0.4154  -75078.4937  0.3110
   00085    0.4256  -75000.7281  0.3092
   00086    0.4175  -74885.1440  0.3059
   00087    0.4203  -74988.1304  0.3057
   00088    0.4188  -75020.6969  0.3037
   00089    0.4156  -74925.6680  0.3035
   00090    0.4181  -74955.5214  0.3042
   00091    0.4200  -75134.0580  0.3042
   00092    0.4118  -75017.8584  0.3067
   00093    0.4209  -75056.0847  0.3059
   00094    0.4173  -75064.5634  0.3058
   00095    0.4172  -75068.5720  0.3054
   00096    0.4214  -75105.9770  0.3062
   00097    0.4138  -75152.9916  0.3068
   00098    0.4192  -75137.6223  0.3060
   00099    0.4146  -75283.2284  0.3047
   00100    0.4124  -75256.7114  0.3071
   00101    0.4145  -75375.9506  0.3106
   00102    0.4235  -75386.2903  0.3102
   00103    0.4172  -75416.9834  0.3095
   00104    0.4172  -75441.4320  0.3067
   00105    0.4114  -75421.7204  0.3066
   00106    0.4159  -75464.3398  0.3033
   00107    0.4184  -75518.8982  0.3044
   00108    0.4173  -75534.5165  0.3053
   00109    0.4153  -75541.3133  0.3033
   00110    0.4156  -75552.7278  0.3024
   00111    0.4152  -75500.9647  0.3047
   00112    0.4129  -75624.4054  0.3071
   00113    0.4123  -75638.0064  0.3048
   00114    0.4185  -75536.3336  0.3048
   00115    0.4168  -75578.7245  0.3033
   00116    0.4102  -75584.0546  0.3042
   00117    0.4141  -75463.7814  0.3051
   00118    0.4095  -75314.1321  0.3038
   00119    0.4151  -75467.8907  0.3035
   00120    0.4159  -75419.8372  0.3016
   00121    0.4142  -75551.5948  0.3039
   00122    0.4195  -75492.3430  0.3037
   00123    0.4171  -75434.8873  0.3017
   00124    0.4132  -75482.2120  0.3030
   00125    0.4116  -75449.4476  0.3014
   00126    0.4201  -75511.0903  0.3054
   00127    0.4190  -75373.7500  0.3056
   00128    0.4224  -75411.8067  0.3062
   00129    0.4112  -75543.0501  0.3078
   00130    0.4175  -75566.1987  0.3088
   00131    0.4156  -75510.7990  0.3097
   00132    0.4122  -75534.2347  0.3101
   00133    0.4204  -75515.3119  0.3116
   00134    0.4127  -75549.8177  0.3118
   00135    0.4153  -75557.7730  0.3087
   00136    0.4128  -75506.8739  0.3081
   00137    0.4186  -75332.2305  0.3099
   00138    0.4137  -75401.3556  0.3090
   00139    0.4168  -75444.2467  0.3105
   00140    0.4191  -75394.3612  0.3100
   00141    0.4144  -75590.9819  0.3103
   00142    0.4110  -75636.6669  0.3109
   00143    0.4145  -75640.4235  0.3133
   00144    0.4157  -75754.4154  0.3129
   00145    0.4132  -75738.6506  0.3134
   00146    0.4171  -75576.2327  0.3126
   00147    0.4146  -75523.8749  0.3122
   00148    0.4108  -75542.1490  0.3138
   00149    0.4171  -75568.3649  0.3150
   00150    0.4189  -75583.9265  0.3139
   00151    0.4118  -75584.2724  0.3158
   00152    0.4131  -75618.0781  0.3150
   00153    0.4153  -75713.1303  0.3141
   00154    0.4153  -75776.8528  0.3122
   00155    0.4144  -75970.2895  0.3135
   00156    0.4136  -75924.8592  0.3139
   00157    0.4119  -75908.1713  0.3146
   00158    0.4169  -75895.1786  0.3132
   00159    0.4133  -75909.0317  0.3108
   00160    0.4136  -75748.3414  0.3128
   00161    0.4157  -75691.9191  0.3105
   00162    0.4143  -75795.4940  0.3122
   00163    0.4141  -75768.0443  0.3121
   00164    0.4119  -75952.5519  0.3115
   00165    0.4151  -75881.4135  0.3130
   00166    0.4124  -75861.5111  0.3135
   00167    0.4122  -75712.4492  0.3142
   00168    0.4140  -75819.7240  0.3154
   00169    0.4145  -75693.7099  0.3137
   00170    0.4139  -75602.6362  0.3119
   00171    0.4102  -75577.5511  0.3143
   00172    0.4135  -75704.7984  0.3138
   00173    0.4183  -75675.9085  0.3144
   00174    0.4195  -75754.2647  0.3134
   00175    0.4152  -75657.8922  0.3118
   00176    0.4190  -75736.2642  0.3109
   00177    0.4151  -75728.9723  0.3112
   00178    0.4118  -75773.0279  0.3097
   00179    0.4120  -75900.9594  0.3127
   00180    0.4094  -75973.6942  0.3127
   00181    0.4168  -75838.5049  0.3132
   00182    0.4136  -75910.9189  0.3129
   00183    0.4131  -75937.6613  0.3153
   00184    0.4116  -75631.0400  0.3154
   00185    0.4152  -75772.2690  0.3179
   00186    0.4139  -75822.2522  0.3191
   00187    0.4188  -75906.0163  0.3185
   00188    0.4111  -75825.9797  0.3173
   00189    0.4126  -75741.9035  0.3181
   00190    0.4156  -75637.4382  0.3189
   00191    0.4177  -75749.5142  0.3193
   00192    0.4132  -75764.8858  0.3182
   00193    0.4151  -75755.4641  0.3163
   00194    0.4080  -75751.1023  0.3145
   00195    0.4156  -75642.9230  0.3131
   00196    0.4184  -75767.8437  0.3134
   00197    0.4106  -75818.9655  0.3121
   00198    0.4134  -75888.0406  0.3128
   00199    0.4170  -75920.1942  0.3123
   00200    0.4162  -75955.5268  0.3128
   00201    0.4097  -75865.7105  0.3127
   00202    0.4152  -75855.5451  0.3135
   00203    0.4196  -75906.8430  0.3170
   00204    0.4113  -75876.5673  0.3161
   00205    0.4132  -75959.1322  0.3163
   00206    0.4189  -75919.4951  0.3176
   00207    0.4113  -75928.7624  0.3153
   00208    0.4115  -75906.0833  0.3119
   00209    0.4096  -75751.6880  0.3131
   00210    0.4095  -75799.4553  0.3130
   00211    0.4143  -75780.0731  0.3146
   00212    0.4127  -75823.0327  0.3148
   00213    0.4104  -75851.3720  0.3152
   00214    0.4138  -75830.7019  0.3162
   00215    0.4125  -75902.8251  0.3178
   00216    0.4126  -76004.4656  0.3188
   00217    0.4078  -76029.9962  0.3200
   00218    0.4142  -76084.0896  0.3205
   00219    0.4213  -75959.9123  0.3204
   00220    0.4060  -75996.2271  0.3179
   00221    0.4117  -75871.9604  0.3151
   00222    0.4173  -75921.3090  0.3173
   00223    0.4073  -75875.9834  0.3169
   00224    0.4140  -76045.3419  0.3178
   00225    0.4159  -76052.6512  0.3173
   00226    0.4149  -75880.8162  0.3175
   00227    0.4099  -75945.0701  0.3173
   00228    0.4190  -76060.4375  0.3189
   00229    0.4125  -75874.5802  0.3192
   00230    0.4132  -75821.4502  0.3162
   00231    0.4178  -76038.3978  0.3180
   00232    0.4159  -75909.4405  0.3195
   00233    0.4092  -75883.3939  0.3172
   00234    0.4144  -75919.6660  0.3192
   00235    0.4123  -75951.6769  0.3170
   00236    0.4152  -76059.7182  0.3179
   00237    0.4127  -76124.6457  0.3175
   00238    0.4145  -76219.9025  0.3179
   00239    0.4144  -76008.6447  0.3180
   00240    0.4156  -75844.0967  0.3178
   00241    0.4152  -75929.2334  0.3160
   00242    0.4123  -76020.7215  0.3164
   00243    0.4196  -75985.9726  0.3139
   00244    0.4157  -75943.7608  0.3133
   00245    0.4112  -76003.7829  0.3144
   00246    0.4134  -76000.4964  0.3151
   00247    0.4137  -75939.6021  0.3153
   00248    0.4155  -75883.3116  0.3162
   00249    0.4109  -75959.5995  0.3168
   00250    0.4133  -75756.9538  0.3179
   00251    0.4051  -75860.9860  0.3183
   00252    0.4211  -75841.2240  0.3165
   00253    0.4140  -75822.2503  0.3177
   00254    0.4126  -75765.4992  0.3177
   00255    0.4111  -75840.6528  0.3187
   00256    0.4136  -76074.9512  0.3198
   00257    0.4164  -76050.9929  0.3180
   00258    0.4114  -75909.3493  0.3187
   00259    0.4179  -75939.1930  0.3173
   00260    0.4140  -75976.6837  0.3141
   00261    0.4140  -76026.8723  0.3147
   00262    0.4165  -75887.6112  0.3135
   00263    0.4161  -75854.9554  0.3132
   00264    0.4194  -75895.1761  0.3119
   00265    0.4057  -75989.2132  0.3119
   00266    0.4129  -75892.7943  0.3094
   00267    0.4123  -76029.3557  0.3106
   00268    0.4074  -75997.5623  0.3118
   00269    0.4153  -75997.5189  0.3123
   00270    0.4124  -76020.4319  0.3119
   00271    0.4083  -75969.6017  0.3122
