run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.394, Time: 3.974497 s
         1122328 function calls (1106011 primitive calls) in 5.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.896    3.896    3.998    3.998 run_lebwohl_lasher_p_cython.py:213(main)
     1389    0.119    0.000    0.119    0.000 {built-in method posix.stat}
     7554    0.070    0.000    0.129    0.000 inspect.py:879(cleandoc)
      286    0.057    0.000    0.057    0.000 {built-in method marshal.loads}
    44/43    0.051    0.001    0.071    0.002 {built-in method _imp.create_dynamic}
      501    0.030    0.000    0.049    0.000 _linalg.py:1502(eigh)
      227    0.026    0.000    0.083    0.000 artist.py:1433(get_aliases)
    73597    0.021    0.000    0.021    0.000 {built-in method builtins.getattr}
      456    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
    10244    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
1102/1014    0.019    0.000    0.441    0.000 {built-in method builtins.__build_class__}
    98311    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
     1501    0.017    0.000    0.017    0.000 {method 'reduce' of 'numpy.ufunc' objects}
171344/170270    0.017    0.000    0.017    0.000 {built-in method builtins.len}
      227    0.016    0.000    0.054    0.000 artist.py:1511(get_setters)
    89408    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
     4409    0.015    0.000    0.167    0.000 artist.py:1461(get_valid_values)
     6868    0.013    0.000    0.022    0.000 inspect.py:2729(__init__)
    63448    0.013    0.000    0.013    0.000 {built-in method builtins.min}
      286    0.013    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
    65829    0.013    0.000    0.017    0.000 {built-in method builtins.isinstance}
        1    0.012    0.012    0.013    0.013 _triinterpolate.py:1(<module>)
16310/16303    0.011    0.000    0.012    0.000 {method 'join' of 'str' objects}
      286    0.010    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
  479/229    0.009    0.000    0.024    0.000 _parser.py:512(_parse)
     9196    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
      692    0.008    0.000    0.025    0.000 inspect.py:2368(_signature_from_function)
     7512    0.007    0.000    0.113    0.000 inspect.py:860(getdoc)
       34    0.007    0.000    0.008    0.000 {built-in method _io.open}
    35552    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
16068/16034    0.007    0.000    0.012    0.000 {built-in method builtins.hasattr}
      959    0.007    0.000    0.009    0.000 inspect.py:3015(__init__)
     6985    0.007    0.000    0.054    0.000 __init__.py:280(_compile)
      591    0.007    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      671    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap>:304(acquire)
       61    0.006    0.000    0.011    0.000 {built-in method builtins.eval}
    44/41    0.006    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
     1000    0.006    0.000    0.019    0.000 fromnumeric.py:69(_wrapreduction)
       31    0.006    0.000    0.049    0.002 __init__.py:884(_rc_params_in_file)
      286    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
      120    0.006    0.000    0.206    0.002 artist.py:1593(pprint_setters)
     4409    0.006    0.000    0.013    0.000 artist.py:1549(aliased_name)
  791/725    0.005    0.000    0.035    0.000 inspect.py:2463(_signature_from_callable)
      479    0.005    0.000    0.010    0.000 enum.py:249(__set_name__)
     7566    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
3678/3199    0.005    0.000    0.015    0.000 {built-in method __new__ of type object at 0x564f82a9e300}
 1035/205    0.005    0.000    0.011    0.000 _compiler.py:37(_compile)
     3104    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       42    0.004    0.000    0.010    0.000 __init__.py:355(namedtuple)
      348    0.004    0.000    0.149    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    12750    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     5929    0.004    0.000    0.046    0.000 __init__.py:174(search)
      106    0.004    0.000    0.319    0.003 artist.py:158(_update_set_signature_and_docstring)
     7310    0.004    0.000    0.009    0.000 enum.py:713(__call__)
    301/1    0.004    0.000    5.010    5.010 {built-in method builtins.exec}
     1000    0.003    0.000    0.022    0.000 fromnumeric.py:3369(prod)
    32231    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      698    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
       89    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
      589    0.003    0.000    0.006    0.000 enum.py:383(__setitem__)
    353/5    0.003    0.000    1.021    0.204 <frozen importlib._bootstrap>:1349(_find_and_load)
      286    0.003    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      501    0.003    0.000    0.004    0.000 _linalg.py:148(_commonType)
     7462    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
    10402    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
 1713/195    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
     4584    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
       33    0.002    0.000    1.421    0.043 __init__.py:1(<module>)
     2703    0.002    0.000    0.004    0.000 cbook.py:468(_strip_comment)
      572    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      671    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      335    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     5496    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
    350/5    0.002    0.000    1.021    0.204 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      671    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      671    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     6239    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     6166    0.002    0.000    0.002    0.000 _parser.py:240(__next)
      631    0.002    0.000    0.004    0.000 typing.py:1587(__hash__)
      511    0.002    0.000    0.002    0.000 {built-in method builtins.print}
 1229/403    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
     9016    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    335/5    0.002    0.000    1.014    0.203 <frozen importlib._bootstrap>:911(_load_unlocked)
     7298    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
     7303    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
      137    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      501    0.002    0.000    0.003    0.000 _linalg.py:123(_makearray)
     1623    0.002    0.000    0.004    0.000 typing.py:1169(__setattr__)
      503    0.002    0.000    0.004    0.000 _ufunc_config.py:441(__enter__)
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
      319    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     5621    0.002    0.000    0.002    0.000 typing.py:1577(<genexpr>)
      434    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
     5079    0.002    0.000    0.003    0.000 _parser.py:261(get)
        1    0.002    0.002    0.007    0.007 artist.py:1(<module>)
       64    0.002    0.000    0.007    0.000 deprecation.py:414(make_keyword_only)
      790    0.002    0.000    0.003    0.000 inspect.py:747(unwrap)
      345    0.002    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
        1    0.002    0.002    0.002    0.002 {method 'close' of '_io.TextIOWrapper' objects}
      504    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     1515    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2171    0.001    0.000    0.003    0.000 typing.py:1117(_is_dunder)
     7080    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      671    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  128/117    0.001    0.000    0.037    0.000 _docstring.py:122(__call__)
      977    0.001    0.000    0.033    0.000 __init__.py:748(__setitem__)
     5702    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3277    0.001    0.000    0.002    0.000 inspect.py:3062(<genexpr>)
      100    0.001    0.000    0.013    0.000 pyplot.py:209(_add_pyplot_note)
      241    0.001    0.000    0.004    0.000 typing.py:262(_collect_parameters)
       42    0.001    0.000    0.014    0.000 enum.py:515(__new__)
      501    0.001    0.000    0.001    0.000 _linalg.py:192(_assert_stacked_2d)
     1039    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
4550/1002    0.001    0.000    0.002    0.000 __init__.py:354(recursive_subclasses)
      671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      265    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
