run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.349, Time: 4.292119 s
         1122328 function calls (1106011 primitive calls) in 5.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.181    4.181    4.311    4.311 run_lebwohl_lasher_p_cython.py:213(main)
     1389    0.092    0.000    0.092    0.000 {built-in method posix.stat}
     7554    0.070    0.000    0.131    0.000 inspect.py:879(cleandoc)
      286    0.058    0.000    0.058    0.000 {built-in method marshal.loads}
      501    0.041    0.000    0.066    0.000 _linalg.py:1502(eigh)
    44/43    0.038    0.001    0.044    0.001 {built-in method _imp.create_dynamic}
      227    0.026    0.000    0.085    0.000 artist.py:1433(get_aliases)
     1501    0.025    0.000    0.025    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    73597    0.023    0.000    0.023    0.000 {built-in method builtins.getattr}
    10244    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
      456    0.021    0.000    0.021    0.000 {built-in method builtins.dir}
1102/1014    0.019    0.000    0.434    0.000 {built-in method builtins.__build_class__}
    98311    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
171344/170270    0.017    0.000    0.017    0.000 {built-in method builtins.len}
      227    0.016    0.000    0.054    0.000 artist.py:1511(get_setters)
        1    0.015    0.015    0.016    0.016 _triinterpolate.py:1(<module>)
    89408    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
     4409    0.015    0.000    0.172    0.000 artist.py:1461(get_valid_values)
    63448    0.013    0.000    0.013    0.000 {built-in method builtins.min}
    65829    0.012    0.000    0.018    0.000 {built-in method builtins.isinstance}
16310/16303    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
     6868    0.011    0.000    0.019    0.000 inspect.py:2729(__init__)
      286    0.010    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     1000    0.010    0.000    0.029    0.000 fromnumeric.py:69(_wrapreduction)
  479/229    0.009    0.000    0.023    0.000 _parser.py:512(_parse)
     9196    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
      692    0.008    0.000    0.025    0.000 inspect.py:2368(_signature_from_function)
      959    0.008    0.000    0.010    0.000 inspect.py:3015(__init__)
     6985    0.007    0.000    0.053    0.000 __init__.py:280(_compile)
      286    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
     7512    0.007    0.000    0.114    0.000 inspect.py:860(getdoc)
    35552    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
16068/16034    0.007    0.000    0.012    0.000 {built-in method builtins.hasattr}
      591    0.007    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
    44/41    0.007    0.000    0.013    0.000 {built-in method _imp.exec_dynamic}
      120    0.006    0.000    0.213    0.002 artist.py:1593(pprint_setters)
      286    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
     4409    0.006    0.000    0.013    0.000 artist.py:1549(aliased_name)
     7566    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
3678/3199    0.005    0.000    0.012    0.000 {built-in method __new__ of type object at 0x5590e896a300}
  791/725    0.005    0.000    0.035    0.000 inspect.py:2463(_signature_from_callable)
 1035/205    0.005    0.000    0.011    0.000 _compiler.py:37(_compile)
     1000    0.005    0.000    0.034    0.000 fromnumeric.py:3369(prod)
    12750    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
      106    0.004    0.000    0.318    0.003 artist.py:158(_update_set_signature_and_docstring)
     5929    0.004    0.000    0.047    0.000 __init__.py:174(search)
       61    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
      479    0.004    0.000    0.007    0.000 enum.py:249(__set_name__)
       31    0.004    0.000    0.036    0.001 __init__.py:884(_rc_params_in_file)
     3104    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      348    0.004    0.000    0.121    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     7310    0.004    0.000    0.008    0.000 enum.py:713(__call__)
    301/1    0.004    0.000    5.253    5.253 {built-in method builtins.exec}
      671    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap>:304(acquire)
 1713/195    0.003    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
    32231    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
       34    0.003    0.000    0.003    0.000 {built-in method _io.open}
      501    0.003    0.000    0.005    0.000 _linalg.py:148(_commonType)
     4584    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
    353/5    0.003    0.000    0.953    0.191 <frozen importlib._bootstrap>:1349(_find_and_load)
      698    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
      286    0.003    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       42    0.003    0.000    0.006    0.000 __init__.py:355(namedtuple)
     7462    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
    10402    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      501    0.002    0.000    0.003    0.000 _linalg.py:123(_makearray)
     9016    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       33    0.002    0.000    1.301    0.039 __init__.py:1(<module>)
      504    0.002    0.000    0.002    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      572    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1039    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
      671    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      589    0.002    0.000    0.004    0.000 enum.py:383(__setitem__)
     5496    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      671    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     6239    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      503    0.002    0.000    0.005    0.000 _ufunc_config.py:441(__enter__)
    350/5    0.002    0.000    0.952    0.190 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     7303    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
