run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.344, Time: 2.852376 s
         1122328 function calls (1106011 primitive calls) in 3.615 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.810    2.810    2.869    2.869 run_lebwohl_lasher_p_cython.py:213(main)
     1389    0.085    0.000    0.085    0.000 {built-in method posix.stat}
     7554    0.056    0.000    0.104    0.000 inspect.py:879(cleandoc)
      286    0.042    0.000    0.042    0.000 {built-in method marshal.loads}
    44/43    0.028    0.001    0.033    0.001 {built-in method _imp.create_dynamic}
      227    0.022    0.000    0.067    0.000 artist.py:1433(get_aliases)
      456    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
    10244    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
      501    0.016    0.000    0.026    0.000 _linalg.py:1502(eigh)
    73597    0.015    0.000    0.016    0.000 {built-in method builtins.getattr}
    98311    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
1102/1014    0.014    0.000    0.341    0.000 {built-in method builtins.__build_class__}
171344/170270    0.014    0.000    0.014    0.000 {built-in method builtins.len}
      227    0.013    0.000    0.043    0.000 artist.py:1511(get_setters)
    89408    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
     4409    0.011    0.000    0.135    0.000 artist.py:1461(get_valid_values)
    63448    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        1    0.010    0.010    0.011    0.011 _triinterpolate.py:1(<module>)
     1501    0.010    0.000    0.010    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    65829    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
     6868    0.008    0.000    0.016    0.000 inspect.py:2729(__init__)
      286    0.008    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
16310/16303    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
  479/229    0.008    0.000    0.019    0.000 _parser.py:512(_parse)
     9196    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
      692    0.006    0.000    0.018    0.000 inspect.py:2368(_signature_from_function)
    35552    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      591    0.005    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      286    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
     6985    0.005    0.000    0.043    0.000 __init__.py:280(_compile)
     7512    0.005    0.000    0.091    0.000 inspect.py:860(getdoc)
16068/16034    0.005    0.000    0.008    0.000 {built-in method builtins.hasattr}
      959    0.005    0.000    0.007    0.000 inspect.py:3015(__init__)
