run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.368, Time: 1.215564 s
         1116328 function calls (1100011 primitive calls) in 2.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.193    1.193    1.251    1.251 run_lebwohl_lasher_p_cython.py:213(main)
    44/43    0.143    0.003    0.150    0.003 {built-in method _imp.create_dynamic}
      286    0.136    0.000    0.136    0.000 {method 'read' of '_io.BufferedReader' objects}
     1389    0.095    0.000    0.095    0.000 {built-in method posix.stat}
     7554    0.058    0.000    0.107    0.000 inspect.py:879(cleandoc)
      286    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
       31    0.023    0.001    0.059    0.002 __init__.py:884(_rc_params_in_file)
      227    0.020    0.000    0.065    0.000 artist.py:1433(get_aliases)
      456    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
      501    0.016    0.000    0.024    0.000 _linalg.py:1502(eigh)
    10244    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
1102/1014    0.015    0.000    0.345    0.000 {built-in method builtins.__build_class__}
    98311    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
    72597    0.014    0.000    0.015    0.000 {built-in method builtins.getattr}
171344/170270    0.014    0.000    0.014    0.000 {built-in method builtins.len}
      227    0.013    0.000    0.044    0.000 artist.py:1511(get_setters)
    89408    0.013    0.000    0.013    0.000 {method 'lstrip' of 'str' objects}
     4409    0.012    0.000    0.139    0.000 artist.py:1461(get_valid_values)
        1    0.012    0.012    0.013    0.013 _triinterpolate.py:1(<module>)
    63448    0.011    0.000    0.011    0.000 {built-in method builtins.min}
    65829    0.009    0.000    0.013    0.000 {built-in method builtins.isinstance}
    44/41    0.009    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
     6868    0.009    0.000    0.016    0.000 inspect.py:2729(__init__)
      286    0.009    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
16310/16303    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
  479/229    0.008    0.000    0.019    0.000 _parser.py:512(_parse)
     9196    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
      692    0.006    0.000    0.019    0.000 inspect.py:2368(_signature_from_function)
    35552    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     7512    0.006    0.000    0.093    0.000 inspect.py:860(getdoc)
     6985    0.005    0.000    0.044    0.000 __init__.py:280(_compile)
      591    0.005    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
16068/16034    0.005    0.000    0.009    0.000 {built-in method builtins.hasattr}
      959    0.005    0.000    0.007    0.000 inspect.py:3015(__init__)
      286    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
     4409    0.005    0.000    0.010    0.000 artist.py:1549(aliased_name)
     7566    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
      120    0.004    0.000    0.171    0.001 artist.py:1593(pprint_setters)
       25    0.004    0.000    0.004    0.000 {built-in method unicodedata.name}
 1035/205    0.004    0.000    0.009    0.000 _compiler.py:37(_compile)
  791/725    0.004    0.000    0.026    0.000 inspect.py:2463(_signature_from_callable)
3678/3199    0.004    0.000    0.009    0.000 {built-in method __new__ of type object at 0x562af3bb7300}
        1    0.004    0.004    0.004    0.004 {method 'readlines' of '_io._IOBase' objects}
      501    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      348    0.003    0.000    0.120    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      106    0.003    0.000    0.256    0.002 artist.py:158(_update_set_signature_and_docstring)
     5929    0.003    0.000    0.038    0.000 __init__.py:174(search)
    301/1    0.003    0.000    2.301    2.301 {built-in method builtins.exec}
     3104    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    12750    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       61    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
      479    0.003    0.000    0.006    0.000 enum.py:249(__set_name__)
      671    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
     7310    0.003    0.000    0.007    0.000 enum.py:713(__call__)
      286    0.003    0.000    0.209    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.003    0.003    0.005    0.005 _scimath_impl.py:1(<module>)
       34    0.003    0.000    0.003    0.000 {built-in method _io.open}
    32231    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
    353/5    0.002    0.000    1.074    0.215 <frozen importlib._bootstrap>:1349(_find_and_load)
    10402    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     4584    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
     2703    0.002    0.000    0.004    0.000 cbook.py:468(_strip_comment)
     7462    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
      698    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
      319    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
       42    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
      589    0.002    0.000    0.004    0.000 enum.py:383(__setitem__)
       33    0.002    0.000    1.507    0.046 __init__.py:1(<module>)
 1713/195    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      572    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       37    0.002    0.000    0.002    0.000 function_base.py:25(linspace)
      671    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
     9016    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      671    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
    350/5    0.002    0.000    1.074    0.215 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.002    0.002    0.008    0.008 artist.py:1(<module>)
     5496    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
 1229/403    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
      671    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     6239    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     7303    0.001    0.000    0.002    0.000 enum.py:1116(__new__)
     7298    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       89    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.001    0.001    0.004    0.004 getlimits.py:166(_register_known_types)
       67    0.001    0.000    0.001    0.000 colors.py:1133(reversed)
     7080    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      137    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
      345    0.001    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
     6166    0.001    0.000    0.001    0.000 _parser.py:240(__next)
     5079    0.001    0.000    0.002    0.000 _parser.py:261(get)
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        1    0.001    0.001    0.005    0.005 run_lebwohl_lasher_p_cython.py:153(save_data)
      335    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1623    0.001    0.000    0.002    0.000 typing.py:1169(__setattr__)
      671    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
    335/5    0.001    0.000    1.068    0.214 <frozen importlib._bootstrap>:911(_load_unlocked)
      631    0.001    0.000    0.002    0.000 typing.py:1587(__hash__)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  429/205    0.001    0.000    0.020    0.000 _parser.py:452(_parse_sub)
     5702    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      286    0.001    0.000    0.144    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      434    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
     3277    0.001    0.000    0.001    0.000 inspect.py:3062(<genexpr>)
       24    0.001    0.000    0.002    0.000 util.py:209(_collapse_string_to_ranges)
      977    0.001    0.000    0.028    0.000 __init__.py:748(__setitem__)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       42    0.001    0.000    0.009    0.000 enum.py:515(__new__)
     3356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      501    0.001    0.000    0.002    0.000 _linalg.py:148(_commonType)
1435/1255    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      790    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
      241    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
      694    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      286    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      205    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
      236    0.001    0.000    0.007    0.000 typing.py:1223(__init__)
 1713/195    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
