#=====================================================
# File created:        Sat-22-Feb-2025-at-05-31-28PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.281241
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22273.1690  0.2531
   00001    0.6965  -34758.4857  0.2505
   00002    0.6250  -42236.4290  0.2545
   00003    0.5904  -47739.6640  0.2545
   00004    0.5485  -51887.0678  0.2555
   00005    0.5286  -55060.1413  0.2537
   00006    0.5130  -57527.6834  0.2519
   00007    0.4983  -59705.9608  0.2517
   00008    0.4835  -61421.8455  0.2548
   00009    0.4744  -62801.9229  0.2575
   00010    0.4734  -63996.2474  0.2591
   00011    0.4710  -64964.9193  0.2605
   00012    0.4636  -65904.0936  0.2612
   00013    0.4594  -66397.9202  0.2622
   00014    0.4595  -67044.4290  0.2637
   00015    0.4562  -67504.0332  0.2625
   00016    0.4456  -68131.1249  0.2646
   00017    0.4432  -68750.6965  0.2648
   00018    0.4437  -69135.0568  0.2651
   00019    0.4394  -69648.5489  0.2666
   00020    0.4451  -69929.9156  0.2659
   00021    0.4395  -70215.3617  0.2659
   00022    0.4396  -70439.5101  0.2674
   00023    0.4300  -70720.9364  0.2702
   00024    0.4314  -70737.9136  0.2714
   00025    0.4413  -70799.7824  0.2720
   00026    0.4368  -70925.6329  0.2721
   00027    0.4363  -71175.7213  0.2718
   00028    0.4324  -71419.5225  0.2703
   00029    0.4373  -71607.5614  0.2709
   00030    0.4385  -71772.5038  0.2723
   00031    0.4308  -71850.7139  0.2717
   00032    0.4293  -71992.7191  0.2743
   00033    0.4340  -72149.8146  0.2732
   00034    0.4272  -72268.2638  0.2718
   00035    0.4290  -72409.0323  0.2713
   00036    0.4254  -72481.0027  0.2700
   00037    0.4277  -72573.8777  0.2680
   00038    0.4282  -72637.2843  0.2678
   00039    0.4262  -72757.2026  0.2675
   00040    0.4273  -72793.3861  0.2664
   00041    0.4271  -72951.1364  0.2651
   00042    0.4236  -73019.7412  0.2630
   00043    0.4249  -73066.6080  0.2610
   00044    0.4267  -73159.5040  0.2595
   00045    0.4302  -73220.9789  0.2585
   00046    0.4310  -73186.3979  0.2567
   00047    0.4227  -73169.5562  0.2554
   00048    0.4295  -73304.8662  0.2545
   00049    0.4209  -73307.1715  0.2559
   00050    0.4261  -73352.9064  0.2561
   00051    0.4243  -73288.0352  0.2572
   00052    0.4276  -73482.7852  0.2582
   00053    0.4278  -73533.2869  0.2559
   00054    0.4273  -73669.7938  0.2574
   00055    0.4249  -73709.4848  0.2587
   00056    0.4211  -73790.4347  0.2593
   00057    0.4248  -73863.7509  0.2644
   00058    0.4239  -73847.5298  0.2650
   00059    0.4211  -73973.4670  0.2648
   00060    0.4240  -74039.6798  0.2650
   00061    0.4229  -74104.6496  0.2659
   00062    0.4225  -73975.3022  0.2661
   00063    0.4257  -73928.1924  0.2669
   00064    0.4173  -73865.0246  0.2667
   00065    0.4279  -73923.7515  0.2641
   00066    0.4244  -74069.1741  0.2643
   00067    0.4220  -74203.4207  0.2622
   00068    0.4092  -74365.6848  0.2621
   00069    0.4236  -74465.8158  0.2602
   00070    0.4163  -74377.6502  0.2623
   00071    0.4208  -74412.1520  0.2625
   00072    0.4182  -74395.0067  0.2630
   00073    0.4264  -74481.7971  0.2626
   00074    0.4212  -74420.2916  0.2616
   00075    0.4184  -74756.5967  0.2621
   00076    0.4212  -74550.0673  0.2626
   00077    0.4218  -74482.6461  0.2633
   00078    0.4164  -74612.1718  0.2660
   00079    0.4178  -74600.6373  0.2674
   00080    0.4181  -74714.0938  0.2676
   00081    0.4192  -74685.4199  0.2664
   00082    0.4165  -74701.9763  0.2679
   00083    0.4150  -74719.2965  0.2677
   00084    0.4204  -74766.1090  0.2685
   00085    0.4216  -74859.9117  0.2685
   00086    0.4173  -74815.2561  0.2664
   00087    0.4172  -74833.4131  0.2676
   00088    0.4125  -74792.2096  0.2678
   00089    0.4148  -74701.9205  0.2680
   00090    0.4211  -74655.4067  0.2685
   00091    0.4207  -74781.6821  0.2689
   00092    0.4159  -74715.5432  0.2672
   00093    0.4126  -74735.8729  0.2682
   00094    0.4173  -74761.0944  0.2668
   00095    0.4184  -74705.5465  0.2655
   00096    0.4158  -74815.1000  0.2652
   00097    0.4215  -74921.2923  0.2647
   00098    0.4152  -74911.7634  0.2687
   00099    0.4180  -74963.9824  0.2679
   00100    0.4203  -74865.4279  0.2642
   00101    0.4148  -74851.9173  0.2633
   00102    0.4194  -74894.3679  0.2647
   00103    0.4166  -74949.9239  0.2643
   00104    0.4196  -75000.2616  0.2626
   00105    0.4224  -75088.5849  0.2629
   00106    0.4176  -75074.4822  0.2632
   00107    0.4151  -75089.8458  0.2624
   00108    0.4174  -75011.2691  0.2648
   00109    0.4132  -74928.1427  0.2657
   00110    0.4172  -75065.3283  0.2668
   00111    0.4127  -75079.1189  0.2651
   00112    0.4170  -75023.5259  0.2667
   00113    0.4150  -74929.0671  0.2676
   00114    0.4188  -74894.0639  0.2675
   00115    0.4191  -74914.9124  0.2703
   00116    0.4164  -74923.3141  0.2698
   00117    0.4120  -74917.6562  0.2694
   00118    0.4241  -74745.8864  0.2722
   00119    0.4205  -74853.7135  0.2747
   00120    0.4149  -75037.5850  0.2774
   00121    0.4242  -75115.4161  0.2815
   00122    0.4168  -75040.4285  0.2821
   00123    0.4202  -75012.9068  0.2822
   00124    0.4224  -74881.8254  0.2805
   00125    0.4185  -74939.1117  0.2804
   00126    0.4176  -74980.9012  0.2814
   00127    0.4193  -75042.3476  0.2814
   00128    0.4125  -75160.5632  0.2810
   00129    0.4136  -75177.0708  0.2805
   00130    0.4180  -75276.9532  0.2804
   00131    0.4143  -75337.3207  0.2794
   00132    0.4115  -75257.8154  0.2796
   00133    0.4137  -75329.8291  0.2800
   00134    0.4140  -75437.5353  0.2803
   00135    0.4191  -75303.2425  0.2826
   00136    0.4216  -75398.3813  0.2818
   00137    0.4192  -75310.9865  0.2828
   00138    0.4189  -75305.6182  0.2821
   00139    0.4174  -75358.7864  0.2873
   00140    0.4179  -75351.0447  0.2876
   00141    0.4138  -75368.4078  0.2842
   00142    0.4157  -75320.3704  0.2836
   00143    0.4157  -75234.0266  0.2828
   00144    0.4224  -75212.6338  0.2827
   00145    0.4171  -75234.6882  0.2828
   00146    0.4135  -75256.2791  0.2839
   00147    0.4158  -75308.1690  0.2854
   00148    0.4204  -75391.0808  0.2846
   00149    0.4182  -75422.5320  0.2853
   00150    0.4158  -75442.1277  0.2825
   00151    0.4202  -75355.4715  0.2811
   00152    0.4195  -75322.6714  0.2814
