#=====================================================
# File created:        Sat-22-Feb-2025-at-02-40-31PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        4.009780
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22830.8476  0.2594
   00001    0.6765  -33708.5958  0.2618
   00002    0.6175  -40816.4909  0.2650
   00003    0.5847  -45795.4293  0.2681
   00004    0.5525  -49592.8706  0.2682
   00005    0.5413  -52571.9701  0.2714
   00006    0.5230  -55120.6362  0.2699
   00007    0.5068  -57179.2747  0.2701
   00008    0.4997  -58983.0326  0.2747
   00009    0.4928  -60484.1997  0.2759
   00010    0.4883  -61785.4415  0.2787
   00011    0.4760  -62824.9560  0.2776
   00012    0.4753  -63905.5411  0.2767
   00013    0.4621  -64668.2137  0.2790
   00014    0.4651  -65381.6126  0.2803
   00015    0.4576  -66149.1742  0.2819
   00016    0.4570  -66746.6879  0.2815
   00017    0.4524  -67358.9390  0.2821
   00018    0.4433  -67727.0116  0.2841
   00019    0.4473  -68275.3692  0.2850
   00020    0.4502  -68635.2224  0.2847
   00021    0.4448  -68982.5784  0.2854
   00022    0.4435  -69188.1808  0.2881
   00023    0.4507  -69474.5099  0.2876
   00024    0.4422  -69804.1812  0.2892
   00025    0.4448  -70082.4469  0.2894
   00026    0.4380  -70321.1233  0.2886
   00027    0.4348  -70510.8896  0.2878
   00028    0.4352  -70647.1745  0.2904
   00029    0.4305  -70913.5838  0.2905
   00030    0.4341  -71068.7648  0.2924
   00031    0.4382  -71119.3692  0.2941
   00032    0.4334  -71328.8419  0.2947
   00033    0.4421  -71391.0867  0.2940
   00034    0.4346  -71500.4799  0.2939
   00035    0.4356  -71552.5342  0.2947
   00036    0.4360  -71768.4376  0.2932
   00037    0.4304  -72008.7190  0.2943
   00038    0.4278  -72098.4095  0.2962
   00039    0.4278  -72264.2760  0.2957
   00040    0.4244  -72361.8082  0.2979
   00041    0.4309  -72458.6609  0.2982
   00042    0.4276  -72418.4332  0.2985
   00043    0.4290  -72570.6244  0.2993
   00044    0.4324  -72622.1029  0.3011
   00045    0.4341  -72723.6811  0.2983
   00046    0.4276  -72777.2504  0.3011
   00047    0.4312  -72945.8578  0.3036
   00048    0.4220  -73011.1595  0.3050
   00049    0.4275  -73226.5924  0.3043
   00050    0.4230  -73263.3026  0.3067
   00051    0.4280  -73344.3927  0.3087
   00052    0.4289  -73323.2842  0.3104
   00053    0.4215  -73320.0218  0.3119
   00054    0.4216  -73490.6327  0.3119
   00055    0.4276  -73530.2767  0.3131
   00056    0.4193  -73405.2713  0.3110
   00057    0.4160  -73594.9803  0.3105
   00058    0.4278  -73622.5476  0.3118
