#=====================================================
# File created:        Sat-22-Feb-2025-at-02-24-46PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        6.711746
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -21953.2182  0.2523
   00001    0.6791  -32751.0868  0.2515
   00002    0.6324  -39990.1476  0.2549
   00003    0.5899  -45280.6247  0.2570
   00004    0.5627  -49131.7635  0.2572
   00005    0.5400  -52210.6771  0.2572
   00006    0.5301  -55043.0606  0.2570
   00007    0.5113  -56976.0303  0.2564
   00008    0.4986  -58857.7737  0.2582
   00009    0.4933  -60399.8735  0.2596
   00010    0.4824  -61636.7016  0.2590
   00011    0.4736  -62759.6602  0.2607
   00012    0.4721  -63715.9290  0.2623
   00013    0.4655  -64601.2613  0.2657
   00014    0.4654  -65590.7812  0.2683
   00015    0.4567  -66237.3822  0.2679
   00016    0.4515  -66635.1356  0.2708
   00017    0.4557  -67193.4922  0.2719
   00018    0.4505  -67523.1944  0.2721
   00019    0.4479  -67937.0740  0.2744
   00020    0.4509  -68431.4465  0.2749
   00021    0.4424  -68913.4963  0.2756
   00022    0.4401  -69217.9431  0.2787
   00023    0.4386  -69618.0898  0.2800
   00024    0.4456  -69802.9083  0.2789
   00025    0.4374  -69932.7232  0.2765
   00026    0.4395  -70231.4839  0.2770
   00027    0.4339  -70624.0400  0.2785
   00028    0.4350  -70798.1883  0.2787
   00029    0.4301  -70928.8704  0.2774
   00030    0.4305  -71080.3943  0.2789
   00031    0.4329  -71110.1491  0.2813
   00032    0.4356  -71218.6110  0.2792
   00033    0.4350  -71387.2295  0.2796
   00034    0.4312  -71352.1769  0.2792
   00035    0.4346  -71545.8435  0.2805
   00036    0.4308  -71649.9851  0.2798
   00037    0.4378  -71644.7198  0.2808
   00038    0.4357  -71853.7347  0.2827
   00039    0.4284  -72021.7305  0.2829
   00040    0.4339  -72014.2654  0.2830
   00041    0.4280  -72172.8081  0.2825
   00042    0.4306  -72299.1582  0.2813
   00043    0.4298  -72282.6995  0.2811
   00044    0.4241  -72350.7768  0.2823
   00045    0.4255  -72429.9566  0.2857
   00046    0.4277  -72609.9307  0.2873
   00047    0.4304  -72636.9726  0.2867
