#=====================================================
# File created:        Sat-22-Feb-2025-at-02-54-48PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        3.658214
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22449.6823  0.2518
   00001    0.6794  -33333.1186  0.2540
   00002    0.6244  -40626.0646  0.2542
   00003    0.5866  -45734.4843  0.2553
   00004    0.5632  -49661.6238  0.2516
   00005    0.5341  -52623.0787  0.2534
   00006    0.5177  -55080.1841  0.2529
   00007    0.5035  -57232.9760  0.2522
   00008    0.4944  -58929.7414  0.2534
   00009    0.4913  -60410.6125  0.2555
   00010    0.4825  -61625.2214  0.2573
   00011    0.4763  -62794.9896  0.2595
   00012    0.4636  -63865.4767  0.2591
   00013    0.4620  -64668.2614  0.2571
   00014    0.4619  -65427.2818  0.2590
   00015    0.4604  -66063.3530  0.2604
   00016    0.4580  -66594.2443  0.2577
   00017    0.4490  -67088.7144  0.2568
   00018    0.4531  -67522.6095  0.2582
   00019    0.4536  -68064.7675  0.2586
   00020    0.4533  -68330.5281  0.2599
   00021    0.4484  -68639.5800  0.2598
   00022    0.4410  -68992.0936  0.2629
   00023    0.4435  -69191.9357  0.2613
   00024    0.4473  -69573.4593  0.2614
   00025    0.4434  -69727.3956  0.2630
   00026    0.4433  -69965.0128  0.2618
   00027    0.4376  -70099.9659  0.2621
   00028    0.4454  -70198.3501  0.2608
   00029    0.4401  -70447.1170  0.2633
   00030    0.4335  -70516.2283  0.2632
   00031    0.4373  -70695.8470  0.2638
   00032    0.4431  -70798.0078  0.2636
   00033    0.4387  -70932.3045  0.2615
   00034    0.4376  -71028.1119  0.2639
   00035    0.4318  -71271.1202  0.2641
   00036    0.4337  -71377.7910  0.2631
   00037    0.4316  -71572.7680  0.2608
   00038    0.4363  -71524.6922  0.2599
   00039    0.4292  -71743.7920  0.2584
   00040    0.4289  -71864.2379  0.2580
   00041    0.4278  -71904.8295  0.2573
   00042    0.4267  -71993.8138  0.2589
   00043    0.4311  -72036.6123  0.2591
   00044    0.4349  -72057.4910  0.2598
   00045    0.4283  -72250.2007  0.2600
   00046    0.4262  -72403.3731  0.2613
   00047    0.4310  -72409.2896  0.2632
   00048    0.4283  -72531.1426  0.2644
   00049    0.4306  -72631.2528  0.2652
   00050    0.4311  -72732.4570  0.2653
   00051    0.4264  -72861.3391  0.2659
   00052    0.4270  -72979.2323  0.2662
   00053    0.4300  -73056.3254  0.2663
   00054    0.4300  -73205.1788  0.2682
   00055    0.4242  -73208.3787  0.2685
   00056    0.4220  -73299.9888  0.2700
   00057    0.4208  -73247.4969  0.2680
   00058    0.4327  -73222.4932  0.2683
   00059    0.4214  -73363.0908  0.2690
   00060    0.4203  -73399.6279  0.2694
   00061    0.4270  -73271.1633  0.2716
   00062    0.4249  -73281.9271  0.2722
   00063    0.4282  -73459.8728  0.2729
   00064    0.4236  -73676.6390  0.2743
   00065    0.4196  -73698.1669  0.2731
   00066    0.4276  -73869.0027  0.2733
   00067    0.4183  -73880.7419  0.2745
   00068    0.4237  -73824.3113  0.2729
   00069    0.4228  -73910.6302  0.2720
   00070    0.4230  -73808.8476  0.2704
   00071    0.4179  -73955.4821  0.2724
   00072    0.4173  -73941.2874  0.2722
   00073    0.4219  -73915.6063  0.2745
   00074    0.4207  -73914.2614  0.2760
   00075    0.4209  -73773.0810  0.2744
