#=====================================================
# File created:        Sun-23-Feb-2025-at-01-11-16PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.282638
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22904.2881  0.2558
   00001    0.6952  -34863.4327  0.2569
   00002    0.6165  -42234.9152  0.2601
   00003    0.5659  -46924.0833  0.2609
   00004    0.5280  -50484.1762  0.2622
   00005    0.5056  -52985.7278  0.2591
   00006    0.4881  -54906.7845  0.2578
   00007    0.4746  -56491.0293  0.2595
   00008    0.4647  -57832.7374  0.2611
   00009    0.4554  -58845.6120  0.2579
   00010    0.4498  -59673.4398  0.2577
   00011    0.4456  -60530.6689  0.2585
   00012    0.4376  -61281.0838  0.2582
   00013    0.4350  -61699.1814  0.2579
   00014    0.4370  -62046.1805  0.2567
   00015    0.4347  -62379.7642  0.2576
   00016    0.4329  -62827.1793  0.2579
   00017    0.4330  -63231.3407  0.2590
   00018    0.4265  -63532.6984  0.2581
   00019    0.4217  -63899.4412  0.2560
   00020    0.4211  -64216.7182  0.2545
   00021    0.4229  -64307.9946  0.2555
   00022    0.4224  -64393.5715  0.2543
   00023    0.4196  -64697.9853  0.2568
   00024    0.4210  -64815.8369  0.2544
   00025    0.4150  -64897.6181  0.2555
   00026    0.4187  -65151.9490  0.2550
   00027    0.4167  -65227.5759  0.2564
   00028    0.4180  -65328.6526  0.2580
   00029    0.4172  -65483.3728  0.2587
   00030    0.4172  -65387.5466  0.2594
   00031    0.4169  -65437.0949  0.2607
   00032    0.4179  -65794.1710  0.2596
   00033    0.4156  -65909.8520  0.2577
   00034    0.4152  -66033.6043  0.2566
   00035    0.4153  -66170.4734  0.2553
   00036    0.4156  -66244.4758  0.2542
   00037    0.4184  -66289.8898  0.2539
   00038    0.4156  -66431.9169  0.2552
   00039    0.4132  -66470.4189  0.2565
   00040    0.4165  -66499.6704  0.2577
   00041    0.4139  -66500.0986  0.2569
   00042    0.4110  -66576.8587  0.2587
   00043    0.4056  -66739.0522  0.2597
   00044    0.4124  -66732.4738  0.2610
   00045    0.4066  -66661.3915  0.2605
   00046    0.4166  -66612.1314  0.2622
   00047    0.4151  -66757.1570  0.2649
   00048    0.4132  -66901.9910  0.2643
   00049    0.4095  -66974.7833  0.2656
   00050    0.4098  -66988.2186  0.2666
   00051    0.4110  -66974.2199  0.2676
   00052    0.4054  -67039.6964  0.2678
   00053    0.4097  -67009.5257  0.2685
   00054    0.4070  -67128.8964  0.2675
   00055    0.4070  -67244.1363  0.2664
   00056    0.4088  -67212.8701  0.2649
   00057    0.4079  -67163.5473  0.2651
   00058    0.4124  -67142.5357  0.2647
   00059    0.4097  -67208.5588  0.2643
   00060    0.4092  -67233.9624  0.2633
   00061    0.4164  -67367.8969  0.2649
   00062    0.4132  -67485.5829  0.2656
   00063    0.4083  -67548.0300  0.2656
   00064    0.4064  -67463.3562  0.2657
   00065    0.4058  -67581.5724  0.2672
   00066    0.4080  -67493.7318  0.2704
   00067    0.4065  -67448.1863  0.2718
   00068    0.4087  -67600.4723  0.2743
   00069    0.4124  -67628.8624  0.2733
   00070    0.4075  -67778.3426  0.2716
   00071    0.4044  -67781.5315  0.2706
   00072    0.4084  -67761.3105  0.2701
   00073    0.4101  -67791.6357  0.2721
   00074    0.4090  -67780.7072  0.2710
   00075    0.4028  -67844.3878  0.2702
   00076    0.4052  -67835.6302  0.2696
   00077    0.4072  -67800.5309  0.2701
   00078    0.4026  -67789.3650  0.2695
   00079    0.4050  -67839.6524  0.2684
   00080    0.4080  -67937.1064  0.2695
   00081    0.4051  -68000.3850  0.2713
   00082    0.4047  -68061.8632  0.2699
   00083    0.4082  -68074.2017  0.2686
   00084    0.3996  -68008.9159  0.2668
   00085    0.4010  -67870.4151  0.2684
   00086    0.4067  -67901.7681  0.2720
   00087    0.4068  -67905.2735  0.2706
   00088    0.3984  -67762.9512  0.2718
   00089    0.4076  -67895.3083  0.2737
   00090    0.4063  -67839.5407  0.2726
   00091    0.4043  -67725.2610  0.2702
   00092    0.4094  -67880.0609  0.2694
   00093    0.4121  -68034.9403  0.2671
   00094    0.4037  -67946.0393  0.2653
   00095    0.4061  -67928.3047  0.2635
   00096    0.4063  -67839.4831  0.2641
   00097    0.4030  -67779.9379  0.2644
   00098    0.4032  -67812.7412  0.2657
   00099    0.4027  -67787.9091  0.2662
   00100    0.4037  -67948.4960  0.2666
   00101    0.4036  -67854.3007  0.2674
   00102    0.4020  -67828.3432  0.2668
   00103    0.4032  -67957.7651  0.2676
   00104    0.4028  -68011.8046  0.2695
   00105    0.4052  -68049.5117  0.2702
   00106    0.4018  -68156.5156  0.2705
   00107    0.4024  -68139.0837  0.2690
   00108    0.3974  -68115.9293  0.2667
   00109    0.4037  -68072.1761  0.2654
   00110    0.4044  -67992.7541  0.2655
   00111    0.4041  -68017.2069  0.2660
   00112    0.3990  -68207.7720  0.2623
   00113    0.4013  -68139.9670  0.2601
   00114    0.4042  -68108.7743  0.2573
   00115    0.4034  -67977.1904  0.2573
   00116    0.4072  -67876.4912  0.2588
   00117    0.4016  -67880.6764  0.2621
   00118    0.4012  -67908.1947  0.2617
   00119    0.4068  -67921.8933  0.2632
   00120    0.4069  -67967.4011  0.2658
   00121    0.4061  -68033.7862  0.2662
   00122    0.4086  -68081.2895  0.2641
   00123    0.4088  -68146.1207  0.2627
   00124    0.4038  -68174.4355  0.2637
   00125    0.4018  -68116.3686  0.2631
   00126    0.4038  -68189.8400  0.2637
   00127    0.4079  -68328.3106  0.2641
   00128    0.4052  -68487.4947  0.2647
   00129    0.4069  -68412.0076  0.2676
   00130    0.4046  -68394.9285  0.2664
   00131    0.4052  -68466.1013  0.2687
   00132    0.4037  -68450.5290  0.2700
   00133    0.4031  -68444.8377  0.2720
   00134    0.4015  -68546.0513  0.2717
   00135    0.4018  -68492.8092  0.2726
   00136    0.3997  -68449.0897  0.2720
   00137    0.4020  -68410.9641  0.2721
   00138    0.4004  -68441.3816  0.2699
   00139    0.4003  -68427.0114  0.2711
   00140    0.4019  -68329.6717  0.2706
   00141    0.4004  -68291.9661  0.2691
   00142    0.4060  -68381.0593  0.2704
   00143    0.4122  -68301.3504  0.2683
   00144    0.4039  -68153.0264  0.2669
   00145    0.4037  -68412.3884  0.2652
   00146    0.4079  -68526.4452  0.2664
   00147    0.4071  -68676.5655  0.2658
   00148    0.4069  -68640.1366  0.2683
   00149    0.4010  -68655.2795  0.2655
   00150    0.4016  -68696.8787  0.2640
   00151    0.4027  -68619.0277  0.2625
   00152    0.4063  -68678.5338  0.2608
   00153    0.4005  -68708.3393  0.2607
   00154    0.4016  -68631.4104  0.2612
   00155    0.4012  -68629.4923  0.2620
   00156    0.3996  -68697.7870  0.2619
   00157    0.4058  -68662.8532  0.2640
   00158    0.4020  -68597.3234  0.2665
   00159    0.4026  -68463.7490  0.2686
   00160    0.3998  -68422.5426  0.2685
   00161    0.4069  -68418.1847  0.2674
   00162    0.4004  -68480.1046  0.2660
   00163    0.4012  -68570.7767  0.2648
   00164    0.3985  -68447.5371  0.2654
   00165    0.4011  -68505.7381  0.2630
   00166    0.4021  -68714.5042  0.2602
   00167    0.4006  -68743.7174  0.2606
   00168    0.4005  -68553.3457  0.2585
   00169    0.4064  -68533.3320  0.2572
   00170    0.4031  -68648.3189  0.2612
   00171    0.4034  -68502.3130  0.2629
   00172    0.4020  -68450.5384  0.2632
