#=====================================================
# File created:        Sun-23-Feb-2025-at-01-07-55PM
# Size of lattice:     150x150
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        3.666939
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22904.2881  0.2558
   00001    0.6780  -33612.3803  0.2560
   00002    0.5805  -38445.5905  0.2534
   00003    0.5151  -40310.6525  0.2567
   00004    0.4768  -41046.7643  0.2549
   00005    0.4580  -41514.2576  0.2558
   00006    0.4431  -41738.8561  0.2570
   00007    0.4355  -41821.2842  0.2548
   00008    0.4275  -41804.7692  0.2548
   00009    0.4268  -41762.5558  0.2544
   00010    0.4196  -41851.8412  0.2529
   00011    0.4161  -41927.4336  0.2565
   00012    0.4168  -42031.3019  0.2565
   00013    0.4123  -42019.3823  0.2538
   00014    0.4070  -42101.0026  0.2512
   00015    0.4074  -42116.2582  0.2546
   00016    0.4036  -42087.0224  0.2541
   00017    0.4024  -42027.9809  0.2564
   00018    0.4011  -42086.9999  0.2564
   00019    0.3988  -42067.6363  0.2580
   00020    0.4001  -41986.4220  0.2563
   00021    0.4024  -41909.3648  0.2571
   00022    0.3993  -41933.5247  0.2588
   00023    0.3985  -41907.5091  0.2580
   00024    0.4032  -41847.6989  0.2570
   00025    0.4044  -41975.7952  0.2539
   00026    0.4036  -42040.8055  0.2523
   00027    0.4016  -42083.8103  0.2532
   00028    0.4020  -42129.9917  0.2550
   00029    0.3993  -42214.8325  0.2549
   00030    0.3996  -42140.4774  0.2540
   00031    0.3994  -42085.7352  0.2540
   00032    0.3939  -42146.4498  0.2549
   00033    0.3969  -42185.2346  0.2550
   00034    0.3948  -42201.3893  0.2543
   00035    0.3906  -42057.2439  0.2575
   00036    0.3960  -42001.9724  0.2584
   00037    0.3956  -42026.5253  0.2578
   00038    0.4000  -42101.8087  0.2595
   00039    0.3988  -42162.3012  0.2611
   00040    0.3967  -42116.0682  0.2614
   00041    0.3978  -42133.5532  0.2594
   00042    0.3954  -42104.3000  0.2592
   00043    0.3930  -42055.3988  0.2594
   00044    0.3972  -42072.6297  0.2566
   00045    0.3975  -42116.9631  0.2582
   00046    0.3916  -42104.4664  0.2571
   00047    0.3936  -42091.5944  0.2586
   00048    0.3965  -42057.3651  0.2604
   00049    0.3964  -42057.7451  0.2586
   00050    0.3936  -41997.5351  0.2554
   00051    0.3942  -42011.2579  0.2557
   00052    0.3940  -42047.4351  0.2531
   00053    0.3943  -42051.0695  0.2537
   00054    0.3960  -42033.0528  0.2542
   00055    0.3918  -42035.3327  0.2547
   00056    0.3940  -41999.3759  0.2550
   00057    0.3922  -41963.7101  0.2534
   00058    0.3948  -42023.3110  0.2517
   00059    0.3949  -42165.4825  0.2516
   00060    0.3943  -42301.1785  0.2529
   00061    0.3924  -42237.6170  0.2545
   00062    0.3941  -42234.0809  0.2547
   00063    0.3913  -42194.0997  0.2550
   00064    0.3888  -42063.2061  0.2569
   00065    0.3896  -42021.6851  0.2571
   00066    0.3896  -42083.1016  0.2578
   00067    0.3911  -41988.3493  0.2570
   00068    0.3887  -41838.1665  0.2578
   00069    0.3938  -41799.2343  0.2584
   00070    0.3926  -41709.6835  0.2587
   00071    0.3939  -41722.0586  0.2567
   00072    0.3936  -41721.5185  0.2585
   00073    0.3888  -41779.1749  0.2614
   00074    0.3908  -41815.3804  0.2640
   00075    0.3943  -41906.2092  0.2635
   00076    0.3916  -41960.6809  0.2638
   00077    0.3908  -41942.8593  0.2639
   00078    0.3894  -41909.5185  0.2603
   00079    0.3915  -41945.2129  0.2558
   00080    0.3912  -41990.4849  0.2554
   00081    0.3929  -41933.1659  0.2556
   00082    0.3924  -41940.2024  0.2545
   00083    0.3927  -41996.2243  0.2537
   00084    0.3927  -42038.6343  0.2532
   00085    0.3918  -41832.2041  0.2542
   00086    0.3938  -41874.9257  0.2568
   00087    0.3894  -41918.9850  0.2545
   00088    0.3949  -42007.5049  0.2564
   00089    0.3918  -42040.3768  0.2579
   00090    0.3908  -42030.4453  0.2586
   00091    0.3902  -42042.3045  0.2611
   00092    0.3914  -42049.5356  0.2639
   00093    0.3923  -42006.3980  0.2646
   00094    0.3924  -42015.2108  0.2638
   00095    0.3918  -42121.4950  0.2651
   00096    0.3904  -42119.8389  0.2644
   00097    0.3899  -42056.6539  0.2650
   00098    0.3875  -42085.6281  0.2624
   00099    0.3882  -41959.8560  0.2629
   00100    0.3888  -41787.6749  0.2607
   00101    0.3901  -41809.4031  0.2603
   00102    0.3902  -41804.8903  0.2586
   00103    0.3917  -41775.9475  0.2574
   00104    0.3895  -41656.5457  0.2595
   00105    0.3897  -41637.0558  0.2612
   00106    0.3953  -41602.0000  0.2621
   00107    0.3936  -41697.6593  0.2600
   00108    0.3927  -41628.7041  0.2576
