lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.326, Time: 1.281241 s
         1839736 function calls (1807021 primitive calls) in 2.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.269    1.269    1.761    1.761 lebwohl_lasher_p_numba.py:439(main)
     3355    0.181    0.000    0.181    0.000 {built-in method posix.stat}
      769    0.112    0.000    0.112    0.000 {built-in method marshal.loads}
     7559    0.060    0.000    0.113    0.000 inspect.py:879(cleandoc)
      769    0.042    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
3156/3062    0.033    0.000    0.422    0.000 {built-in method builtins.__build_class__}
    83/81    0.032    0.000    0.039    0.000 {built-in method _imp.create_dynamic}
6974/6316    0.029    0.000    0.043    0.000 {built-in method __new__ of type object at 0x5603e573b300}
1754/1751    0.024    0.000    0.040    0.000 ffi.py:195(__call__)
      227    0.022    0.000    0.069    0.000 artist.py:1433(get_aliases)
      775    0.021    0.000    0.021    0.000 {method 'read' of '_io.BufferedReader' objects}
      101    0.021    0.000    0.041    0.000 {built-in method _io.open}
    94442    0.020    0.000    0.023    0.000 {built-in method builtins.getattr}
212273/209925    0.020    0.000    0.020    0.000 {built-in method builtins.len}
   106989    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
 1153/334    0.017    0.000    0.044    0.000 _parser.py:512(_parse)
    10256    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
   107345    0.017    0.000    0.024    0.000 {built-in method builtins.isinstance}
      461    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
        4    0.015    0.004    0.015    0.004 {built-in method posix.open}
      227    0.014    0.000    0.046    0.000 artist.py:1511(get_setters)
    90214    0.014    0.000    0.014    0.000 {method 'lstrip' of 'str' objects}
      336    0.014    0.000    0.017    0.000 {built-in method builtins.eval}
    69441    0.012    0.000    0.012    0.000 {built-in method builtins.min}
     1218    0.012    0.000    0.189    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      769    0.012    0.000    0.012    0.000 {built-in method _io.open_code}
     4409    0.011    0.000    0.142    0.000 artist.py:1461(get_valid_values)
    64987    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        1    0.011    0.011    0.011    0.011 _triinterpolate.py:1(<module>)
        3    0.011    0.004    0.011    0.004 {built-in method _ctypes.dlopen}
21604/21596    0.011    0.000    0.013    0.000 {method 'join' of 'str' objects}
 2280/307    0.010    0.000    0.025    0.000 _compiler.py:37(_compile)
     7397    0.010    0.000    0.018    0.000 inspect.py:2729(__init__)
33314/32654    0.009    0.000    0.127    0.000 {built-in method builtins.hasattr}
     1086    0.009    0.000    0.029    0.000 templates.py:887(make_overload_template)
      881    0.009    0.000    0.026    0.000 inspect.py:2368(_signature_from_function)
23685/23377    0.008    0.000    0.014    0.000 abstract.py:121(__hash__)
      658    0.008    0.000    0.013    0.000 enum.py:249(__set_name__)
      885    0.008    0.000    0.213    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    27391    0.008    0.000    0.013    0.000 {method 'get' of 'dict' objects}
      824    0.008    0.000    0.008    0.000 {method '__exit__' of '_io._IOBase' objects}
    83/77    0.008    0.000    0.016    0.000 {built-in method _imp.exec_dynamic}
     9716    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
     1553    0.007    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
  2232/27    0.007    0.000    0.077    0.003 context.py:407(install_registry)
    826/1    0.007    0.000    2.905    2.905 {built-in method builtins.exec}
     6635    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     7341    0.007    0.000    0.092    0.000 __init__.py:280(_compile)
5642/4583    0.007    0.000    1.201    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    16616    0.007    0.000    0.015    0.000 utils.py:475(stream_list)
       97    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
      769    0.006    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1214    0.006    0.000    0.009    0.000 inspect.py:3015(__init__)
      114    0.006    0.000    0.015    0.000 __init__.py:355(namedtuple)
     1845    0.006    0.000    0.007    0.000 functions.py:245(__init__)
     2150    0.006    0.000    0.006    0.000 {built-in method _abc._abc_init}
4365/2115    0.006    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
