lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.365, Time: 6.711746 s
         7901459 function calls (7561971 primitive calls) in 12.662 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.097    5.097   11.418   11.418 lebwohl_lasher_p_numba.py:443(main)
    20652    1.672    0.000    2.029    0.000 ffi.py:195(__call__)
     3388    0.230    0.000    0.230    0.000 {built-in method posix.stat}
184276/32241    0.193    0.000    0.296    0.000 ir.py:321(_rec_list_vars)
  1201566    0.185    0.000    0.240    0.000 {built-in method builtins.isinstance}
      766    0.117    0.000    0.117    0.000 {built-in method marshal.loads}
339028/338696    0.101    0.000    0.193    0.000 {built-in method builtins.getattr}
105911/53886    0.089    0.000    0.282    0.000 {method 'format' of 'str' objects}
      121    0.076    0.001    0.114    0.001 {built-in method _io.open}
     7559    0.069    0.000    0.130    0.000 inspect.py:879(cleandoc)
    96642    0.065    0.000    0.151    0.000 event.py:243(notify)
      815    0.064    0.000    0.098    0.000 cgutils.py:417(get_or_insert_function)
   141331    0.058    0.000    0.096    0.000 targetconfig.py:111(getter)
  1134/81    0.051    0.000    5.657    0.070 compiler_machinery.py:267(_runPass)
     4383    0.050    0.000    0.081    0.000 instructions.py:693(__init__)
    46962    0.048    0.000    0.205    0.000 event.py:209(broadcast)
   201613    0.046    0.000    0.066    0.000 {method 'get' of 'dict' objects}
3579/3485    0.045    0.000    0.493    0.000 {built-in method builtins.__build_class__}
        8    0.044    0.005    0.044    0.005 {built-in method posix.replace}
      766    0.043    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
   178899    0.041    0.000    0.041    0.000 {method 'startswith' of 'str' objects}
314124/304904    0.040    0.000    0.043    0.000 {built-in method builtins.len}
56419/23866    0.039    0.000    0.256    0.000 _utils.py:44(__str__)
21124/20466    0.038    0.000    0.049    0.000 {built-in method __new__ of type object at 0x55f2bc094300}
    81/79    0.037    0.000    0.047    0.001 {built-in method _imp.create_dynamic}
    16848    0.036    0.000    0.220    0.000 values.py:544(_to_string)
   175468    0.036    0.000    0.036    0.000 {method 'append' of 'list' objects}
60973/49732    0.035    0.000    0.061    0.000 abstract.py:121(__hash__)
      420    0.035    0.000    0.217    0.001 analysis.py:23(compute_use_defs)
65678/62794    0.034    0.000    0.279    0.000 {built-in method builtins.next}
      774    0.033    0.000    0.033    0.000 {method 'read' of '_io.BufferedReader' objects}
     6118    0.031    0.000    0.162    0.000 targetconfig.py:197(values)
43428/43128    0.031    0.000    0.068    0.000 _utils.py:54(get_reference)
    23481    0.031    0.000    0.181    0.000 event.py:404(end_event)
57647/57268    0.030    0.000    0.073    0.000 {method 'join' of 'str' objects}
    16159    0.029    0.000    0.114    0.000 instructions.py:13(__init__)
    61061    0.028    0.000    0.039    0.000 {built-in method _abc._abc_instancecheck}
    23481    0.028    0.000    0.139    0.000 event.py:390(start_event)
        8    0.027    0.003    0.027    0.003 {built-in method posix.open}
    48321    0.027    0.000    0.042    0.000 event.py:270(on_end)
      227    0.026    0.000    0.082    0.000 artist.py:1433(get_aliases)
   147428    0.026    0.000    0.026    0.000 {method 'extend' of 'list' objects}
