#=====================================================
# File created:        Fri-21-Feb-2025-at-11-13-47AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        32.605918
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2467.6958  0.2610
   00001    0.6832   -3677.5793  0.2562
   00002    0.6192   -4412.9092  0.2588
   00003    0.6056   -4953.6901  0.2583
   00004    0.5664   -5407.1420  0.2553
   00005    0.5332   -5813.0675  0.2665
   00006    0.5220   -6161.0673  0.2707
   00007    0.5036   -6289.8537  0.2666
   00008    0.5064   -6546.8686  0.2643
   00009    0.4924   -6690.3521  0.2544
   00010    0.4948   -6874.7168  0.2569
   00011    0.4644   -6944.7115  0.2527
   00012    0.4612   -7067.1728  0.2529
   00013    0.4788   -7153.9693  0.2611
   00014    0.4504   -7273.7620  0.2615
   00015    0.4380   -7335.5349  0.2598
   00016    0.4428   -7408.2573  0.2640
   00017    0.4520   -7477.5705  0.2552
   00018    0.4520   -7542.1095  0.2568
   00019    0.4368   -7588.8050  0.2596
   00020    0.4792   -7630.9555  0.2624
   00021    0.4500   -7677.0967  0.2608
   00022    0.4420   -7673.2469  0.2693
   00023    0.4484   -7692.3177  0.2691
   00024    0.4580   -7733.2298  0.2672
   00025    0.4296   -7755.7838  0.2679
   00026    0.4396   -7750.9788  0.2683
   00027    0.4440   -7713.2958  0.2684
   00028    0.4596   -7727.0289  0.2690
   00029    0.4536   -7740.8497  0.2736
   00030    0.4396   -7809.3306  0.2786
   00031    0.4340   -7824.6323  0.2784
   00032    0.4328   -7773.1215  0.2757
   00033    0.4228   -7811.1761  0.2721
   00034    0.4544   -7795.7047  0.2782
   00035    0.4224   -7827.8657  0.2823
   00036    0.4300   -7794.1985  0.2859
   00037    0.4332   -7857.3007  0.2866
   00038    0.4264   -7918.7198  0.2875
   00039    0.4288   -7914.5751  0.2840
   00040    0.4208   -7907.7195  0.2839
   00041    0.4328   -7879.1447  0.2829
   00042    0.4364   -7876.5416  0.2857
   00043    0.4356   -7895.2969  0.2908
   00044    0.4292   -7872.0275  0.2988
   00045    0.4380   -7874.7887  0.2976
   00046    0.4340   -7858.3434  0.3019
   00047    0.4232   -7848.0805  0.3066
   00048    0.4416   -7896.1121  0.3056
   00049    0.4296   -7931.1612  0.3051
   00050    0.4308   -7916.9665  0.3008
   00051    0.4328   -7942.1082  0.3048
   00052    0.4388   -7973.0767  0.3107
   00053    0.4244   -7969.0152  0.3018
   00054    0.4508   -7943.3081  0.3072
   00055    0.4224   -7990.4995  0.3112
   00056    0.4368   -8032.5501  0.3069
   00057    0.4324   -8043.0365  0.3021
   00058    0.4328   -8031.2186  0.3040
   00059    0.4184   -8061.0360  0.3062
   00060    0.4324   -8051.0366  0.3032
   00061    0.4288   -8012.5438  0.3052
   00062    0.4280   -8072.5030  0.3015
   00063    0.4392   -8058.9394  0.3010
   00064    0.4424   -8060.7288  0.3011
   00065    0.4108   -8048.2144  0.3019
   00066    0.4256   -8094.5236  0.3029
   00067    0.4348   -8080.1568  0.3008
   00068    0.4416   -8088.8408  0.3023
   00069    0.4144   -8106.9360  0.3006
   00070    0.4180   -8084.5391  0.3016
   00071    0.4204   -8112.8123  0.3065
   00072    0.4248   -8095.5175  0.3076
   00073    0.4360   -8082.0116  0.3039
   00074    0.4204   -8086.5383  0.3030
   00075    0.4228   -8082.8460  0.3012
   00076    0.4240   -8086.9645  0.2969
   00077    0.4220   -8129.8418  0.3008
   00078    0.4376   -8119.7376  0.2985
   00079    0.4308   -8108.3717  0.3043
   00080    0.4200   -8147.0654  0.3140
   00081    0.4232   -8083.7778  0.3133
   00082    0.4140   -8100.6294  0.3076
   00083    0.4092   -8129.4793  0.3006
   00084    0.4332   -8151.6041  0.3033
   00085    0.4260   -8191.9299  0.3015
   00086    0.4076   -8205.9501  0.2970
   00087    0.4156   -8205.6867  0.3021
   00088    0.4136   -8228.6938  0.2972
   00089    0.4160   -8196.9153  0.3009
   00090    0.4116   -8160.5703  0.3003
   00091    0.4292   -8147.8887  0.3035
   00092    0.4108   -8134.7911  0.3048
   00093    0.4292   -8139.1930  0.3092
   00094    0.4276   -8163.9996  0.3116
   00095    0.4444   -8168.6288  0.3175
   00096    0.4348   -8155.8002  0.3165
   00097    0.4316   -8190.8583  0.3052
   00098    0.4268   -8151.4219  0.2976
   00099    0.4200   -8185.3979  0.2845
   00100    0.4168   -8245.0597  0.2914
   00101    0.4240   -8231.0336  0.2914
   00102    0.4092   -8227.2417  0.2938
   00103    0.4232   -8248.8117  0.2970
   00104    0.4256   -8246.3870  0.2973
   00105    0.4264   -8242.5109  0.2961
   00106    0.4328   -8249.5112  0.2961
   00107    0.4164   -8276.8598  0.2989
   00108    0.4384   -8273.8531  0.2979
   00109    0.4328   -8280.6049  0.3007
   00110    0.4144   -8269.1613  0.2966
   00111    0.4324   -8321.6820  0.2902
   00112    0.4200   -8285.2638  0.2890
   00113    0.4220   -8245.0480  0.2962
   00114    0.4336   -8258.6110  0.2994
   00115    0.4320   -8286.5833  0.2981
   00116    0.4212   -8307.1450  0.2973
   00117    0.4068   -8296.0516  0.3044
   00118    0.4404   -8311.5156  0.3047
   00119    0.4148   -8288.6852  0.3045
   00120    0.4156   -8311.0310  0.3051
   00121    0.4092   -8347.4979  0.3054
   00122    0.4208   -8294.1520  0.3112
   00123    0.4080   -8330.7737  0.3136
   00124    0.4044   -8367.5262  0.3166
   00125    0.4268   -8331.9864  0.3196
   00126    0.4236   -8330.3398  0.3139
   00127    0.4156   -8327.3174  0.3091
   00128    0.4264   -8325.1111  0.3106
   00129    0.4180   -8300.0505  0.3098
   00130    0.4300   -8320.8105  0.3039
   00131    0.4168   -8336.7955  0.3083
   00132    0.4212   -8337.3403  0.3130
   00133    0.4132   -8366.9940  0.3061
   00134    0.4256   -8344.5778  0.3028
   00135    0.4296   -8304.8242  0.2986
   00136    0.4084   -8302.0184  0.3030
   00137    0.4232   -8300.6256  0.3090
   00138    0.4288   -8338.9751  0.3115
   00139    0.4044   -8350.8331  0.3154
   00140    0.4412   -8296.7480  0.3195
   00141    0.4244   -8357.5549  0.3209
   00142    0.4176   -8355.2366  0.3275
   00143    0.4424   -8356.7851  0.3340
   00144    0.3900   -8344.9916  0.3387
   00145    0.4220   -8402.1088  0.3465
   00146    0.4196   -8354.3495  0.3495
   00147    0.4052   -8289.6541  0.3519
   00148    0.4120   -8296.1298  0.3542
   00149    0.4080   -8306.9042  0.3596
   00150    0.4108   -8284.0029  0.3633
   00151    0.4244   -8305.1743  0.3705
   00152    0.4248   -8360.3469  0.3734
   00153    0.4204   -8330.8376  0.3754
   00154    0.4260   -8307.1193  0.3784
   00155    0.4036   -8350.5770  0.3844
   00156    0.4184   -8401.0673  0.3863
   00157    0.4164   -8428.0599  0.3851
   00158    0.4104   -8414.9020  0.3942
   00159    0.4088   -8392.3019  0.3983
   00160    0.4148   -8417.1467  0.3987
   00161    0.4096   -8384.3207  0.4044
   00162    0.4104   -8361.2048  0.4102
   00163    0.4148   -8327.7417  0.4095
   00164    0.4156   -8339.6044  0.4105
   00165    0.4176   -8310.9859  0.4106
   00166    0.4440   -8311.4536  0.4051
   00167    0.4096   -8319.4260  0.4061
   00168    0.4252   -8335.8711  0.4079
   00169    0.3940   -8360.7149  0.4059
   00170    0.4088   -8374.1427  0.4034
   00171    0.4096   -8400.7994  0.4048
   00172    0.4064   -8393.9188  0.4078
   00173    0.4200   -8353.0064  0.4056
   00174    0.4176   -8391.5892  0.4051
   00175    0.4068   -8369.1089  0.4101
   00176    0.4324   -8397.5650  0.4138
   00177    0.4060   -8410.5655  0.4154
   00178    0.4200   -8403.8420  0.4232
   00179    0.4136   -8419.4738  0.4218
   00180    0.4012   -8420.5992  0.4278
   00181    0.4204   -8418.2677  0.4270
   00182    0.4068   -8455.1265  0.4340
   00183    0.4148   -8440.7204  0.4336
   00184    0.4240   -8427.2339  0.4359
   00185    0.4060   -8425.6438  0.4412
   00186    0.4208   -8404.8835  0.4457
   00187    0.4336   -8408.7020  0.4452
   00188    0.4304   -8416.2267  0.4415
   00189    0.4060   -8395.1827  0.4432
   00190    0.4172   -8430.6047  0.4448
   00191    0.4228   -8438.9758  0.4404
   00192    0.4236   -8418.5613  0.4349
   00193    0.4120   -8406.7224  0.4404
   00194    0.4132   -8401.1527  0.4407
   00195    0.4116   -8424.2328  0.4421
   00196    0.4016   -8408.7999  0.4403
   00197    0.4192   -8388.8768  0.4433
   00198    0.4260   -8440.6713  0.4432
   00199    0.4056   -8472.8261  0.4400
   00200    0.4108   -8509.4223  0.4421
   00201    0.3992   -8442.9926  0.4462
   00202    0.4120   -8468.9864  0.4471
   00203    0.4040   -8423.3076  0.4458
   00204    0.4136   -8424.5708  0.4464
   00205    0.4064   -8431.0701  0.4500
   00206    0.4052   -8442.2858  0.4478
   00207    0.4160   -8443.1904  0.4549
   00208    0.4220   -8478.7760  0.4523
   00209    0.4256   -8524.9062  0.4512
   00210    0.4056   -8481.6681  0.4568
   00211    0.4180   -8457.2062  0.4563
   00212    0.4164   -8472.5654  0.4530
   00213    0.4208   -8468.4693  0.4538
   00214    0.4108   -8449.4951  0.4541
   00215    0.3996   -8472.6525  0.4529
