#=====================================================
# File created:        Sat-22-Feb-2025-at-07-51-04PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        0.561174
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2443.8480  0.2654
   00001    0.6880   -3522.8537  0.2683
   00002    0.6436   -4316.5318  0.2811
   00003    0.5804   -4901.4360  0.2851
   00004    0.5536   -5363.8871  0.2922
   00005    0.5292   -5728.4722  0.2967
   00006    0.5128   -5980.5874  0.3084
   00007    0.5040   -6204.0441  0.3155
   00008    0.5072   -6395.4370  0.3195
   00009    0.5064   -6624.4054  0.3154
   00010    0.4816   -6727.3526  0.3058
   00011    0.4908   -6852.1589  0.3173
   00012    0.4680   -6939.3624  0.3187
   00013    0.4820   -7065.6058  0.3309
   00014    0.4784   -7166.5864  0.3362
   00015    0.4640   -7250.6888  0.3393
   00016    0.4564   -7350.1351  0.3402
   00017    0.4568   -7429.5337  0.3403
   00018    0.4604   -7508.3079  0.3376
   00019    0.4328   -7566.6428  0.3378
   00020    0.4312   -7603.6090  0.3434
   00021    0.4304   -7632.3498  0.3354
   00022    0.4516   -7626.4494  0.3301
   00023    0.4352   -7664.7257  0.3306
   00024    0.4488   -7737.6095  0.3299
   00025    0.4328   -7746.3329  0.3213
   00026    0.4448   -7781.0803  0.3276
   00027    0.4184   -7812.3273  0.3230
   00028    0.4380   -7863.4721  0.3266
   00029    0.4440   -7856.7307  0.3265
   00030    0.4384   -7898.3270  0.3248
   00031    0.4316   -7901.6611  0.3246
   00032    0.4376   -7913.6484  0.3201
   00033    0.4424   -7937.8380  0.3319
   00034    0.4272   -7938.3198  0.3354
   00035    0.4496   -7956.2807  0.3317
   00036    0.4284   -7923.3477  0.3384
   00037    0.4504   -7902.3050  0.3365
   00038    0.4276   -7966.6658  0.3355
   00039    0.4244   -7963.1043  0.3378
   00040    0.4160   -7964.9080  0.3395
   00041    0.4156   -7952.3487  0.3366
   00042    0.4544   -7995.3591  0.3482
   00043    0.4332   -7991.8348  0.3567
   00044    0.4320   -7967.9177  0.3593
   00045    0.4472   -8022.8145  0.3701
   00046    0.4352   -8062.6794  0.3699
   00047    0.4344   -8075.2216  0.3667
   00048    0.4240   -8060.3554  0.3690
   00049    0.4296   -8071.5081  0.3640
   00050    0.4160   -8091.4584  0.3702
   00051    0.4292   -8071.1339  0.3650
   00052    0.4428   -8070.9664  0.3686
   00053    0.4260   -8008.6488  0.3642
   00054    0.4224   -8048.4719  0.3661
   00055    0.4144   -8031.2151  0.3647
   00056    0.4352   -7959.2293  0.3666
   00057    0.4152   -7952.4956  0.3670
   00058    0.4420   -7992.6672  0.3700
   00059    0.4188   -8041.2599  0.3683
   00060    0.4256   -8083.0792  0.3696
   00061    0.4292   -8099.7545  0.3776
   00062    0.4052   -8145.3592  0.3758
   00063    0.4244   -8186.7422  0.3763
   00064    0.4276   -8193.8175  0.3804
   00065    0.4252   -8189.3285  0.3843
   00066    0.4268   -8162.6780  0.3825
   00067    0.4200   -8186.5188  0.3890
   00068    0.4396   -8160.5354  0.3884
   00069    0.4180   -8228.4535  0.3914
   00070    0.4304   -8223.2664  0.3962
   00071    0.4416   -8214.3921  0.3983
   00072    0.4288   -8178.5473  0.3980
   00073    0.4316   -8178.5228  0.3982
   00074    0.4172   -8233.1338  0.3973
   00075    0.4080   -8180.3869  0.3963
   00076    0.4192   -8181.7089  0.3996
   00077    0.4228   -8171.8920  0.4019
   00078    0.4264   -8188.7636  0.3941
   00079    0.4116   -8156.1148  0.4000
   00080    0.4088   -8180.7223  0.4078
   00081    0.4368   -8194.7012  0.4069
   00082    0.4020   -8227.7124  0.4097
   00083    0.4176   -8231.0661  0.4073
   00084    0.4088   -8233.7120  0.4107
   00085    0.4236   -8273.0035  0.4122
   00086    0.4004   -8245.8568  0.4081
   00087    0.4324   -8245.4895  0.4086
   00088    0.4160   -8221.1465  0.4079
   00089    0.4236   -8264.4392  0.4112
   00090    0.4208   -8234.8118  0.4177
   00091    0.4332   -8216.2703  0.4096
   00092    0.4228   -8225.4436  0.4135
   00093    0.4252   -8220.5046  0.4200
   00094    0.4300   -8243.8590  0.4253
   00095    0.4136   -8207.6329  0.4282
   00096    0.4168   -8198.0662  0.4321
   00097    0.4160   -8239.1558  0.4383
   00098    0.4120   -8182.0525  0.4423
   00099    0.4176   -8284.1153  0.4445
   00100    0.4092   -8301.0751  0.4419
   00101    0.4304   -8273.6975  0.4381
   00102    0.4112   -8299.1307  0.4326
   00103    0.4288   -8299.6434  0.4383
   00104    0.4224   -8353.4797  0.4368
   00105    0.4084   -8333.2329  0.4438
   00106    0.4132   -8356.8751  0.4510
   00107    0.4200   -8340.2489  0.4513
   00108    0.4260   -8316.9183  0.4469
   00109    0.4240   -8335.9508  0.4481
   00110    0.4260   -8296.3434  0.4516
   00111    0.4172   -8265.6871  0.4555
   00112    0.4204   -8279.5245  0.4537
   00113    0.4112   -8246.2952  0.4541
   00114    0.4308   -8339.3877  0.4524
   00115    0.4200   -8357.2553  0.4537
   00116    0.4092   -8376.3152  0.4509
   00117    0.4204   -8400.0130  0.4582
   00118    0.4168   -8376.4849  0.4591
   00119    0.4184   -8340.2267  0.4559
   00120    0.4104   -8341.7742  0.4565
   00121    0.4152   -8323.4934  0.4586
   00122    0.4344   -8322.3118  0.4604
   00123    0.4108   -8304.5662  0.4636
   00124    0.4068   -8291.2182  0.4699
   00125    0.4392   -8349.0927  0.4712
   00126    0.4064   -8327.4282  0.4674
   00127    0.4240   -8287.1136  0.4760
   00128    0.4208   -8297.9674  0.4780
   00129    0.4116   -8280.5357  0.4707
   00130    0.4216   -8276.8354  0.4686
   00131    0.4188   -8320.7704  0.4712
   00132    0.4136   -8332.0483  0.4765
   00133    0.4068   -8339.7442  0.4711
   00134    0.4176   -8361.2725  0.4718
   00135    0.4048   -8405.2035  0.4701
   00136    0.4224   -8381.1616  0.4648
   00137    0.4228   -8364.9900  0.4695
   00138    0.4100   -8362.4329  0.4728
   00139    0.4336   -8339.0068  0.4724
   00140    0.4256   -8294.9601  0.4697
   00141    0.4136   -8328.0708  0.4730
   00142    0.4248   -8298.8580  0.4701
   00143    0.4168   -8337.2210  0.4690
   00144    0.4148   -8376.1098  0.4749
   00145    0.4284   -8385.1655  0.4786
   00146    0.4092   -8392.1781  0.4716
   00147    0.4232   -8397.6108  0.4705
   00148    0.4136   -8349.0897  0.4721
   00149    0.4176   -8363.8361  0.4684
   00150    0.4352   -8348.1545  0.4725
   00151    0.4192   -8354.1432  0.4699
   00152    0.4236   -8405.9039  0.4698
   00153    0.4000   -8373.1979  0.4678
   00154    0.4100   -8412.0489  0.4727
   00155    0.4016   -8408.7871  0.4750
   00156    0.4092   -8379.5919  0.4724
   00157    0.4024   -8336.5865  0.4756
   00158    0.4232   -8347.5240  0.4723
   00159    0.4384   -8323.3945  0.4682
   00160    0.4248   -8380.8396  0.4713
   00161    0.4184   -8379.4865  0.4710
   00162    0.4180   -8377.4024  0.4690
   00163    0.4128   -8325.2162  0.4727
   00164    0.4196   -8379.5536  0.4745
   00165    0.4288   -8373.0260  0.4745
   00166    0.4128   -8368.2267  0.4736
   00167    0.4412   -8351.1503  0.4769
   00168    0.4184   -8329.9715  0.4736
   00169    0.4140   -8362.5835  0.4786
   00170    0.4116   -8362.8696  0.4857
   00171    0.4180   -8302.5946  0.4842
   00172    0.4336   -8312.5475  0.4824
   00173    0.4220   -8353.5033  0.4780
   00174    0.4080   -8341.8025  0.4863
   00175    0.4304   -8332.3567  0.4901
   00176    0.4168   -8328.6359  0.4894
   00177    0.4236   -8381.6084  0.4866
   00178    0.4096   -8423.4982  0.4876
   00179    0.4108   -8389.3389  0.4918
   00180    0.4124   -8377.3096  0.4889
   00181    0.4156   -8385.9799  0.4832
   00182    0.4352   -8392.7221  0.4801
   00183    0.4328   -8360.7439  0.4801
   00184    0.4332   -8324.8649  0.4757
   00185    0.4112   -8369.0804  0.4782
   00186    0.4260   -8369.1722  0.4771
   00187    0.4136   -8369.1763  0.4741
   00188    0.4268   -8376.7585  0.4724
   00189    0.4348   -8425.5480  0.4709
   00190    0.4176   -8403.2185  0.4661
   00191    0.4192   -8341.5500  0.4700
   00192    0.4108   -8359.1980  0.4715
   00193    0.4164   -8387.8040  0.4661
   00194    0.4168   -8404.5175  0.4717
   00195    0.4132   -8416.6189  0.4762
   00196    0.4028   -8399.3144  0.4728
   00197    0.4100   -8379.5122  0.4759
   00198    0.4352   -8322.4858  0.4687
   00199    0.4008   -8337.3233  0.4699
   00200    0.4204   -8363.3755  0.4734
   00201    0.4160   -8332.8137  0.4731
   00202    0.4176   -8345.2034  0.4759
   00203    0.4200   -8356.8482  0.4737
   00204    0.4116   -8389.6058  0.4769
   00205    0.4032   -8401.1551  0.4699
   00206    0.4252   -8371.8278  0.4680
   00207    0.4216   -8434.2114  0.4709
   00208    0.4344   -8447.6853  0.4735
   00209    0.4168   -8483.6968  0.4675
   00210    0.4064   -8489.1338  0.4688
   00211    0.4032   -8509.1724  0.4681
   00212    0.4012   -8506.9384  0.4734
   00213    0.4000   -8504.8017  0.4746
   00214    0.4120   -8500.2835  0.4762
   00215    0.4172   -8484.5577  0.4730
   00216    0.3968   -8443.4505  0.4696
   00217    0.4192   -8425.2795  0.4683
   00218    0.4152   -8444.6114  0.4770
   00219    0.4136   -8453.7070  0.4740
   00220    0.4128   -8403.6050  0.4754
   00221    0.4060   -8406.7830  0.4700
   00222    0.4136   -8404.8237  0.4685
   00223    0.4172   -8363.6972  0.4700
   00224    0.3964   -8377.3150  0.4742
   00225    0.4208   -8377.9791  0.4691
   00226    0.4264   -8375.5729  0.4741
   00227    0.4136   -8364.1499  0.4709
   00228    0.4132   -8332.8862  0.4628
   00229    0.4132   -8349.3837  0.4660
   00230    0.4252   -8348.8779  0.4709
   00231    0.4080   -8385.6945  0.4758
   00232    0.4228   -8316.5697  0.4769
   00233    0.4268   -8359.1584  0.4749
   00234    0.4280   -8376.5109  0.4790
   00235    0.4272   -8347.3164  0.4744
   00236    0.4104   -8401.5530  0.4796
   00237    0.3976   -8404.3919  0.4834
   00238    0.4268   -8414.0535  0.4921
   00239    0.4040   -8466.8446  0.4926
   00240    0.4152   -8475.0871  0.4971
   00241    0.4172   -8426.5745  0.4933
   00242    0.4128   -8456.7712  0.4935
   00243    0.4272   -8407.0045  0.4936
   00244    0.4092   -8423.1188  0.4989
   00245    0.4280   -8411.3381  0.5002
   00246    0.3936   -8446.8822  0.5029
   00247    0.4232   -8474.3106  0.5053
   00248    0.4020   -8446.7704  0.5001
   00249    0.3960   -8446.6669  0.4958
   00250    0.3788   -8439.6461  0.4965
   00251    0.4184   -8452.1535  0.4997
   00252    0.4124   -8383.1334  0.5087
   00253    0.4244   -8380.3081  0.5155
   00254    0.4068   -8375.2569  0.5130
   00255    0.4020   -8388.9649  0.5133
   00256    0.3916   -8366.8950  0.5119
   00257    0.4092   -8420.1327  0.5152
   00258    0.4148   -8443.5052  0.5116
   00259    0.4232   -8414.8598  0.5126
   00260    0.3952   -8411.7599  0.5073
   00261    0.4104   -8459.6291  0.5097
   00262    0.4232   -8457.1639  0.5101
   00263    0.3980   -8530.8318  0.5128
   00264    0.4072   -8518.9783  0.5128
   00265    0.4308   -8515.3964  0.5111
   00266    0.4184   -8502.0080  0.5184
   00267    0.4044   -8482.7202  0.5124
   00268    0.4108   -8493.9824  0.5114
   00269    0.4120   -8455.8526  0.5123
   00270    0.3972   -8377.9454  0.5098
   00271    0.4008   -8372.9397  0.5018
   00272    0.4248   -8426.5491  0.5012
   00273    0.4176   -8434.8490  0.5010
   00274    0.3968   -8492.9067  0.5010
   00275    0.4116   -8487.6144  0.5044
   00276    0.4212   -8459.4353  0.5053
   00277    0.4140   -8433.6786  0.5071
   00278    0.4112   -8423.7119  0.5075
   00279    0.4172   -8428.3509  0.5045
   00280    0.4236   -8457.8184  0.5090
   00281    0.4092   -8488.9744  0.5104
   00282    0.4148   -8460.8608  0.5117
   00283    0.4112   -8412.5372  0.5087
   00284    0.4296   -8370.2483  0.5089
   00285    0.4048   -8388.9001  0.5107
   00286    0.4124   -8434.3525  0.5040
   00287    0.4108   -8417.9564  0.5004
   00288    0.4296   -8403.1905  0.5011
   00289    0.4028   -8413.7831  0.5064
   00290    0.3968   -8428.9254  0.5065
   00291    0.4084   -8446.6375  0.5009
   00292    0.4080   -8483.1820  0.5082
   00293    0.4100   -8463.2751  0.5099
   00294    0.4052   -8463.8463  0.5145
   00295    0.3996   -8415.7236  0.5156
   00296    0.4012   -8365.0473  0.5170
   00297    0.4108   -8385.9851  0.5149
   00298    0.4152   -8384.7116  0.5149
   00299    0.4112   -8385.5217  0.5161
   00300    0.4220   -8417.4439  0.5185
   00301    0.3992   -8441.6458  0.5280
   00302    0.3952   -8447.1665  0.5313
   00303    0.4080   -8469.0397  0.5358
   00304    0.4312   -8466.5560  0.5369
   00305    0.4132   -8405.1361  0.5303
   00306    0.4028   -8426.1643  0.5305
   00307    0.4228   -8419.8636  0.5341
   00308    0.4104   -8406.0675  0.5334
   00309    0.4144   -8387.3321  0.5348
   00310    0.4376   -8401.6289  0.5355
   00311    0.4040   -8386.2461  0.5366
   00312    0.4144   -8392.4193  0.5348
   00313    0.4072   -8402.0891  0.5316
   00314    0.4288   -8404.6338  0.5312
   00315    0.4232   -8432.7348  0.5366
   00316    0.3912   -8437.4492  0.5415
   00317    0.4196   -8461.1843  0.5434
   00318    0.4124   -8461.4738  0.5453
   00319    0.4184   -8463.9999  0.5481
   00320    0.4108   -8496.0337  0.5470
   00321    0.4260   -8451.5443  0.5429
   00322    0.4328   -8473.6810  0.5458
   00323    0.4176   -8468.6494  0.5448
   00324    0.4032   -8460.2872  0.5465
   00325    0.4096   -8462.8911  0.5472
   00326    0.3992   -8476.7222  0.5448
   00327    0.4220   -8511.6315  0.5458
   00328    0.4068   -8516.3536  0.5465
   00329    0.4268   -8490.3314  0.5458
   00330    0.4144   -8479.0661  0.5456
   00331    0.4204   -8434.9061  0.5452
   00332    0.4092   -8447.4951  0.5456
   00333    0.4252   -8447.4085  0.5479
   00334    0.4204   -8428.1393  0.5460
   00335    0.4096   -8445.6315  0.5490
   00336    0.4056   -8450.0034  0.5522
   00337    0.4016   -8425.9955  0.5471
   00338    0.4000   -8439.5900  0.5475
   00339    0.4208   -8398.6482  0.5466
