#=====================================================
# File created:        Fri-21-Feb-2025-at-06-45-52PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        5.283089
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2561.7334  0.2679
   00001    0.6872   -3782.7204  0.2746
   00002    0.6260   -4503.3091  0.2770
   00003    0.5916   -5024.9418  0.2796
   00004    0.5472   -5402.5186  0.2863
   00005    0.5352   -5757.9967  0.2886
   00006    0.5280   -6051.3649  0.2847
   00007    0.5364   -6236.2664  0.2868
   00008    0.4844   -6387.0897  0.2927
   00009    0.4856   -6542.4133  0.2924
   00010    0.4948   -6685.5510  0.2923
   00011    0.4832   -6822.4650  0.2926
   00012    0.4668   -6920.9175  0.2955
   00013    0.4800   -6987.9764  0.2907
   00014    0.4724   -7114.1414  0.2867
   00015    0.4664   -7202.2928  0.2914
   00016    0.4340   -7309.4235  0.2958
   00017    0.4680   -7351.0254  0.2983
   00018    0.4576   -7376.1952  0.2956
   00019    0.4584   -7470.6277  0.2935
   00020    0.4520   -7545.8251  0.2964
   00021    0.4480   -7577.2294  0.2973
   00022    0.4640   -7626.3168  0.2985
   00023    0.4376   -7628.0913  0.3026
   00024    0.4480   -7681.0759  0.3058
   00025    0.4416   -7705.1478  0.3053
   00026    0.4344   -7715.8281  0.3059
   00027    0.4500   -7759.2738  0.3031
   00028    0.4272   -7787.6163  0.3064
   00029    0.4212   -7796.4352  0.3000
   00030    0.4388   -7813.7004  0.3081
   00031    0.4184   -7904.6320  0.3126
   00032    0.4356   -7902.7401  0.3159
   00033    0.4212   -7888.8511  0.3119
   00034    0.4292   -7899.9976  0.3095
   00035    0.4384   -7917.8093  0.3041
   00036    0.4288   -7936.9921  0.3027
   00037    0.4264   -7980.0275  0.3084
   00038    0.4300   -8002.4453  0.3136
   00039    0.4260   -8009.5614  0.3132
   00040    0.4272   -7993.3382  0.3113
   00041    0.4396   -8065.0835  0.3184
   00042    0.4196   -8133.4617  0.3156
   00043    0.4184   -8146.9890  0.3174
   00044    0.4348   -8099.5818  0.3162
   00045    0.4476   -8113.3277  0.3140
   00046    0.4296   -8148.9950  0.3243
   00047    0.4264   -8177.4260  0.3250
   00048    0.4100   -8210.1838  0.3344
   00049    0.4280   -8169.5129  0.3298
   00050    0.4236   -8173.9905  0.3343
   00051    0.4264   -8129.3037  0.3312
   00052    0.4176   -8113.5397  0.3258
   00053    0.4252   -8183.2151  0.3303
   00054    0.4120   -8215.0756  0.3306
   00055    0.4320   -8204.9758  0.3296
   00056    0.4248   -8210.9509  0.3273
   00057    0.4384   -8154.3430  0.3257
   00058    0.4088   -8159.1816  0.3270
   00059    0.4428   -8180.3008  0.3341
   00060    0.4368   -8208.7064  0.3374
   00061    0.4264   -8174.2698  0.3308
   00062    0.4264   -8215.3188  0.3317
   00063    0.4204   -8248.1571  0.3404
   00064    0.4312   -8204.7338  0.3346
   00065    0.4156   -8209.4736  0.3302
   00066    0.4132   -8220.3513  0.3286
   00067    0.4252   -8207.9658  0.3274
   00068    0.4252   -8197.1039  0.3313
   00069    0.4212   -8198.1881  0.3301
   00070    0.4320   -8192.6289  0.3294
   00071    0.4224   -8198.0861  0.3323
   00072    0.4172   -8192.3135  0.3345
   00073    0.4140   -8217.1590  0.3340
   00074    0.4324   -8202.6289  0.3394
   00075    0.4356   -8218.3512  0.3352
   00076    0.4280   -8222.8281  0.3403
   00077    0.4324   -8156.9889  0.3445
   00078    0.4108   -8183.9966  0.3522
   00079    0.4356   -8192.5813  0.3503
   00080    0.4324   -8179.3091  0.3572
   00081    0.4260   -8160.1663  0.3572
   00082    0.4276   -8181.6390  0.3604
   00083    0.4280   -8187.7787  0.3587
   00084    0.4488   -8199.1421  0.3579
   00085    0.3968   -8209.4059  0.3549
   00086    0.4168   -8206.8704  0.3595
   00087    0.4088   -8189.4309  0.3563
   00088    0.4388   -8200.8792  0.3652
   00089    0.4264   -8196.2702  0.3615
   00090    0.4120   -8180.6366  0.3580
   00091    0.4232   -8250.0582  0.3641
   00092    0.4196   -8265.6036  0.3630
   00093    0.4308   -8247.0806  0.3681
   00094    0.4128   -8279.2172  0.3687
   00095    0.4200   -8337.1171  0.3704
   00096    0.4260   -8336.8472  0.3729
   00097    0.4240   -8308.0968  0.3792
   00098    0.4148   -8368.2381  0.3835
   00099    0.4196   -8368.8220  0.3827
   00100    0.4460   -8311.3794  0.3830
   00101    0.3992   -8323.3920  0.3859
   00102    0.4128   -8313.1976  0.3837
   00103    0.4264   -8308.0897  0.3869
   00104    0.4080   -8266.9335  0.3829
   00105    0.4056   -8279.9272  0.3903
   00106    0.4228   -8264.9859  0.3968
   00107    0.4144   -8220.6763  0.3929
   00108    0.4248   -8268.1742  0.3947
   00109    0.4140   -8313.7213  0.3942
