#=====================================================
# File created:        Fri-21-Feb-2025-at-04-06-43PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        14.418260
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2356.1449  0.2678
   00001    0.6844   -3535.7012  0.2628
   00002    0.6340   -4367.4529  0.2634
   00003    0.5872   -4937.9036  0.2581
   00004    0.5708   -5480.9437  0.2699
   00005    0.5344   -5863.8595  0.2760
   00006    0.5088   -6135.0391  0.2822
   00007    0.5160   -6399.6473  0.2821
   00008    0.4916   -6566.5967  0.2827
   00009    0.4828   -6761.3967  0.2855
   00010    0.4732   -6903.2383  0.2912
   00011    0.4732   -6994.6104  0.2906
   00012    0.4540   -7098.2720  0.2962
   00013    0.4744   -7186.3454  0.3020
   00014    0.4580   -7231.0393  0.3099
   00015    0.4604   -7348.2704  0.3132
   00016    0.4528   -7380.7106  0.3143
   00017    0.4592   -7449.0095  0.3207
   00018    0.4604   -7525.5315  0.3233
   00019    0.4528   -7567.1948  0.3246
   00020    0.4388   -7619.5791  0.3272
   00021    0.4268   -7718.4511  0.3334
   00022    0.4480   -7695.6765  0.3392
   00023    0.4544   -7683.1038  0.3441
   00024    0.4612   -7701.9166  0.3463
   00025    0.4520   -7701.5549  0.3447
   00026    0.4364   -7757.6104  0.3458
   00027    0.4444   -7793.8804  0.3428
   00028    0.4556   -7784.6180  0.3429
   00029    0.4396   -7844.9104  0.3388
   00030    0.4452   -7863.3364  0.3318
   00031    0.4488   -7831.9846  0.3334
   00032    0.4332   -7870.1040  0.3340
   00033    0.4460   -7867.5482  0.3325
   00034    0.4316   -7846.7949  0.3321
   00035    0.4160   -7881.2834  0.3348
   00036    0.4300   -7864.8827  0.3352
   00037    0.4340   -7877.4970  0.3347
   00038    0.4388   -7907.0970  0.3354
   00039    0.4240   -7925.5960  0.3359
   00040    0.4224   -7908.4141  0.3434
   00041    0.4312   -7959.6676  0.3388
   00042    0.4292   -7960.5117  0.3418
   00043    0.4256   -7944.1845  0.3493
   00044    0.4260   -7923.4821  0.3497
   00045    0.4340   -7967.2051  0.3515
   00046    0.4140   -8021.0035  0.3625
   00047    0.4348   -8006.3862  0.3629
   00048    0.4128   -8079.5266  0.3632
   00049    0.4316   -8097.8467  0.3673
   00050    0.4188   -8093.3870  0.3660
   00051    0.4348   -8100.3194  0.3681
   00052    0.4224   -8050.0617  0.3748
   00053    0.4324   -8038.7870  0.3759
   00054    0.4448   -8090.5337  0.3780
   00055    0.4144   -8093.0168  0.3839
   00056    0.4148   -8075.2083  0.3857
   00057    0.4224   -8103.4677  0.3882
   00058    0.4192   -8130.6521  0.3827
   00059    0.4288   -8151.9616  0.3871
   00060    0.4156   -8201.1526  0.3879
   00061    0.4372   -8177.4191  0.3867
   00062    0.4336   -8181.2891  0.3861
   00063    0.4132   -8171.4863  0.3841
   00064    0.4192   -8190.7966  0.3842
   00065    0.4324   -8183.3344  0.3903
   00066    0.4156   -8175.9610  0.3852
   00067    0.4312   -8165.6858  0.3869
   00068    0.4352   -8191.2210  0.3815
   00069    0.4172   -8211.7629  0.3854
   00070    0.4264   -8198.4210  0.3877
   00071    0.4304   -8179.0175  0.3863
   00072    0.4152   -8186.5200  0.3914
   00073    0.4240   -8187.5889  0.3935
   00074    0.4296   -8185.0919  0.3914
   00075    0.4216   -8155.3798  0.3884
   00076    0.4432   -8175.7003  0.3879
   00077    0.4096   -8189.5307  0.3906
   00078    0.4356   -8159.2887  0.3943
