#=====================================================
# File created:        Fri-21-Feb-2025-at-03-22-47PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        13.412190
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2628.8849  0.2560
   00001    0.6784   -3761.6286  0.2617
   00002    0.6228   -4543.4274  0.2726
   00003    0.6052   -5125.6118  0.2764
   00004    0.5496   -5507.5771  0.2768
   00005    0.5332   -5945.6466  0.2701
   00006    0.5156   -6246.7895  0.2625
   00007    0.4968   -6463.0076  0.2615
   00008    0.5084   -6657.7854  0.2612
   00009    0.4820   -6802.4728  0.2621
   00010    0.4748   -6948.5806  0.2694
   00011    0.4596   -7127.5958  0.2676
   00012    0.4724   -7225.3055  0.2651
   00013    0.4624   -7327.2125  0.2627
   00014    0.4576   -7394.9228  0.2573
   00015    0.4520   -7435.7195  0.2625
   00016    0.4544   -7514.2221  0.2680
   00017    0.4600   -7551.7043  0.2747
   00018    0.4472   -7636.2972  0.2712
   00019    0.4488   -7718.6284  0.2639
   00020    0.4532   -7738.5846  0.2699
   00021    0.4388   -7776.2721  0.2759
   00022    0.4420   -7790.4914  0.2763
   00023    0.4464   -7832.4067  0.2858
   00024    0.4368   -7781.2040  0.2913
   00025    0.4516   -7804.7762  0.2950
   00026    0.4332   -7830.9285  0.2976
   00027    0.4480   -7820.9092  0.2934
   00028    0.4436   -7910.5475  0.2938
   00029    0.4368   -7941.1480  0.2903
   00030    0.4408   -7968.0558  0.2935
   00031    0.4296   -7998.4464  0.2899
   00032    0.4328   -7993.9943  0.2894
   00033    0.4340   -8013.5001  0.2943
   00034    0.4116   -8009.6459  0.2955
   00035    0.4200   -7967.4836  0.2986
   00036    0.4500   -7984.1952  0.2968
   00037    0.4520   -8007.9460  0.2952
   00038    0.4304   -8026.5418  0.2886
   00039    0.4156   -8029.3326  0.2852
   00040    0.4136   -7992.6071  0.2934
   00041    0.4292   -8025.2972  0.2983
   00042    0.4348   -8053.6170  0.2942
   00043    0.4468   -8045.4417  0.2875
   00044    0.4284   -8064.2141  0.2916
   00045    0.4316   -8055.3515  0.2872
   00046    0.4196   -8049.7808  0.2844
   00047    0.4340   -8077.6994  0.2838
   00048    0.4408   -8064.1775  0.2845
   00049    0.4496   -8055.7467  0.2807
   00050    0.4248   -8050.5632  0.2762
   00051    0.4200   -8050.9648  0.2826
   00052    0.4360   -8043.2834  0.2777
   00053    0.4420   -8069.0998  0.2756
   00054    0.4144   -8005.0480  0.2690
   00055    0.4392   -8048.7048  0.2717
   00056    0.4308   -8062.5430  0.2671
   00057    0.4296   -8049.9694  0.2721
   00058    0.4260   -8058.9217  0.2680
   00059    0.4204   -8047.2111  0.2717
   00060    0.4316   -8108.6081  0.2779
   00061    0.4256   -8117.1381  0.2804
   00062    0.4408   -8155.7704  0.2765
   00063    0.4176   -8173.7905  0.2777
   00064    0.4456   -8192.5268  0.2792
   00065    0.4296   -8236.7913  0.2843
   00066    0.4152   -8194.6755  0.2781
   00067    0.4048   -8172.1191  0.2867
   00068    0.4156   -8197.1344  0.2909
   00069    0.4052   -8198.5851  0.2937
   00070    0.4288   -8131.7425  0.3001
   00071    0.4132   -8151.7502  0.3070
   00072    0.4472   -8148.0447  0.3069
   00073    0.4392   -8145.7679  0.3069
   00074    0.4444   -8138.0403  0.3072
   00075    0.4256   -8120.1012  0.3112
   00076    0.4044   -8096.7385  0.3132
   00077    0.4464   -8143.1139  0.3116
   00078    0.4252   -8180.1685  0.3178
   00079    0.4344   -8214.8407  0.3163
   00080    0.4148   -8184.2548  0.3181
   00081    0.4244   -8179.4531  0.3196
   00082    0.3944   -8184.1450  0.3227
   00083    0.4404   -8185.8902  0.3237
   00084    0.4208   -8207.5265  0.3224
   00085    0.4232   -8134.4085  0.3242
   00086    0.4288   -8152.2172  0.3193
   00087    0.4256   -8155.8074  0.3201
   00088    0.4260   -8174.2932  0.3169
   00089    0.4144   -8201.6814  0.3151
   00090    0.4012   -8232.0165  0.3161
   00091    0.4040   -8229.7478  0.3139
   00092    0.4388   -8184.3001  0.3098
   00093    0.4276   -8200.3602  0.3099
   00094    0.4080   -8183.7402  0.3155
   00095    0.4228   -8191.0474  0.3162
   00096    0.4212   -8165.7749  0.3127
   00097    0.4276   -8189.0068  0.3170
   00098    0.4220   -8175.5036  0.3025
   00099    0.4316   -8179.6369  0.3019
   00100    0.4192   -8187.7669  0.3078
   00101    0.4192   -8209.9626  0.3057
   00102    0.4392   -8211.0511  0.3098
   00103    0.4116   -8278.0592  0.3088
   00104    0.4296   -8314.9231  0.3086
   00105    0.4168   -8256.9345  0.3067
   00106    0.4308   -8244.3040  0.3012
   00107    0.4224   -8246.6541  0.2959
   00108    0.4308   -8257.0773  0.2952
   00109    0.4176   -8304.2306  0.3005
   00110    0.4108   -8288.5782  0.2981
   00111    0.4052   -8302.6185  0.3000
   00112    0.4324   -8271.3073  0.3075
   00113    0.4404   -8249.3611  0.3101
   00114    0.4240   -8273.9383  0.3095
   00115    0.4228   -8186.9075  0.3146
   00116    0.4152   -8174.5085  0.3145
   00117    0.4284   -8230.2891  0.3092
   00118    0.4312   -8188.4115  0.3186
   00119    0.4252   -8211.5508  0.3169
   00120    0.4320   -8226.2987  0.3236
   00121    0.4076   -8188.2176  0.3335
   00122    0.4388   -8176.0103  0.3374
   00123    0.4064   -8182.4093  0.3389
   00124    0.4244   -8205.3188  0.3421
   00125    0.4380   -8231.4876  0.3418
   00126    0.3964   -8212.2737  0.3466
   00127    0.4212   -8214.8863  0.3489
   00128    0.4192   -8233.1232  0.3439
   00129    0.4452   -8255.3614  0.3424
   00130    0.4160   -8257.4223  0.3475
   00131    0.4244   -8313.4449  0.3448
   00132    0.4276   -8301.9433  0.3488
   00133    0.4260   -8339.4901  0.3451
   00134    0.4116   -8311.6760  0.3523
   00135    0.4100   -8340.9031  0.3513
   00136    0.4432   -8379.1638  0.3539
   00137    0.3936   -8391.4780  0.3539
   00138    0.4000   -8392.4007  0.3554
   00139    0.4020   -8387.5029  0.3615
   00140    0.4256   -8320.5493  0.3569
   00141    0.4076   -8323.5037  0.3597
   00142    0.4208   -8282.9593  0.3654
   00143    0.4280   -8287.0563  0.3723
   00144    0.4340   -8314.0378  0.3737
   00145    0.4172   -8347.7609  0.3732
   00146    0.4340   -8331.2715  0.3754
   00147    0.4132   -8326.3255  0.3738
   00148    0.4048   -8277.7496  0.3786
   00149    0.3932   -8325.6781  0.3779
   00150    0.4148   -8333.4564  0.3824
   00151    0.4092   -8314.5856  0.3867
   00152    0.4364   -8320.2435  0.3843
   00153    0.4220   -8318.6399  0.3865
   00154    0.4148   -8309.6367  0.3860
   00155    0.4292   -8355.5954  0.3858
   00156    0.4092   -8351.6558  0.3845
   00157    0.4280   -8303.2155  0.3915
   00158    0.4172   -8326.0765  0.3881
   00159    0.4316   -8316.3710  0.3857
   00160    0.4136   -8280.3716  0.3916
   00161    0.4048   -8263.3654  0.3927
   00162    0.4048   -8237.3373  0.3917
   00163    0.4296   -8295.1256  0.3948
   00164    0.4092   -8332.1840  0.4021
   00165    0.4168   -8382.4139  0.4048
   00166    0.4044   -8326.7525  0.4010
   00167    0.3976   -8337.0824  0.3953
   00168    0.4176   -8348.1113  0.4029
   00169    0.4264   -8384.7533  0.4019
   00170    0.3976   -8408.6998  0.4054
   00171    0.3976   -8442.2303  0.4119
   00172    0.4268   -8400.0427  0.4145
   00173    0.4148   -8401.6407  0.4129
   00174    0.4216   -8451.0168  0.4121
   00175    0.4152   -8474.3416  0.4151
   00176    0.4268   -8440.4344  0.4185
   00177    0.4124   -8453.8869  0.4268
   00178    0.4216   -8444.1066  0.4241
   00179    0.3960   -8456.1557  0.4281
   00180    0.4272   -8431.9108  0.4244
   00181    0.4124   -8443.2234  0.4142
   00182    0.4028   -8448.8291  0.4196
   00183    0.3968   -8454.1300  0.4221
   00184    0.4156   -8426.9738  0.4217
   00185    0.4364   -8428.9752  0.4174
   00186    0.4092   -8461.8303  0.4161
   00187    0.4040   -8441.6724  0.4163
   00188    0.4216   -8410.7149  0.4197
   00189    0.4212   -8420.9668  0.4271
   00190    0.4176   -8405.6189  0.4258
   00191    0.4284   -8434.5679  0.4220
   00192    0.4116   -8405.8364  0.4223
   00193    0.4340   -8427.2259  0.4225
   00194    0.4220   -8435.2994  0.4228
   00195    0.4044   -8441.7993  0.4198
   00196    0.4100   -8436.1462  0.4225
   00197    0.4040   -8427.6803  0.4192
   00198    0.4188   -8368.5858  0.4146
   00199    0.4172   -8388.6429  0.4198
   00200    0.4020   -8395.3949  0.4213
   00201    0.4212   -8386.8674  0.4271
   00202    0.4420   -8348.3231  0.4312
   00203    0.4164   -8362.8812  0.4259
   00204    0.4216   -8354.1837  0.4251
   00205    0.4040   -8359.3012  0.4299
   00206    0.4032   -8374.5539  0.4253
   00207    0.4100   -8390.1191  0.4277
   00208    0.4172   -8363.9776  0.4155
   00209    0.4136   -8385.3991  0.4171
   00210    0.4160   -8413.9644  0.4157
   00211    0.4072   -8430.0351  0.4183
   00212    0.4108   -8429.0085  0.4167
   00213    0.4252   -8432.2479  0.4103
   00214    0.4012   -8444.2984  0.4172
   00215    0.4040   -8448.0512  0.4193
   00216    0.4128   -8439.7297  0.4219
   00217    0.4020   -8452.4964  0.4178
   00218    0.4288   -8405.5316  0.4154
   00219    0.4160   -8413.2094  0.4164
   00220    0.4188   -8380.2030  0.4140
   00221    0.4272   -8383.1271  0.4138
   00222    0.4048   -8404.5161  0.4129
   00223    0.4368   -8407.7607  0.4188
   00224    0.4140   -8424.0835  0.4142
   00225    0.3972   -8425.5576  0.4130
   00226    0.4180   -8416.6227  0.4169
   00227    0.3976   -8411.1332  0.4148
   00228    0.4208   -8447.7235  0.4159
   00229    0.4192   -8421.4232  0.4189
   00230    0.4172   -8465.0833  0.4168
   00231    0.4120   -8499.0820  0.4181
   00232    0.4232   -8446.6214  0.4104
   00233    0.3912   -8397.3779  0.4151
   00234    0.4204   -8407.6051  0.4237
   00235    0.4220   -8415.4279  0.4212
   00236    0.4104   -8402.1333  0.4242
   00237    0.4148   -8412.9792  0.4272
   00238    0.4144   -8388.6074  0.4299
   00239    0.4152   -8405.4603  0.4347
   00240    0.4232   -8450.9893  0.4342
   00241    0.4148   -8424.5285  0.4379
   00242    0.4000   -8434.2492  0.4368
   00243    0.3936   -8434.2649  0.4291
   00244    0.4256   -8412.5932  0.4291
   00245    0.4100   -8402.1860  0.4262
   00246    0.4164   -8375.4255  0.4359
   00247    0.4224   -8415.9960  0.4399
   00248    0.4284   -8418.1138  0.4379
   00249    0.3908   -8426.9274  0.4296
   00250    0.3996   -8441.1966  0.4281
   00251    0.4164   -8444.6815  0.4260
   00252    0.4224   -8432.3223  0.4255
   00253    0.4128   -8451.7767  0.4195
   00254    0.4132   -8425.8021  0.4189
   00255    0.4172   -8444.4295  0.4256
   00256    0.4196   -8441.2453  0.4247
   00257    0.4172   -8470.1380  0.4316
   00258    0.4192   -8408.8267  0.4212
   00259    0.4168   -8424.8749  0.4259
   00260    0.4320   -8429.4348  0.4362
   00261    0.4096   -8401.0867  0.4356
   00262    0.4240   -8387.0296  0.4374
   00263    0.4028   -8415.6913  0.4377
   00264    0.3984   -8444.6177  0.4331
   00265    0.4172   -8483.2401  0.4286
   00266    0.4112   -8425.3816  0.4306
   00267    0.4084   -8397.3669  0.4319
   00268    0.4056   -8391.4946  0.4329
   00269    0.3964   -8442.1832  0.4329
   00270    0.4156   -8416.2949  0.4302
   00271    0.4196   -8442.4184  0.4353
   00272    0.4128   -8413.1688  0.4385
   00273    0.3940   -8387.9774  0.4394
   00274    0.4124   -8368.3972  0.4426
   00275    0.4004   -8424.2610  0.4420
   00276    0.4216   -8382.6352  0.4420
   00277    0.3988   -8411.1338  0.4438
   00278    0.4184   -8418.3062  0.4411
   00279    0.4280   -8380.7302  0.4415
   00280    0.4160   -8360.0169  0.4391
   00281    0.4068   -8384.3036  0.4402
   00282    0.4132   -8363.7495  0.4407
   00283    0.4072   -8405.2324  0.4415
   00284    0.4228   -8373.1905  0.4452
   00285    0.3936   -8346.8015  0.4420
   00286    0.4120   -8331.5889  0.4391
   00287    0.4192   -8387.8833  0.4414
   00288    0.4188   -8402.0312  0.4403
   00289    0.4240   -8368.2010  0.4363
   00290    0.4196   -8428.2131  0.4397
   00291    0.4024   -8428.2755  0.4465
   00292    0.4136   -8377.4828  0.4431
   00293    0.4096   -8428.3638  0.4439
   00294    0.3996   -8436.8192  0.4440
   00295    0.4188   -8419.5458  0.4497
   00296    0.4008   -8415.1175  0.4531
   00297    0.4016   -8430.5554  0.4475
   00298    0.4172   -8405.8583  0.4462
   00299    0.4248   -8424.3871  0.4408
   00300    0.4156   -8446.8972  0.4537
   00301    0.4352   -8399.7780  0.4599
   00302    0.4124   -8411.0426  0.4629
   00303    0.4320   -8454.0409  0.4621
   00304    0.4164   -8463.6055  0.4641
   00305    0.4056   -8442.8689  0.4662
   00306    0.4060   -8394.4477  0.4681
   00307    0.4080   -8398.6703  0.4714
   00308    0.4020   -8449.0624  0.4747
   00309    0.4008   -8457.5891  0.4796
   00310    0.4100   -8480.1425  0.4866
   00311    0.4148   -8441.4371  0.4857
   00312    0.4204   -8430.3776  0.4879
   00313    0.4236   -8429.5147  0.4830
   00314    0.4188   -8416.8880  0.4860
   00315    0.4224   -8408.8066  0.4793
   00316    0.4140   -8409.6772  0.4807
   00317    0.4300   -8364.6659  0.4811
   00318    0.4188   -8358.0533  0.4864
   00319    0.4360   -8348.2117  0.4929
   00320    0.4236   -8369.7503  0.4989
   00321    0.3932   -8415.9875  0.5063
   00322    0.4156   -8387.1667  0.4974
   00323    0.4140   -8399.4260  0.5017
   00324    0.4100   -8342.8317  0.4972
   00325    0.4072   -8381.4617  0.5044
   00326    0.4204   -8371.8838  0.5087
   00327    0.4052   -8386.1689  0.5082
   00328    0.4136   -8447.4538  0.5055
   00329    0.4080   -8495.6749  0.5107
   00330    0.4040   -8478.3812  0.5119
   00331    0.4004   -8480.1258  0.5132
   00332    0.4192   -8497.4617  0.5145
   00333    0.4076   -8455.1139  0.5106
   00334    0.4132   -8467.2840  0.5069
   00335    0.4228   -8438.3070  0.5155
   00336    0.4052   -8435.4861  0.5152
   00337    0.4316   -8469.9612  0.5214
   00338    0.4108   -8464.8549  0.5203
   00339    0.4320   -8452.4273  0.5245
   00340    0.4036   -8507.1340  0.5270
   00341    0.4156   -8516.3017  0.5291
   00342    0.4056   -8504.5232  0.5296
   00343    0.4064   -8511.6642  0.5298
   00344    0.4172   -8496.0151  0.5309
   00345    0.4032   -8477.1178  0.5290
   00346    0.4096   -8474.5526  0.5367
   00347    0.4168   -8456.4258  0.5331
   00348    0.4032   -8424.0894  0.5327
   00349    0.4064   -8452.3344  0.5362
   00350    0.4116   -8452.5803  0.5305
   00351    0.4088   -8481.5512  0.5298
   00352    0.4008   -8470.6623  0.5339
   00353    0.4088   -8464.7753  0.5383
   00354    0.3908   -8448.2578  0.5363
   00355    0.4084   -8443.2968  0.5278
   00356    0.4156   -8439.7255  0.5334
   00357    0.4124   -8434.0626  0.5386
   00358    0.4036   -8446.2892  0.5401
   00359    0.4024   -8487.6790  0.5426
   00360    0.3992   -8464.0257  0.5403
   00361    0.4016   -8488.0767  0.5371
   00362    0.4080   -8472.7413  0.5362
   00363    0.4132   -8460.9695  0.5298
   00364    0.4140   -8449.6130  0.5329
   00365    0.4140   -8473.4869  0.5314
   00366    0.4076   -8438.8911  0.5287
   00367    0.4156   -8457.9466  0.5302
   00368    0.4156   -8457.5359  0.5285
   00369    0.4092   -8410.9527  0.5324
   00370    0.4204   -8396.4733  0.5276
   00371    0.4300   -8425.7764  0.5282
