#=====================================================
# File created:        Fri-21-Feb-2025-at-09-53-32PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.727860
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2439.0471  0.2654
   00001    0.6740   -3591.2711  0.2591
   00002    0.6256   -4471.1465  0.2571
   00003    0.5924   -5063.0718  0.2612
   00004    0.5504   -5490.0506  0.2682
   00005    0.5356   -5819.9341  0.2761
   00006    0.5244   -6089.2500  0.2857
   00007    0.5032   -6313.8083  0.2810
   00008    0.5028   -6515.7429  0.2938
   00009    0.4740   -6704.2725  0.3004
   00010    0.4924   -6871.9540  0.3051
   00011    0.4792   -6977.7674  0.3098
   00012    0.4796   -7101.7622  0.3097
   00013    0.4528   -7179.3086  0.3059
   00014    0.4644   -7248.4649  0.3053
   00015    0.4376   -7315.9954  0.3074
   00016    0.4676   -7387.6519  0.3139
   00017    0.4620   -7456.3183  0.3108
   00018    0.4512   -7533.9066  0.3098
   00019    0.4556   -7592.2539  0.3075
   00020    0.4388   -7624.5647  0.3122
   00021    0.4284   -7667.2852  0.3131
   00022    0.4480   -7726.5389  0.3113
   00023    0.4316   -7756.7019  0.3179
   00024    0.4412   -7693.0105  0.3227
   00025    0.4268   -7763.0078  0.3213
   00026    0.4344   -7783.4077  0.3237
   00027    0.4336   -7773.0762  0.3264
   00028    0.4344   -7789.2555  0.3256
   00029    0.4320   -7779.7071  0.3310
   00030    0.4528   -7771.1868  0.3360
   00031    0.4360   -7854.8701  0.3421
   00032    0.4372   -7849.3759  0.3413
   00033    0.4296   -7922.8524  0.3439
   00034    0.4376   -7917.4680  0.3417
   00035    0.4308   -7972.8818  0.3449
   00036    0.4268   -7961.2115  0.3495
   00037    0.4236   -7999.1201  0.3481
   00038    0.4408   -7993.7232  0.3462
   00039    0.4188   -7985.8920  0.3466
   00040    0.4088   -7967.2514  0.3404
   00041    0.4352   -7992.7170  0.3389
   00042    0.4392   -7983.1194  0.3498
   00043    0.4184   -7982.4012  0.3509
   00044    0.4436   -8046.4907  0.3531
   00045    0.4276   -8081.5778  0.3615
   00046    0.4180   -8110.4528  0.3529
   00047    0.4288   -8060.6484  0.3609
   00048    0.4208   -8079.4836  0.3675
   00049    0.4332   -8032.3726  0.3738
   00050    0.4404   -8060.2497  0.3699
   00051    0.4052   -8003.1117  0.3673
   00052    0.4252   -8033.0144  0.3698
   00053    0.4228   -8025.7529  0.3629
   00054    0.4220   -8073.6555  0.3614
   00055    0.4312   -8015.9509  0.3683
   00056    0.4356   -8059.6775  0.3736
   00057    0.4268   -8071.1506  0.3728
   00058    0.4208   -8095.5529  0.3759
   00059    0.4264   -8120.7832  0.3768
   00060    0.4084   -8138.1324  0.3746
   00061    0.4288   -8155.0822  0.3800
   00062    0.4120   -8158.2264  0.3826
   00063    0.4168   -8184.6725  0.3857
   00064    0.4200   -8157.0364  0.3891
   00065    0.4232   -8108.6897  0.3899
   00066    0.4248   -8103.9567  0.3933
   00067    0.4156   -8133.2118  0.3928
   00068    0.4308   -8157.0533  0.3982
   00069    0.4236   -8142.1129  0.3921
   00070    0.4196   -8126.4828  0.3954
   00071    0.4160   -8128.6424  0.3964
   00072    0.4244   -8138.3950  0.3972
   00073    0.4104   -8103.0902  0.3957
   00074    0.4216   -8136.7263  0.3900
   00075    0.4276   -8147.7994  0.3936
   00076    0.4228   -8174.5210  0.3934
   00077    0.4212   -8191.0918  0.3960
   00078    0.4208   -8192.7214  0.3961
   00079    0.4260   -8176.1660  0.3951
   00080    0.4232   -8184.1685  0.4031
   00081    0.4420   -8172.2524  0.4028
   00082    0.4248   -8259.1890  0.4100
   00083    0.4188   -8323.3696  0.4074
   00084    0.4188   -8278.7345  0.4081
   00085    0.4072   -8289.1784  0.4071
   00086    0.4264   -8261.8881  0.4101
   00087    0.4200   -8261.1699  0.4133
   00088    0.4096   -8323.3100  0.4170
   00089    0.4232   -8299.5676  0.4178
   00090    0.4220   -8322.0887  0.4169
   00091    0.4308   -8322.1928  0.4216
   00092    0.4256   -8286.4772  0.4210
   00093    0.4140   -8237.0223  0.4315
   00094    0.4324   -8267.3328  0.4305
   00095    0.4080   -8295.6523  0.4339
   00096    0.4204   -8282.1755  0.4345
   00097    0.4112   -8280.4892  0.4393
   00098    0.4116   -8334.7894  0.4439
   00099    0.4272   -8305.8088  0.4426
   00100    0.4092   -8321.1767  0.4430
   00101    0.4280   -8322.3552  0.4437
   00102    0.4192   -8334.1146  0.4396
   00103    0.4136   -8306.1742  0.4415
   00104    0.4216   -8303.1994  0.4405
   00105    0.4232   -8241.1020  0.4454
   00106    0.4092   -8252.2285  0.4474
   00107    0.4132   -8242.9507  0.4470
   00108    0.4144   -8255.7410  0.4546
   00109    0.4332   -8317.2505  0.4495
   00110    0.4224   -8332.6131  0.4459
   00111    0.4304   -8349.1634  0.4503
   00112    0.4296   -8371.4500  0.4509
   00113    0.4080   -8371.2011  0.4505
   00114    0.4168   -8339.7452  0.4516
   00115    0.4104   -8344.7279  0.4526
   00116    0.3948   -8300.1104  0.4538
   00117    0.4176   -8302.2002  0.4475
   00118    0.4160   -8320.6539  0.4515
   00119    0.4184   -8324.2525  0.4553
   00120    0.4104   -8346.7824  0.4593
   00121    0.4284   -8353.9878  0.4575
   00122    0.4152   -8331.2315  0.4570
   00123    0.4124   -8360.2720  0.4551
   00124    0.4096   -8353.8719  0.4542
   00125    0.4268   -8390.2151  0.4560
   00126    0.4164   -8323.6054  0.4513
   00127    0.4080   -8298.1507  0.4571
   00128    0.4136   -8311.4874  0.4611
   00129    0.4168   -8383.1744  0.4674
   00130    0.4264   -8381.6481  0.4625
   00131    0.4140   -8357.8444  0.4683
   00132    0.4280   -8373.7302  0.4680
   00133    0.4180   -8387.8529  0.4651
   00134    0.4344   -8394.0674  0.4648
   00135    0.4360   -8345.8033  0.4622
   00136    0.4216   -8351.8523  0.4615
   00137    0.3948   -8353.0975  0.4691
   00138    0.4104   -8343.4119  0.4642
   00139    0.4204   -8352.0996  0.4655
   00140    0.4120   -8393.9204  0.4730
   00141    0.4068   -8355.9015  0.4691
   00142    0.4072   -8352.9380  0.4688
   00143    0.4148   -8341.3795  0.4669
   00144    0.4232   -8366.3180  0.4642
   00145    0.4008   -8364.0553  0.4662
   00146    0.4060   -8349.8856  0.4660
   00147    0.4128   -8347.9634  0.4617
   00148    0.4208   -8365.7688  0.4644
   00149    0.4148   -8385.4312  0.4636
   00150    0.4100   -8415.0527  0.4638
   00151    0.4112   -8428.3445  0.4660
   00152    0.4040   -8393.2461  0.4691
   00153    0.3984   -8364.2275  0.4659
   00154    0.4248   -8386.3548  0.4701
   00155    0.4144   -8327.7903  0.4650
   00156    0.4012   -8348.8949  0.4655
   00157    0.4344   -8326.2529  0.4675
   00158    0.4112   -8337.5308  0.4677
   00159    0.4332   -8337.4123  0.4729
   00160    0.4012   -8324.6473  0.4702
   00161    0.4304   -8336.8077  0.4762
   00162    0.4032   -8347.6305  0.4828
   00163    0.4264   -8350.3026  0.4819
   00164    0.4220   -8333.4408  0.4770
   00165    0.4264   -8296.3041  0.4808
   00166    0.4200   -8332.0210  0.4791
   00167    0.4244   -8327.4466  0.4836
   00168    0.4144   -8362.2686  0.4833
   00169    0.4040   -8347.0675  0.4838
   00170    0.4044   -8358.7013  0.4768
   00171    0.4136   -8371.2039  0.4863
   00172    0.4212   -8418.0370  0.4893
   00173    0.4208   -8424.7974  0.4958
   00174    0.4276   -8384.1869  0.4987
   00175    0.4168   -8400.0718  0.4934
   00176    0.4068   -8382.9821  0.4969
   00177    0.4136   -8439.4478  0.4920
   00178    0.4076   -8476.6637  0.4891
   00179    0.4208   -8421.9403  0.4875
   00180    0.4120   -8396.8600  0.4897
   00181    0.4372   -8411.8657  0.4933
   00182    0.4160   -8404.3020  0.4930
   00183    0.4108   -8438.2379  0.4864
   00184    0.4196   -8473.4821  0.4792
   00185    0.4120   -8456.2813  0.4767
   00186    0.4128   -8464.2798  0.4751
   00187    0.3896   -8442.7359  0.4726
   00188    0.4124   -8455.3524  0.4758
   00189    0.4148   -8405.1313  0.4732
   00190    0.4096   -8432.0169  0.4801
   00191    0.4268   -8479.3075  0.4864
   00192    0.3964   -8456.0610  0.4840
   00193    0.4236   -8419.6043  0.4827
   00194    0.3936   -8398.8473  0.4811
   00195    0.4244   -8353.6737  0.4845
   00196    0.4036   -8390.5256  0.4846
   00197    0.4044   -8430.9654  0.4900
   00198    0.3912   -8423.7137  0.4924
   00199    0.4260   -8424.1718  0.4879
   00200    0.4184   -8404.5279  0.4998
   00201    0.4252   -8390.3505  0.4954
   00202    0.4128   -8401.9389  0.5040
   00203    0.4264   -8381.9093  0.4994
   00204    0.4156   -8449.5725  0.5028
   00205    0.4140   -8418.5884  0.5022
   00206    0.4020   -8409.9680  0.5035
   00207    0.4324   -8411.8501  0.5084
   00208    0.4128   -8418.5882  0.5089
   00209    0.4044   -8436.3208  0.5089
   00210    0.3980   -8470.4123  0.5122
   00211    0.4128   -8477.0967  0.5125
   00212    0.4200   -8460.8760  0.5176
   00213    0.4236   -8470.3061  0.5224
   00214    0.4196   -8496.9290  0.5267
   00215    0.4220   -8529.9740  0.5285
   00216    0.4128   -8473.6164  0.5282
   00217    0.4312   -8421.7809  0.5301
   00218    0.4104   -8445.4833  0.5290
   00219    0.4100   -8485.7563  0.5296
   00220    0.4120   -8454.0236  0.5324
   00221    0.4076   -8471.6145  0.5299
   00222    0.4244   -8439.8216  0.5299
   00223    0.4052   -8453.4384  0.5270
   00224    0.4108   -8425.6840  0.5199
   00225    0.4148   -8424.8856  0.5238
   00226    0.4164   -8439.5553  0.5225
   00227    0.4224   -8427.2243  0.5198
   00228    0.4060   -8410.5023  0.5283
   00229    0.4116   -8419.3869  0.5308
   00230    0.4160   -8361.3176  0.5268
   00231    0.4164   -8405.2312  0.5397
   00232    0.4232   -8450.7116  0.5370
   00233    0.4116   -8413.7874  0.5436
   00234    0.4108   -8428.0623  0.5457
   00235    0.4080   -8415.2385  0.5447
   00236    0.4208   -8455.9094  0.5466
   00237    0.4272   -8443.4285  0.5550
   00238    0.4176   -8449.0778  0.5601
   00239    0.4072   -8458.1532  0.5562
   00240    0.4152   -8430.7199  0.5540
   00241    0.4020   -8448.4173  0.5573
   00242    0.4104   -8478.5679  0.5556
   00243    0.3864   -8438.9567  0.5490
   00244    0.4228   -8432.4461  0.5544
   00245    0.4380   -8429.3539  0.5495
   00246    0.4080   -8443.9124  0.5527
   00247    0.4260   -8428.7359  0.5516
   00248    0.4160   -8454.7294  0.5516
   00249    0.4204   -8473.5526  0.5504
   00250    0.4068   -8480.4030  0.5501
   00251    0.4136   -8481.6599  0.5532
   00252    0.4200   -8462.7286  0.5561
   00253    0.4332   -8481.7365  0.5577
   00254    0.3960   -8477.0500  0.5568
   00255    0.3800   -8496.1425  0.5592
   00256    0.4184   -8452.0114  0.5510
   00257    0.4020   -8434.6399  0.5519
   00258    0.4156   -8425.4222  0.5508
   00259    0.4068   -8478.7081  0.5591
   00260    0.3992   -8458.4251  0.5612
   00261    0.4192   -8441.4548  0.5633
   00262    0.4096   -8451.8937  0.5560
   00263    0.4104   -8489.8441  0.5534
   00264    0.3932   -8463.7807  0.5594
   00265    0.4096   -8443.9814  0.5548
   00266    0.4052   -8409.3737  0.5509
   00267    0.4288   -8381.8222  0.5510
   00268    0.4064   -8455.5934  0.5553
   00269    0.4108   -8447.9677  0.5586
   00270    0.4192   -8426.5644  0.5523
   00271    0.3976   -8479.5154  0.5511
   00272    0.4192   -8491.6887  0.5510
   00273    0.4264   -8461.3837  0.5477
   00274    0.4052   -8457.6064  0.5499
   00275    0.3964   -8452.9669  0.5541
   00276    0.4172   -8467.4277  0.5531
   00277    0.4084   -8432.5881  0.5497
   00278    0.4048   -8424.7721  0.5518
   00279    0.4188   -8392.2618  0.5578
   00280    0.4304   -8404.1673  0.5623
   00281    0.4100   -8439.3095  0.5673
   00282    0.4032   -8481.3146  0.5695
   00283    0.4160   -8479.4466  0.5684
   00284    0.4068   -8475.9043  0.5627
   00285    0.4060   -8475.7379  0.5543
   00286    0.3976   -8457.5749  0.5454
   00287    0.4116   -8430.9356  0.5478
   00288    0.4172   -8450.8997  0.5488
   00289    0.4060   -8469.3298  0.5488
   00290    0.4180   -8433.1491  0.5453
   00291    0.4220   -8449.9465  0.5433
