#=====================================================
# File created:        Fri-21-Feb-2025-at-09-55-16PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.753014
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.2711
   00001    0.6784   -3780.8284  0.2597
   00002    0.6064   -4589.1361  0.2604
   00003    0.5872   -5126.1013  0.2625
   00004    0.5668   -5571.9252  0.2654
   00005    0.5400   -5856.9742  0.2598
   00006    0.5320   -6129.2945  0.2629
   00007    0.5120   -6311.3340  0.2629
   00008    0.4892   -6494.8553  0.2652
   00009    0.4968   -6729.2760  0.2674
   00010    0.4820   -6856.8699  0.2728
   00011    0.4812   -6960.1060  0.2806
   00012    0.4592   -7036.1023  0.2843
   00013    0.4592   -7130.7878  0.2840
   00014    0.4564   -7234.2413  0.2817
   00015    0.4604   -7328.7882  0.2850
   00016    0.4476   -7377.9935  0.2882
   00017    0.4664   -7505.0646  0.2895
   00018    0.4492   -7508.1621  0.2880
   00019    0.4480   -7577.0753  0.2856
   00020    0.4520   -7586.8159  0.2873
   00021    0.4360   -7634.9848  0.2892
   00022    0.4376   -7673.7708  0.2848
   00023    0.4388   -7670.0955  0.2857
   00024    0.4420   -7709.4418  0.2913
   00025    0.4360   -7735.1465  0.2862
   00026    0.4472   -7784.0216  0.2840
   00027    0.4364   -7778.0439  0.2947
   00028    0.4336   -7823.4900  0.2908
   00029    0.4308   -7871.0827  0.2869
   00030    0.4520   -7878.0596  0.2881
   00031    0.4424   -7874.2175  0.2885
   00032    0.4284   -7881.1802  0.2901
   00033    0.4372   -7858.3772  0.2900
   00034    0.4392   -7821.4628  0.2931
   00035    0.4420   -7862.9794  0.2893
   00036    0.4192   -7883.8357  0.2852
   00037    0.4440   -7981.9041  0.2860
   00038    0.4348   -7978.9838  0.2915
   00039    0.4252   -7974.6561  0.2846
   00040    0.4288   -7985.4518  0.2943
   00041    0.4300   -8018.1686  0.2984
   00042    0.4324   -7989.2954  0.3017
   00043    0.4148   -7976.8964  0.2964
   00044    0.4304   -8010.0455  0.2978
   00045    0.4316   -7978.1493  0.2939
   00046    0.4328   -8002.3830  0.2930
   00047    0.4324   -8015.4613  0.2926
   00048    0.4364   -8067.4832  0.2986
   00049    0.4140   -8035.1666  0.3014
   00050    0.4200   -8027.7794  0.3109
   00051    0.4076   -8015.6246  0.3050
   00052    0.4308   -8058.9314  0.3041
   00053    0.4128   -8038.8369  0.3024
   00054    0.4284   -8065.7007  0.3059
   00055    0.4284   -8070.8435  0.3052
   00056    0.4248   -8148.0509  0.3100
   00057    0.4288   -8139.5303  0.3082
   00058    0.4148   -8157.7525  0.3155
   00059    0.4140   -8140.6370  0.3139
   00060    0.4240   -8192.4841  0.3199
   00061    0.4292   -8188.7318  0.3239
   00062    0.4432   -8189.7710  0.3291
   00063    0.4196   -8176.5547  0.3203
   00064    0.4224   -8148.2500  0.3216
   00065    0.4332   -8149.7817  0.3254
   00066    0.4356   -8154.8321  0.3271
   00067    0.4204   -8203.3688  0.3262
   00068    0.4156   -8178.8673  0.3261
   00069    0.4168   -8193.8017  0.3254
   00070    0.4240   -8203.8551  0.3279
   00071    0.4292   -8176.2870  0.3294
   00072    0.4224   -8178.5094  0.3324
   00073    0.4164   -8223.3212  0.3295
   00074    0.4016   -8243.8059  0.3270
   00075    0.4152   -8192.7353  0.3281
   00076    0.4128   -8239.6454  0.3270
   00077    0.4192   -8215.2971  0.3244
   00078    0.4128   -8227.4235  0.3234
   00079    0.4356   -8199.6412  0.3270
   00080    0.4420   -8208.5009  0.3269
   00081    0.4220   -8224.0535  0.3353
   00082    0.4436   -8236.6087  0.3354
   00083    0.4184   -8179.2208  0.3338
   00084    0.3988   -8209.3430  0.3368
   00085    0.4156   -8268.3944  0.3397
   00086    0.4236   -8247.9447  0.3384
   00087    0.4068   -8271.3509  0.3411
   00088    0.4332   -8251.8827  0.3408
   00089    0.4324   -8268.7104  0.3530
   00090    0.4152   -8235.2276  0.3517
   00091    0.4116   -8214.0291  0.3556
   00092    0.4276   -8227.0115  0.3573
   00093    0.4204   -8273.3787  0.3597
   00094    0.4232   -8284.5750  0.3592
   00095    0.4180   -8271.4157  0.3538
   00096    0.4212   -8268.1337  0.3631
   00097    0.4156   -8290.3878  0.3633
   00098    0.4060   -8277.2046  0.3615
   00099    0.4160   -8247.9960  0.3634
   00100    0.4132   -8287.7634  0.3667
   00101    0.4252   -8249.4544  0.3698
   00102    0.4188   -8222.1235  0.3784
   00103    0.4136   -8236.9482  0.3813
   00104    0.4332   -8237.4634  0.3807
   00105    0.4320   -8284.1275  0.3835
   00106    0.4240   -8270.2421  0.3832
   00107    0.4208   -8303.3613  0.3817
   00108    0.4308   -8284.5338  0.3807
   00109    0.4284   -8325.3436  0.3805
   00110    0.4180   -8229.6254  0.3783
   00111    0.4216   -8231.8916  0.3822
   00112    0.4284   -8293.2326  0.3851
   00113    0.4376   -8293.5211  0.3827
   00114    0.4144   -8273.3160  0.3830
   00115    0.4264   -8261.0520  0.3801
   00116    0.4320   -8281.4215  0.3838
   00117    0.4100   -8337.2443  0.3904
   00118    0.4264   -8326.3581  0.3911
   00119    0.4228   -8337.1345  0.3871
   00120    0.4256   -8299.4034  0.3882
   00121    0.4208   -8301.9765  0.3913
   00122    0.4168   -8327.5305  0.3858
   00123    0.4164   -8362.1943  0.3907
   00124    0.4152   -8370.4333  0.3953
   00125    0.4100   -8319.8611  0.3949
   00126    0.4136   -8313.5215  0.4026
   00127    0.4020   -8342.5696  0.4075
   00128    0.4100   -8313.2565  0.4065
   00129    0.4180   -8248.9715  0.4030
   00130    0.4208   -8255.8469  0.3999
   00131    0.4280   -8263.5129  0.4019
   00132    0.4356   -8267.0585  0.4045
   00133    0.4000   -8270.6048  0.4013
   00134    0.4284   -8276.3773  0.3998
   00135    0.4152   -8276.6986  0.4003
   00136    0.4332   -8286.4289  0.4092
   00137    0.4312   -8262.3639  0.4099
   00138    0.4364   -8281.7999  0.4144
   00139    0.4308   -8300.9380  0.4212
   00140    0.4128   -8321.6903  0.4156
   00141    0.4232   -8345.9177  0.4152
   00142    0.4160   -8320.7347  0.4079
   00143    0.4304   -8307.0025  0.4060
   00144    0.4104   -8325.9013  0.4068
   00145    0.3988   -8320.4362  0.4097
   00146    0.4384   -8297.6596  0.4154
   00147    0.4388   -8287.3350  0.4153
   00148    0.4116   -8325.7648  0.4153
   00149    0.4308   -8353.8627  0.4208
   00150    0.4160   -8351.8839  0.4215
   00151    0.4124   -8316.5903  0.4260
   00152    0.4136   -8314.5121  0.4267
   00153    0.3984   -8333.3457  0.4244
   00154    0.4252   -8319.1559  0.4249
   00155    0.4372   -8340.0630  0.4267
   00156    0.4196   -8311.3981  0.4293
   00157    0.4256   -8325.2958  0.4209
   00158    0.4052   -8359.3410  0.4245
   00159    0.4348   -8373.6254  0.4246
   00160    0.4096   -8340.2638  0.4236
   00161    0.4160   -8307.7753  0.4212
   00162    0.4496   -8260.8859  0.4172
   00163    0.4420   -8338.1659  0.4150
   00164    0.4020   -8380.8351  0.4152
   00165    0.4324   -8353.0762  0.4150
   00166    0.4188   -8347.3115  0.4157
   00167    0.4364   -8378.0090  0.4148
   00168    0.4092   -8413.0433  0.4088
   00169    0.4116   -8360.6026  0.4088
   00170    0.4100   -8387.1119  0.4114
   00171    0.4252   -8339.8434  0.4168
   00172    0.4132   -8339.7481  0.4192
   00173    0.4172   -8358.9738  0.4199
   00174    0.4092   -8368.9372  0.4163
   00175    0.4104   -8380.3011  0.4263
   00176    0.4252   -8363.7479  0.4242
   00177    0.4120   -8360.6579  0.4157
   00178    0.4280   -8353.7947  0.4176
   00179    0.4172   -8354.8228  0.4154
   00180    0.4156   -8329.7774  0.4110
   00181    0.4080   -8359.0364  0.4104
   00182    0.4044   -8355.5365  0.4138
   00183    0.4196   -8341.0590  0.4191
   00184    0.4212   -8394.5335  0.4237
   00185    0.4176   -8354.2733  0.4252
   00186    0.4092   -8320.6062  0.4329
   00187    0.4024   -8336.2236  0.4267
   00188    0.4092   -8311.1836  0.4220
   00189    0.4224   -8315.1529  0.4217
   00190    0.4264   -8344.1758  0.4150
   00191    0.4168   -8311.6449  0.4193
   00192    0.4288   -8290.8800  0.4223
   00193    0.4172   -8303.6097  0.4324
   00194    0.4292   -8283.1190  0.4339
   00195    0.4236   -8316.4708  0.4373
   00196    0.4088   -8322.1830  0.4390
   00197    0.4080   -8299.5006  0.4478
   00198    0.4160   -8299.0131  0.4501
   00199    0.4008   -8289.2784  0.4447
   00200    0.4064   -8321.0586  0.4371
   00201    0.3940   -8331.0509  0.4394
   00202    0.4220   -8274.9620  0.4356
   00203    0.4240   -8327.1071  0.4403
   00204    0.4040   -8317.8355  0.4389
   00205    0.4208   -8298.0457  0.4297
   00206    0.4244   -8363.2113  0.4317
   00207    0.4392   -8331.8402  0.4307
   00208    0.4220   -8323.4740  0.4291
   00209    0.4056   -8332.4966  0.4336
   00210    0.4144   -8352.1478  0.4362
   00211    0.4256   -8367.5971  0.4348
   00212    0.4344   -8401.1975  0.4357
   00213    0.4176   -8344.7334  0.4378
   00214    0.4348   -8398.8127  0.4362
   00215    0.4244   -8455.2815  0.4356
   00216    0.4292   -8442.8707  0.4399
   00217    0.4216   -8429.4734  0.4441
   00218    0.4344   -8448.9958  0.4456
   00219    0.4152   -8468.2445  0.4406
   00220    0.3948   -8461.4341  0.4363
   00221    0.3984   -8444.7710  0.4324
   00222    0.4192   -8468.6250  0.4280
   00223    0.4156   -8407.3030  0.4220
   00224    0.4248   -8401.2237  0.4243
   00225    0.4152   -8387.9374  0.4185
   00226    0.4388   -8398.5227  0.4217
   00227    0.4180   -8372.5294  0.4243
   00228    0.4144   -8361.3796  0.4279
   00229    0.4276   -8363.9605  0.4324
   00230    0.4248   -8333.4389  0.4310
   00231    0.4108   -8366.2105  0.4296
   00232    0.4132   -8356.1243  0.4357
   00233    0.4108   -8352.4991  0.4401
   00234    0.4288   -8391.2172  0.4405
   00235    0.4184   -8387.0841  0.4469
   00236    0.4144   -8382.0463  0.4457
   00237    0.4160   -8354.7841  0.4482
   00238    0.3956   -8373.0220  0.4495
   00239    0.4200   -8398.2754  0.4502
   00240    0.4072   -8424.3285  0.4494
   00241    0.4224   -8411.5653  0.4501
   00242    0.4128   -8419.3871  0.4510
   00243    0.4196   -8432.9607  0.4504
   00244    0.4044   -8372.5593  0.4437
   00245    0.4012   -8335.9806  0.4377
   00246    0.4164   -8396.0791  0.4401
   00247    0.4116   -8360.8924  0.4371
   00248    0.4164   -8380.6496  0.4412
   00249    0.4236   -8409.9806  0.4473
   00250    0.3936   -8446.1135  0.4500
   00251    0.4212   -8432.2949  0.4576
   00252    0.3964   -8418.6428  0.4592
   00253    0.4244   -8444.3107  0.4619
   00254    0.4180   -8414.5092  0.4637
   00255    0.3984   -8474.1989  0.4718
   00256    0.4136   -8470.6529  0.4776
   00257    0.4084   -8437.7027  0.4778
   00258    0.4316   -8417.2325  0.4788
   00259    0.4268   -8362.2438  0.4790
   00260    0.4108   -8419.0167  0.4754
   00261    0.4064   -8438.3344  0.4789
   00262    0.4324   -8484.7629  0.4834
   00263    0.4196   -8516.3634  0.4829
   00264    0.3904   -8464.8621  0.4792
   00265    0.4116   -8472.7040  0.4942
   00266    0.4040   -8450.9473  0.4940
   00267    0.4060   -8443.5268  0.4953
   00268    0.4212   -8431.1640  0.5030
   00269    0.4040   -8407.9244  0.4995
   00270    0.4128   -8456.7901  0.4979
   00271    0.4376   -8451.9326  0.4914
   00272    0.4084   -8442.8965  0.4960
   00273    0.4136   -8453.7383  0.4909
   00274    0.4184   -8439.2286  0.4904
   00275    0.4232   -8427.5555  0.4914
   00276    0.4220   -8403.8438  0.4847
   00277    0.4056   -8388.8133  0.4819
   00278    0.4204   -8414.6755  0.4779
   00279    0.4208   -8442.6186  0.4784
   00280    0.4024   -8413.4697  0.4803
   00281    0.4112   -8428.6288  0.4836
   00282    0.4128   -8424.3499  0.4876
   00283    0.4096   -8415.9323  0.4896
   00284    0.4160   -8465.5402  0.4898
   00285    0.4048   -8483.4865  0.4907
   00286    0.4080   -8445.3769  0.4925
   00287    0.4108   -8475.5597  0.4961
   00288    0.4188   -8495.8028  0.4969
   00289    0.4200   -8477.5088  0.4971
   00290    0.4216   -8464.7956  0.4973
   00291    0.4132   -8451.3422  0.4983
   00292    0.3992   -8465.2577  0.5044
   00293    0.4236   -8474.9062  0.5086
   00294    0.4124   -8499.4221  0.5084
   00295    0.4052   -8454.6577  0.5081
   00296    0.4180   -8452.7904  0.5104
   00297    0.4152   -8494.7662  0.5097
   00298    0.4100   -8491.4459  0.5049
   00299    0.4184   -8489.0085  0.5080
   00300    0.4132   -8472.0846  0.5047
   00301    0.4176   -8473.7334  0.5088
   00302    0.4208   -8483.6964  0.5072
   00303    0.4292   -8507.7994  0.5068
   00304    0.4016   -8512.8478  0.4999
   00305    0.3984   -8519.9930  0.4997
   00306    0.4176   -8507.9046  0.5016
   00307    0.4048   -8501.7043  0.5026
   00308    0.4136   -8507.3025  0.5021
   00309    0.4156   -8513.7409  0.5067
   00310    0.4144   -8478.5045  0.5057
   00311    0.4040   -8479.1856  0.5021
   00312    0.4152   -8464.2495  0.5002
   00313    0.4140   -8507.0294  0.5059
   00314    0.4200   -8496.0550  0.5074
   00315    0.4160   -8437.1235  0.5096
   00316    0.4132   -8418.0975  0.5065
   00317    0.4148   -8452.4677  0.5044
   00318    0.4204   -8473.6874  0.5071
   00319    0.4188   -8461.4022  0.5025
   00320    0.4236   -8481.3863  0.4964
   00321    0.4052   -8486.2060  0.4992
   00322    0.4056   -8463.5308  0.4981
   00323    0.3980   -8485.7977  0.4967
   00324    0.4088   -8504.2735  0.4961
   00325    0.4048   -8517.0788  0.4951
   00326    0.4136   -8510.4884  0.4959
   00327    0.4280   -8505.4669  0.4958
   00328    0.4088   -8458.1151  0.4991
   00329    0.4084   -8446.1965  0.4980
   00330    0.4020   -8391.8579  0.4953
   00331    0.4244   -8481.3238  0.5019
   00332    0.4008   -8446.1379  0.5001
   00333    0.4248   -8435.2169  0.4955
   00334    0.4224   -8417.6573  0.5006
   00335    0.4228   -8455.9069  0.5033
   00336    0.4108   -8451.3085  0.4975
   00337    0.4040   -8502.0231  0.4959
   00338    0.4092   -8474.2203  0.4919
   00339    0.4168   -8518.6961  0.4884
   00340    0.4124   -8541.0612  0.4908
   00341    0.4144   -8579.3908  0.4888
   00342    0.4008   -8590.2069  0.4872
   00343    0.4128   -8491.6988  0.4870
   00344    0.4104   -8465.8582  0.4841
   00345    0.4112   -8509.7331  0.4891
   00346    0.4260   -8536.0669  0.4957
   00347    0.3992   -8556.8486  0.5008
   00348    0.4228   -8553.3992  0.4976
   00349    0.4236   -8515.1316  0.5006
   00350    0.3976   -8519.0914  0.5003
   00351    0.4240   -8490.7153  0.5017
   00352    0.4052   -8529.1319  0.5012
   00353    0.4320   -8515.3681  0.5040
   00354    0.4084   -8477.8957  0.5039
   00355    0.4216   -8526.6208  0.5053
   00356    0.4024   -8537.7755  0.5061
   00357    0.4040   -8580.3122  0.5070
   00358    0.4076   -8534.8631  0.5004
   00359    0.4212   -8553.4435  0.5014
   00360    0.4092   -8526.4474  0.4946
   00361    0.3972   -8536.2564  0.4883
   00362    0.4036   -8529.9736  0.4921
   00363    0.4072   -8526.2168  0.4936
   00364    0.4140   -8534.3717  0.4958
   00365    0.3984   -8547.9472  0.5005
   00366    0.4052   -8476.9082  0.4958
   00367    0.4228   -8587.5453  0.4967
   00368    0.4220   -8541.3230  0.4969
   00369    0.4016   -8496.1243  0.4983
   00370    0.4168   -8471.5962  0.4987
   00371    0.4304   -8450.7195  0.4943
   00372    0.4156   -8507.1474  0.4868
   00373    0.3968   -8516.5610  0.4856
   00374    0.4128   -8551.5573  0.4926
   00375    0.4204   -8502.8067  0.4900
   00376    0.4240   -8495.3861  0.4898
   00377    0.4228   -8498.2263  0.4898
   00378    0.4032   -8499.4050  0.4851
   00379    0.4148   -8474.3649  0.4855
   00380    0.4076   -8518.1415  0.4863
   00381    0.4080   -8511.1752  0.4899
   00382    0.4112   -8501.5549  0.4968
   00383    0.4120   -8480.3496  0.4929
   00384    0.3876   -8527.7090  0.4964
   00385    0.3936   -8478.2735  0.4853
   00386    0.4204   -8526.6137  0.4862
   00387    0.4084   -8503.3344  0.4884
   00388    0.4020   -8478.9594  0.4871
   00389    0.4148   -8517.9038  0.4861
   00390    0.4124   -8483.2943  0.4928
   00391    0.4256   -8461.3848  0.4894
   00392    0.4260   -8457.2737  0.4863
   00393    0.4116   -8483.4187  0.4890
   00394    0.4192   -8482.2174  0.4964
   00395    0.4020   -8471.8340  0.4975
   00396    0.3928   -8481.6203  0.4974
   00397    0.4216   -8449.8685  0.4950
   00398    0.4060   -8454.9158  0.4953
   00399    0.4240   -8420.6121  0.5002
   00400    0.4060   -8400.7527  0.5009
   00401    0.4244   -8431.0093  0.4980
   00402    0.4188   -8469.1704  0.5069
   00403    0.4068   -8491.2329  0.5066
   00404    0.4076   -8510.9859  0.5047
