#=====================================================
# File created:        Thu-20-Feb-2025-at-10-16-14PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        0.487395
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2579.4737  0.2557
   00001    0.6796   -3807.6073  0.2626
   00002    0.6244   -4586.8752  0.2780
   00003    0.5736   -5177.9280  0.2846
   00004    0.5528   -5513.0041  0.2850
   00005    0.5252   -5888.8768  0.2835
   00006    0.5116   -6082.9698  0.2781
   00007    0.5180   -6282.6820  0.2796
   00008    0.4968   -6548.8124  0.2774
   00009    0.5100   -6709.0282  0.2862
   00010    0.4776   -6835.3084  0.2810
   00011    0.4852   -6983.7417  0.2851
   00012    0.4852   -7071.5722  0.2871
   00013    0.4656   -7092.1845  0.2844
   00014    0.4680   -7148.1889  0.2814
   00015    0.4680   -7238.9865  0.2809
   00016    0.4672   -7274.3682  0.2785
   00017    0.4640   -7343.2951  0.2776
   00018    0.4576   -7415.5731  0.2730
   00019    0.4604   -7429.7077  0.2695
   00020    0.4596   -7521.7239  0.2663
   00021    0.4436   -7541.1086  0.2708
   00022    0.4556   -7602.0346  0.2702
   00023    0.4416   -7591.1592  0.2650
   00024    0.4572   -7571.6338  0.2635
   00025    0.4488   -7606.3330  0.2524
   00026    0.4612   -7660.0762  0.2554
   00027    0.4524   -7690.3962  0.2591
   00028    0.4260   -7719.4951  0.2568
   00029    0.4580   -7773.9405  0.2584
   00030    0.4352   -7842.2934  0.2620
   00031    0.4492   -7868.9204  0.2711
   00032    0.4340   -7875.2779  0.2771
   00033    0.4144   -7862.7973  0.2769
   00034    0.4292   -7912.2236  0.2772
   00035    0.4284   -7910.9400  0.2762
   00036    0.4228   -7947.1865  0.2761
   00037    0.4268   -7945.2087  0.2741
   00038    0.4256   -8005.2283  0.2778
   00039    0.4112   -8016.4928  0.2697
   00040    0.4396   -8043.4271  0.2670
   00041    0.4388   -8086.1869  0.2766
   00042    0.4332   -8099.4172  0.2717
   00043    0.4264   -8082.2563  0.2760
   00044    0.4440   -8038.2812  0.2774
   00045    0.4120   -8032.6587  0.2770
   00046    0.4436   -8000.3785  0.2754
   00047    0.4196   -7994.6405  0.2789
   00048    0.4308   -8043.3869  0.2738
   00049    0.4120   -8041.8250  0.2705
   00050    0.4272   -8090.2580  0.2752
   00051    0.4228   -8074.8490  0.2745
   00052    0.4252   -8071.7374  0.2723
   00053    0.4252   -8082.0753  0.2753
   00054    0.4096   -8128.9856  0.2734
   00055    0.4192   -8146.7171  0.2786
   00056    0.4184   -8168.6784  0.2811
   00057    0.4280   -8163.8786  0.2855
   00058    0.4212   -8172.3507  0.2898
   00059    0.4104   -8220.9883  0.2995
   00060    0.4192   -8210.2006  0.3030
   00061    0.4140   -8208.2566  0.3036
   00062    0.4264   -8210.5016  0.3027
   00063    0.4204   -8158.6837  0.3027
   00064    0.4196   -8144.9268  0.3028
   00065    0.4184   -8188.6916  0.2986
   00066    0.4232   -8208.9611  0.3004
   00067    0.4376   -8223.6553  0.3087
   00068    0.4296   -8199.2670  0.3161
   00069    0.4164   -8164.5424  0.3146
   00070    0.4104   -8114.6356  0.3150
   00071    0.4376   -8150.7496  0.3255
   00072    0.4180   -8144.9342  0.3283
   00073    0.4160   -8147.4519  0.3343
   00074    0.4344   -8090.8722  0.3333
   00075    0.4096   -8119.7627  0.3386
   00076    0.4160   -8127.0353  0.3399
   00077    0.4212   -8139.4498  0.3403
   00078    0.4156   -8132.6437  0.3414
   00079    0.4328   -8168.4806  0.3408
   00080    0.4132   -8216.6158  0.3454
   00081    0.4216   -8198.4161  0.3469
   00082    0.4232   -8199.6587  0.3509
   00083    0.4164   -8205.8814  0.3481
   00084    0.4200   -8223.3779  0.3494
   00085    0.4296   -8221.1544  0.3540
   00086    0.4192   -8251.2633  0.3512
   00087    0.4184   -8299.5786  0.3515
   00088    0.4048   -8293.9731  0.3447
   00089    0.4120   -8361.0054  0.3448
   00090    0.4092   -8388.0769  0.3469
   00091    0.4328   -8340.9030  0.3495
   00092    0.4120   -8350.9369  0.3544
   00093    0.4132   -8292.9154  0.3551
   00094    0.4340   -8290.5657  0.3521
   00095    0.4108   -8309.2706  0.3538
   00096    0.4236   -8329.5836  0.3564
   00097    0.4104   -8334.5916  0.3652
   00098    0.4052   -8349.7037  0.3620
   00099    0.4252   -8326.1018  0.3612
   00100    0.4312   -8273.4608  0.3596
   00101    0.4004   -8268.4036  0.3596
   00102    0.4184   -8283.9864  0.3656
   00103    0.4248   -8249.8176  0.3619
   00104    0.4264   -8250.8465  0.3635
   00105    0.4280   -8245.8705  0.3636
   00106    0.4204   -8257.5538  0.3628
   00107    0.4184   -8271.9125  0.3670
   00108    0.4228   -8231.3901  0.3731
   00109    0.4284   -8247.0408  0.3730
   00110    0.4128   -8313.9410  0.3682
   00111    0.4176   -8294.2514  0.3721
   00112    0.4272   -8286.5404  0.3731
   00113    0.4156   -8309.8423  0.3736
   00114    0.4068   -8330.9606  0.3730
   00115    0.4152   -8309.5439  0.3725
   00116    0.4028   -8330.8139  0.3756
   00117    0.4096   -8307.8446  0.3786
   00118    0.4412   -8364.5086  0.3788
   00119    0.4284   -8329.1113  0.3805
   00120    0.4352   -8371.9524  0.3766
   00121    0.4160   -8354.8126  0.3777
   00122    0.4388   -8316.7632  0.3808
   00123    0.4080   -8380.7628  0.3761
   00124    0.4228   -8364.4347  0.3830
   00125    0.4044   -8405.8482  0.3810
   00126    0.4156   -8384.2558  0.3820
   00127    0.4228   -8395.9868  0.3847
   00128    0.3880   -8420.6278  0.3826
   00129    0.4108   -8432.2637  0.3845
   00130    0.4188   -8388.3349  0.3784
   00131    0.4144   -8412.0817  0.3792
   00132    0.4336   -8379.7823  0.3814
   00133    0.4140   -8428.8314  0.3794
   00134    0.4192   -8426.9701  0.3794
