#=====================================================
# File created:        Thu-20-Feb-2025-at-11-25-12AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        10.364593
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2490.8084  0.2668
   00001    0.6812   -3808.6032  0.2755
   00002    0.5940   -4617.0698  0.2763
   00003    0.5648   -5241.9290  0.2740
   00004    0.5428   -5631.5899  0.2752
   00005    0.5168   -5887.3995  0.2665
   00006    0.5236   -6174.3522  0.2660
   00007    0.4980   -6415.4046  0.2709
   00008    0.4952   -6616.6255  0.2708
   00009    0.4904   -6756.1097  0.2803
   00010    0.4700   -6869.4757  0.2826
   00011    0.4704   -6989.2588  0.2780
   00012    0.4516   -7086.1934  0.2807
   00013    0.4804   -7198.8557  0.2835
   00014    0.4500   -7278.2286  0.2899
   00015    0.4436   -7391.3563  0.2844
   00016    0.4524   -7443.1640  0.2816
   00017    0.4380   -7489.1231  0.2847
   00018    0.4408   -7527.3966  0.2854
   00019    0.4376   -7544.4316  0.2861
   00020    0.4724   -7543.0675  0.2907
   00021    0.4424   -7601.4328  0.2866
   00022    0.4428   -7634.9172  0.2835
   00023    0.4452   -7656.5966  0.2855
   00024    0.4376   -7741.5912  0.2854
   00025    0.4412   -7718.7290  0.2999
   00026    0.4504   -7737.6601  0.2996
   00027    0.4248   -7769.3440  0.3021
   00028    0.4508   -7795.3369  0.3103
   00029    0.4596   -7831.9039  0.3112
   00030    0.4520   -7792.0450  0.3214
   00031    0.4468   -7846.5898  0.3270
   00032    0.4464   -7847.5044  0.3286
   00033    0.4476   -7867.5002  0.3258
   00034    0.4384   -7929.8528  0.3278
   00035    0.4332   -7885.8678  0.3333
   00036    0.4596   -7917.2180  0.3348
   00037    0.4380   -7968.9018  0.3385
   00038    0.4152   -7987.6199  0.3420
   00039    0.4332   -7985.7443  0.3435
   00040    0.4296   -8021.1908  0.3477
   00041    0.4220   -8049.2047  0.3551
   00042    0.4180   -8073.6289  0.3583
   00043    0.4204   -8111.4433  0.3645
   00044    0.4100   -8095.6030  0.3692
   00045    0.4332   -8082.0855  0.3770
   00046    0.4172   -8107.3375  0.3777
   00047    0.4228   -8098.5624  0.3754
   00048    0.4284   -8107.0059  0.3759
   00049    0.4344   -8119.4391  0.3737
   00050    0.4168   -8165.6154  0.3768
   00051    0.4076   -8207.1267  0.3872
   00052    0.4256   -8153.3755  0.3810
   00053    0.4216   -8164.0772  0.3744
   00054    0.4480   -8119.7977  0.3801
   00055    0.4360   -8131.6206  0.3824
   00056    0.4400   -8160.3690  0.3788
   00057    0.4072   -8144.0765  0.3717
   00058    0.4176   -8141.3452  0.3715
   00059    0.4272   -8133.5737  0.3750
   00060    0.4316   -8125.3626  0.3731
   00061    0.4284   -8142.5512  0.3724
   00062    0.4072   -8230.3119  0.3753
   00063    0.4240   -8231.9474  0.3762
   00064    0.4196   -8235.9566  0.3791
   00065    0.4200   -8224.0514  0.3719
   00066    0.4148   -8210.3504  0.3782
   00067    0.4268   -8188.8524  0.3794
   00068    0.4268   -8159.5676  0.3763
   00069    0.4188   -8162.1936  0.3799
   00070    0.4416   -8185.3242  0.3856
   00071    0.4124   -8185.5419  0.3813
   00072    0.4136   -8166.9146  0.3917
   00073    0.4100   -8235.7201  0.3953
   00074    0.4100   -8260.9735  0.3962
   00075    0.4288   -8230.2128  0.3969
   00076    0.4244   -8214.0856  0.3951
   00077    0.4420   -8190.5929  0.3983
   00078    0.4200   -8190.7725  0.3985
   00079    0.4044   -8241.1994  0.4002
   00080    0.4116   -8232.7851  0.4067
   00081    0.4240   -8224.1268  0.4082
   00082    0.4176   -8209.0104  0.4072
   00083    0.4268   -8281.7930  0.4155
   00084    0.4172   -8256.6441  0.4196
   00085    0.4092   -8231.8901  0.4200
   00086    0.4116   -8270.2999  0.4216
   00087    0.4300   -8270.2564  0.4264
   00088    0.4080   -8338.4244  0.4306
   00089    0.4108   -8317.2938  0.4351
   00090    0.4084   -8301.7228  0.4396
   00091    0.4284   -8309.8684  0.4448
   00092    0.4156   -8309.9302  0.4441
   00093    0.4272   -8296.3500  0.4473
   00094    0.4128   -8278.5481  0.4510
   00095    0.4168   -8275.7773  0.4540
   00096    0.4264   -8252.5059  0.4590
   00097    0.4172   -8305.3733  0.4695
   00098    0.4228   -8326.6255  0.4699
   00099    0.4220   -8313.6283  0.4740
   00100    0.4216   -8298.9337  0.4694
   00101    0.4104   -8330.1480  0.4753
   00102    0.4172   -8341.3900  0.4839
   00103    0.4316   -8327.5634  0.4943
   00104    0.4184   -8333.9061  0.4943
   00105    0.4272   -8329.9053  0.4920
   00106    0.4228   -8320.2460  0.4861
   00107    0.4124   -8321.7762  0.4895
   00108    0.4232   -8318.1586  0.4948
   00109    0.4024   -8315.4153  0.5010
   00110    0.4172   -8367.5168  0.4986
   00111    0.4196   -8344.0170  0.4938
   00112    0.4224   -8325.7219  0.4969
   00113    0.4172   -8323.5338  0.5043
   00114    0.4172   -8340.9053  0.5110
   00115    0.4268   -8319.7932  0.5099
   00116    0.4308   -8342.9394  0.5097
   00117    0.4128   -8336.6341  0.5123
   00118    0.4392   -8327.9638  0.5132
   00119    0.4000   -8331.1631  0.5229
   00120    0.4140   -8336.6290  0.5293
   00121    0.4172   -8358.2023  0.5287
   00122    0.4132   -8328.2718  0.5323
   00123    0.4092   -8288.4090  0.5280
   00124    0.4224   -8292.5467  0.5250
   00125    0.4272   -8256.2989  0.5274
   00126    0.4204   -8277.5430  0.5276
   00127    0.4168   -8219.9490  0.5339
   00128    0.4108   -8226.7078  0.5334
   00129    0.4320   -8268.7322  0.5366
   00130    0.4188   -8318.5333  0.5426
   00131    0.4192   -8333.8251  0.5379
   00132    0.4204   -8315.6943  0.5345
   00133    0.4192   -8330.6140  0.5379
   00134    0.4392   -8371.8706  0.5392
   00135    0.4132   -8415.8902  0.5468
   00136    0.4136   -8397.7353  0.5480
   00137    0.4124   -8403.7972  0.5517
   00138    0.4208   -8395.5938  0.5491
   00139    0.4412   -8443.0483  0.5453
   00140    0.4028   -8432.0655  0.5442
   00141    0.4128   -8399.6486  0.5431
   00142    0.4240   -8338.6203  0.5345
   00143    0.4008   -8359.6671  0.5404
   00144    0.3872   -8390.2156  0.5420
   00145    0.4204   -8398.9297  0.5426
   00146    0.4068   -8393.4251  0.5444
   00147    0.4056   -8408.9804  0.5510
   00148    0.4068   -8424.4918  0.5478
   00149    0.4272   -8390.5718  0.5509
   00150    0.4228   -8381.2896  0.5424
   00151    0.4316   -8409.9744  0.5439
   00152    0.4140   -8381.4281  0.5435
   00153    0.4180   -8402.1757  0.5467
   00154    0.4172   -8355.0037  0.5518
   00155    0.4304   -8371.2722  0.5455
   00156    0.3980   -8391.2996  0.5507
   00157    0.4164   -8435.3049  0.5516
   00158    0.4256   -8436.2985  0.5504
   00159    0.4084   -8402.8978  0.5514
   00160    0.4180   -8397.9309  0.5446
   00161    0.4052   -8413.4759  0.5448
   00162    0.4064   -8444.8781  0.5463
   00163    0.4116   -8473.8601  0.5454
   00164    0.4156   -8427.9216  0.5464
   00165    0.4292   -8443.7932  0.5414
   00166    0.4088   -8468.1259  0.5445
   00167    0.4032   -8469.5564  0.5515
   00168    0.4244   -8463.0947  0.5520
   00169    0.4028   -8435.2584  0.5490
   00170    0.4248   -8433.1669  0.5524
   00171    0.4268   -8459.0949  0.5494
   00172    0.4168   -8447.0059  0.5487
   00173    0.3904   -8514.2571  0.5524
   00174    0.4112   -8491.0850  0.5536
   00175    0.3956   -8488.1615  0.5501
   00176    0.4108   -8492.4689  0.5513
   00177    0.4072   -8506.0328  0.5498
   00178    0.4004   -8497.2063  0.5517
   00179    0.3968   -8484.0368  0.5506
   00180    0.4292   -8493.6299  0.5498
   00181    0.4092   -8483.6752  0.5503
   00182    0.4148   -8507.7707  0.5519
   00183    0.4136   -8448.4936  0.5492
   00184    0.4168   -8487.5706  0.5436
   00185    0.4080   -8511.5753  0.5394
   00186    0.4120   -8506.0768  0.5403
   00187    0.3936   -8496.9568  0.5415
   00188    0.4120   -8458.7471  0.5405
   00189    0.4152   -8504.2945  0.5411
