#=====================================================
# File created:        Wed-19-Feb-2025-at-05-42-27PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        10.626370
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2340.5560  0.2523
   00001    0.6684   -3663.9330  0.2573
   00002    0.6128   -4471.2625  0.2616
   00003    0.5788   -5038.1321  0.2568
   00004    0.5552   -5516.0738  0.2634
   00005    0.5460   -5858.0921  0.2724
   00006    0.5192   -6136.7150  0.2694
   00007    0.5108   -6419.7752  0.2743
   00008    0.5024   -6562.2098  0.2763
   00009    0.4972   -6730.9526  0.2854
   00010    0.4872   -6843.4663  0.2837
   00011    0.4632   -6980.8824  0.2868
   00012    0.4848   -7081.1549  0.2869
   00013    0.4664   -7231.2309  0.2852
   00014    0.4456   -7327.4532  0.2842
   00015    0.4476   -7309.1222  0.2800
   00016    0.4548   -7404.6030  0.2902
   00017    0.4556   -7488.9633  0.2934
   00018    0.4420   -7570.5077  0.2915
   00019    0.4416   -7616.9346  0.2929
   00020    0.4544   -7669.1443  0.2975
   00021    0.4508   -7698.3413  0.3002
   00022    0.4520   -7724.1488  0.3035
   00023    0.4228   -7779.3699  0.3057
   00024    0.4332   -7802.6282  0.3017
   00025    0.4240   -7834.1141  0.3020
   00026    0.4496   -7865.9612  0.3006
   00027    0.4456   -7832.3012  0.2997
   00028    0.4320   -7911.5215  0.3027
   00029    0.4348   -7945.7192  0.3045
   00030    0.4300   -7934.4739  0.3009
   00031    0.4600   -7980.3180  0.3073
   00032    0.4256   -8007.8123  0.3066
   00033    0.4228   -8028.8049  0.3100
   00034    0.4332   -8033.5384  0.3156
   00035    0.4276   -8016.2918  0.3144
   00036    0.4268   -8066.1990  0.3121
   00037    0.4180   -8087.7294  0.3131
   00038    0.4444   -8064.3816  0.3049
   00039    0.4392   -8133.9582  0.3031
   00040    0.4464   -8125.9461  0.3005
   00041    0.4068   -8160.1561  0.2953
   00042    0.4264   -8126.9554  0.2926
   00043    0.4204   -8168.9722  0.2966
   00044    0.4104   -8156.3610  0.2945
   00045    0.4192   -8129.4559  0.3002
   00046    0.4356   -8150.7511  0.3018
   00047    0.4348   -8173.8123  0.3035
   00048    0.4096   -8216.6514  0.2958
   00049    0.4320   -8222.8005  0.2949
   00050    0.4412   -8187.2340  0.2945
   00051    0.4244   -8206.9521  0.2953
   00052    0.4280   -8211.9579  0.3005
   00053    0.4188   -8180.3940  0.3003
   00054    0.4252   -8193.3899  0.3106
   00055    0.4308   -8181.6068  0.3121
   00056    0.4240   -8204.4394  0.3109
   00057    0.4244   -8224.1375  0.3093
   00058    0.4220   -8182.6695  0.3050
   00059    0.4268   -8151.5985  0.3053
   00060    0.4064   -8168.8660  0.3069
   00061    0.4176   -8210.3708  0.3070
   00062    0.4200   -8205.9079  0.3113
   00063    0.4104   -8249.6921  0.3142
   00064    0.4424   -8260.1532  0.3128
   00065    0.4216   -8248.8604  0.3090
   00066    0.4124   -8222.7229  0.3053
   00067    0.4384   -8290.9870  0.3029
   00068    0.4236   -8308.9434  0.3026
   00069    0.4324   -8313.6639  0.3026
   00070    0.4036   -8272.4852  0.3004
   00071    0.4296   -8276.1540  0.3008
   00072    0.4388   -8317.7472  0.3039
   00073    0.4092   -8314.0892  0.3012
   00074    0.4236   -8284.1470  0.3016
   00075    0.4356   -8273.0316  0.3012
   00076    0.4264   -8258.9353  0.3034
   00077    0.3928   -8221.1516  0.3066
   00078    0.4180   -8223.8325  0.3091
   00079    0.4256   -8261.8353  0.3102
   00080    0.4304   -8231.5120  0.3090
   00081    0.4164   -8253.6174  0.3065
   00082    0.4268   -8294.7724  0.3063
   00083    0.4220   -8315.5650  0.3084
   00084    0.3932   -8322.5445  0.3080
   00085    0.4308   -8334.0105  0.3058
   00086    0.4280   -8353.3758  0.2994
   00087    0.4232   -8335.0182  0.2986
   00088    0.4208   -8326.0965  0.2993
   00089    0.4056   -8352.3542  0.2983
   00090    0.4216   -8332.1712  0.2992
   00091    0.4216   -8291.0603  0.2976
   00092    0.4080   -8261.2183  0.3014
   00093    0.4212   -8278.4072  0.2950
   00094    0.4208   -8248.5640  0.2944
   00095    0.4184   -8306.1923  0.2903
   00096    0.4120   -8323.9483  0.2847
   00097    0.4040   -8361.1459  0.2851
   00098    0.4204   -8377.8592  0.2925
   00099    0.3932   -8376.1739  0.2895
   00100    0.4072   -8426.5557  0.2868
   00101    0.3832   -8392.2017  0.2865
   00102    0.4084   -8376.4574  0.2923
   00103    0.4080   -8362.5572  0.2878
   00104    0.4236   -8418.4692  0.2884
   00105    0.4016   -8427.2719  0.2910
   00106    0.4144   -8410.9205  0.2918
   00107    0.4092   -8376.1315  0.2915
   00108    0.4144   -8382.3508  0.3005
   00109    0.4192   -8370.0133  0.3017
   00110    0.4272   -8367.9199  0.2969
   00111    0.4152   -8353.4212  0.2991
   00112    0.4068   -8337.1056  0.2987
   00113    0.4120   -8338.8747  0.2978
   00114    0.4300   -8313.1121  0.2918
   00115    0.4060   -8312.0265  0.2924
   00116    0.4032   -8352.5229  0.2943
   00117    0.4212   -8350.3282  0.2994
   00118    0.4192   -8397.7371  0.3012
   00119    0.4024   -8399.3516  0.3033
   00120    0.4120   -8389.9817  0.2990
   00121    0.4296   -8408.2782  0.2908
   00122    0.4164   -8384.8038  0.2949
   00123    0.4244   -8345.3100  0.2929
   00124    0.4096   -8348.5012  0.2897
   00125    0.4252   -8336.2285  0.2946
   00126    0.3916   -8354.5086  0.2985
   00127    0.4248   -8344.6098  0.2874
   00128    0.4224   -8329.0359  0.2877
   00129    0.4208   -8347.1071  0.2840
   00130    0.3976   -8376.8541  0.2805
   00131    0.4288   -8366.2576  0.2768
   00132    0.4124   -8331.3079  0.2730
   00133    0.4196   -8332.1272  0.2775
   00134    0.4292   -8298.3512  0.2772
   00135    0.4324   -8310.5356  0.2755
   00136    0.4128   -8381.7611  0.2787
   00137    0.4360   -8357.7051  0.2718
   00138    0.4288   -8346.6316  0.2677
   00139    0.4092   -8322.2812  0.2681
   00140    0.4328   -8333.0278  0.2680
   00141    0.4148   -8349.5736  0.2650
   00142    0.4112   -8346.0603  0.2727
   00143    0.4064   -8344.3490  0.2770
   00144    0.4172   -8303.3309  0.2763
   00145    0.4268   -8254.8362  0.2754
   00146    0.4260   -8283.4246  0.2746
   00147    0.4252   -8326.1219  0.2660
   00148    0.4228   -8339.0483  0.2659
   00149    0.4216   -8293.2173  0.2649
   00150    0.4160   -8284.3334  0.2628
   00151    0.4212   -8279.1204  0.2566
   00152    0.4176   -8344.7571  0.2629
   00153    0.4248   -8333.4925  0.2647
   00154    0.4316   -8374.5423  0.2701
   00155    0.4136   -8379.3770  0.2690
   00156    0.4168   -8363.2972  0.2748
