#=====================================================
# File created:        Wed-19-Feb-2025-at-02-58-09PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        11.546142
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2563.4646  0.2605
   00001    0.6828   -3668.7916  0.2676
   00002    0.6164   -4523.5614  0.2723
   00003    0.5992   -5120.0482  0.2752
   00004    0.5664   -5489.1177  0.2754
   00005    0.5324   -5790.6088  0.2809
   00006    0.5104   -6078.3999  0.2923
   00007    0.5124   -6339.8367  0.2991
   00008    0.5032   -6563.8026  0.2958
   00009    0.4984   -6699.4296  0.3031
   00010    0.4772   -6838.1908  0.3083
   00011    0.4656   -6956.9764  0.3069
   00012    0.4676   -7046.8860  0.3026
   00013    0.4688   -7142.5154  0.3030
   00014    0.4652   -7227.4069  0.3045
   00015    0.4544   -7324.3436  0.3103
   00016    0.4484   -7423.9132  0.3106
   00017    0.4512   -7507.5197  0.3179
   00018    0.4616   -7558.8577  0.3194
   00019    0.4560   -7613.0768  0.3216
   00020    0.4588   -7602.0265  0.3223
   00021    0.4288   -7650.9324  0.3204
   00022    0.4488   -7698.7786  0.3184
   00023    0.4236   -7731.3019  0.3256
   00024    0.4436   -7761.0206  0.3350
   00025    0.4360   -7774.3955  0.3450
   00026    0.4432   -7829.6126  0.3459
   00027    0.4384   -7881.4983  0.3418
   00028    0.4368   -7889.1911  0.3376
   00029    0.4496   -7880.2542  0.3491
   00030    0.4276   -7881.7619  0.3567
   00031    0.4504   -7927.7931  0.3567
   00032    0.4288   -7930.4013  0.3535
   00033    0.4384   -7927.2448  0.3546
   00034    0.4264   -7920.2760  0.3531
   00035    0.4280   -7902.5893  0.3441
   00036    0.4456   -7912.7697  0.3397
   00037    0.4388   -7939.3720  0.3331
   00038    0.4328   -7913.0633  0.3383
   00039    0.4344   -7933.6554  0.3362
   00040    0.4516   -7948.2809  0.3355
   00041    0.4184   -7916.8601  0.3405
   00042    0.4512   -7973.9373  0.3481
   00043    0.4300   -7976.2094  0.3499
   00044    0.4284   -8013.5068  0.3550
   00045    0.4192   -7985.9340  0.3574
   00046    0.4316   -7997.3733  0.3574
   00047    0.4380   -8012.5466  0.3617
   00048    0.4504   -8023.3333  0.3613
   00049    0.4280   -8047.4770  0.3665
   00050    0.4264   -8114.9752  0.3741
   00051    0.4384   -8106.2468  0.3719
   00052    0.4412   -8087.0750  0.3711
   00053    0.4288   -8141.4038  0.3747
   00054    0.4096   -8144.0888  0.3821
   00055    0.4448   -8116.0949  0.3776
   00056    0.4320   -8145.2524  0.3697
   00057    0.4220   -8112.3501  0.3631
   00058    0.4220   -8129.2730  0.3613
   00059    0.4204   -8085.2248  0.3645
   00060    0.4152   -8104.1798  0.3612
   00061    0.4416   -8164.0341  0.3588
   00062    0.4176   -8148.1937  0.3608
   00063    0.4320   -8162.3824  0.3591
   00064    0.4140   -8131.3929  0.3617
   00065    0.4132   -8169.0338  0.3534
   00066    0.4172   -8125.5491  0.3463
   00067    0.4320   -8090.6207  0.3458
   00068    0.4168   -8145.7393  0.3533
   00069    0.4020   -8163.7257  0.3542
   00070    0.4436   -8118.6566  0.3654
   00071    0.4104   -8120.6798  0.3693
