#=====================================================
# File created:        Thu-20-Feb-2025-at-09-46-36PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        4.619517
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2454.0302  0.2596
   00001    0.6636   -3730.0318  0.2559
   00002    0.6284   -4550.2029  0.2601
   00003    0.6112   -5145.7043  0.2666
   00004    0.5364   -5468.9308  0.2642
   00005    0.5492   -5811.1422  0.2698
   00006    0.5308   -6077.4491  0.2615
   00007    0.4936   -6404.4041  0.2702
   00008    0.5028   -6585.3586  0.2700
   00009    0.4744   -6739.5962  0.2641
   00010    0.4704   -6879.5649  0.2625
   00011    0.4756   -6976.0523  0.2681
   00012    0.4776   -7116.8308  0.2710
   00013    0.4788   -7209.0002  0.2665
   00014    0.4524   -7334.8010  0.2674
   00015    0.4600   -7414.0734  0.2753
   00016    0.4488   -7419.5776  0.2765
   00017    0.4544   -7470.4421  0.2749
   00018    0.4592   -7572.7539  0.2704
   00019    0.4444   -7608.9349  0.2682
   00020    0.4612   -7691.8150  0.2759
   00021    0.4408   -7721.9731  0.2782
   00022    0.4392   -7762.9136  0.2733
   00023    0.4424   -7724.9742  0.2800
   00024    0.4264   -7776.1380  0.2801
   00025    0.4452   -7830.0501  0.2792
   00026    0.4280   -7823.1469  0.2759
   00027    0.4252   -7825.1016  0.2831
   00028    0.4468   -7860.9817  0.2804
   00029    0.4228   -7904.1162  0.2815
   00030    0.4280   -7926.4327  0.2741
   00031    0.4316   -7980.5605  0.2818
   00032    0.4324   -7962.8654  0.2801
   00033    0.4260   -8004.9468  0.2757
   00034    0.4220   -8037.3986  0.2766
   00035    0.4044   -8069.6606  0.2790
   00036    0.4420   -8024.5438  0.2832
   00037    0.4336   -8031.8954  0.2797
   00038    0.4280   -8042.6181  0.2775
   00039    0.4304   -8082.3848  0.2799
   00040    0.4200   -8086.7924  0.2843
   00041    0.4252   -8071.8321  0.2793
   00042    0.4320   -8059.2786  0.2769
   00043    0.4312   -8065.1262  0.2748
   00044    0.4504   -8106.0250  0.2742
   00045    0.4044   -8131.4752  0.2790
   00046    0.4356   -8120.6426  0.2787
   00047    0.4328   -8133.4612  0.2753
   00048    0.4260   -8149.1726  0.2722
   00049    0.4308   -8144.9743  0.2647
   00050    0.4144   -8186.5933  0.2656
   00051    0.4492   -8191.6433  0.2653
   00052    0.4276   -8205.9687  0.2715
   00053    0.4248   -8122.1356  0.2787
   00054    0.4232   -8160.6758  0.2744
   00055    0.4208   -8188.7665  0.2765
   00056    0.4192   -8200.8391  0.2780
   00057    0.4120   -8183.2277  0.2805
   00058    0.4048   -8128.5411  0.2890
   00059    0.4284   -8156.0183  0.2885
   00060    0.4164   -8157.6140  0.2946
   00061    0.4132   -8157.1005  0.2990
   00062    0.4192   -8188.4574  0.3004
   00063    0.4152   -8113.4683  0.2978
   00064    0.4268   -8173.9119  0.2911
   00065    0.4376   -8170.0240  0.2857
   00066    0.4348   -8191.9973  0.2897
   00067    0.4232   -8222.7855  0.2867
   00068    0.4284   -8186.3987  0.2840
   00069    0.4332   -8170.2667  0.2855
   00070    0.4140   -8207.7310  0.2803
   00071    0.4404   -8213.0790  0.2786
   00072    0.4048   -8247.6103  0.2817
   00073    0.4152   -8229.0408  0.2830
   00074    0.4328   -8191.9047  0.2875
   00075    0.4344   -8213.1764  0.2890
   00076    0.4368   -8257.7227  0.2763
   00077    0.4208   -8237.3506  0.2748
   00078    0.4156   -8250.3788  0.2738
   00079    0.4028   -8252.3010  0.2699
   00080    0.4264   -8286.0043  0.2774
   00081    0.4344   -8293.4942  0.2759
   00082    0.4376   -8285.9134  0.2794
   00083    0.4248   -8298.2707  0.2795
   00084    0.4248   -8379.7570  0.2787
   00085    0.4212   -8355.9841  0.2807
   00086    0.4272   -8355.5626  0.2828
   00087    0.4344   -8367.1255  0.2826
   00088    0.4056   -8370.7153  0.2825
   00089    0.4208   -8409.3642  0.2853
   00090    0.4156   -8419.9841  0.2774
   00091    0.4332   -8457.8874  0.2822
   00092    0.3976   -8463.5983  0.2837
   00093    0.4080   -8383.0563  0.2827
   00094    0.4216   -8407.3839  0.2861
   00095    0.4264   -8374.5824  0.2852
   00096    0.4108   -8383.5328  0.2852
   00097    0.4264   -8396.3644  0.2846
   00098    0.4124   -8368.2376  0.2849
   00099    0.4136   -8368.8557  0.2893
   00100    0.4136   -8354.5204  0.2840
   00101    0.4076   -8391.2736  0.2882
   00102    0.4160   -8453.7927  0.2886
   00103    0.4128   -8481.2400  0.2873
   00104    0.4080   -8455.7380  0.2780
   00105    0.4128   -8444.0224  0.2759
   00106    0.4120   -8437.9963  0.2736
   00107    0.4100   -8495.4148  0.2761
   00108    0.4040   -8448.7471  0.2734
   00109    0.4024   -8421.5526  0.2793
   00110    0.4092   -8427.9621  0.2815
   00111    0.3960   -8455.1879  0.2874
   00112    0.4156   -8456.8755  0.2871
   00113    0.4344   -8490.7467  0.2915
   00114    0.4120   -8532.6228  0.2892
   00115    0.4096   -8474.0439  0.2904
   00116    0.4100   -8485.2354  0.2917
   00117    0.4212   -8441.8231  0.2965
   00118    0.4096   -8476.6676  0.3053
   00119    0.4156   -8439.2298  0.3100
   00120    0.4048   -8448.4380  0.3040
   00121    0.4120   -8417.4846  0.3008
   00122    0.4200   -8418.6551  0.3005
   00123    0.4212   -8461.0091  0.3077
   00124    0.4056   -8446.2820  0.3103
   00125    0.4316   -8420.7202  0.3007
   00126    0.4004   -8405.3893  0.2966
   00127    0.4132   -8446.9467  0.3119
   00128    0.4212   -8409.3048  0.3124
   00129    0.4132   -8430.7585  0.3177
   00130    0.4296   -8406.7189  0.3212
   00131    0.4268   -8399.9878  0.3290
   00132    0.4148   -8372.3957  0.3304
   00133    0.4332   -8369.4999  0.3296
   00134    0.4392   -8317.3815  0.3319
   00135    0.4088   -8374.2714  0.3339
   00136    0.4456   -8387.6371  0.3291
   00137    0.4096   -8434.9964  0.3271
   00138    0.3968   -8429.6123  0.3302
   00139    0.4088   -8395.7474  0.3303
   00140    0.4108   -8348.8069  0.3268
   00141    0.4020   -8351.8539  0.3242
   00142    0.4168   -8374.8275  0.3230
   00143    0.4320   -8399.9326  0.3201
   00144    0.4164   -8449.1668  0.3164
   00145    0.3904   -8430.5692  0.3160
   00146    0.4308   -8410.8560  0.3300
   00147    0.4032   -8399.2061  0.3220
   00148    0.4068   -8359.7219  0.3231
   00149    0.4152   -8394.7015  0.3218
   00150    0.4128   -8399.5971  0.3222
   00151    0.4228   -8414.4152  0.3226
