#=====================================================
# File created:        Thu-20-Feb-2025-at-09-32-49PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        4.449055
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2341.6820  0.2726
   00001    0.6968   -3694.7536  0.2753
   00002    0.6384   -4517.7088  0.2789
   00003    0.5852   -5141.6952  0.2927
   00004    0.5500   -5529.5669  0.3031
   00005    0.5456   -5852.3830  0.3127
   00006    0.5088   -6079.7660  0.3167
   00007    0.5088   -6331.1316  0.3284
   00008    0.4980   -6506.6672  0.3360
   00009    0.4956   -6741.7528  0.3375
   00010    0.4488   -6897.1394  0.3449
   00011    0.4912   -7042.2857  0.3550
   00012    0.4616   -7203.1696  0.3693
   00013    0.4704   -7236.6145  0.3703
   00014    0.4688   -7307.7325  0.3764
   00015    0.4524   -7393.2403  0.3792
   00016    0.4632   -7468.8460  0.3824
   00017    0.4280   -7510.9868  0.3753
   00018    0.4404   -7564.7331  0.3773
   00019    0.4584   -7585.5059  0.3743
   00020    0.4420   -7610.9595  0.3689
   00021    0.4332   -7632.7442  0.3679
   00022    0.4528   -7671.5615  0.3727
   00023    0.4540   -7752.0000  0.3760
   00024    0.4588   -7775.1292  0.3814
   00025    0.4304   -7783.9351  0.3855
   00026    0.4364   -7828.2123  0.3876
   00027    0.4412   -7902.5543  0.3868
   00028    0.4320   -7943.4618  0.3926
   00029    0.4304   -7958.1515  0.3959
   00030    0.4448   -7990.1512  0.3973
   00031    0.4240   -8009.8229  0.3908
   00032    0.4452   -7964.3978  0.3981
   00033    0.4208   -7970.7060  0.4037
   00034    0.4348   -7957.3677  0.4005
   00035    0.4304   -7990.1833  0.4078
   00036    0.4324   -8027.8015  0.4151
   00037    0.4304   -7994.0289  0.4193
   00038    0.4164   -8008.5296  0.4207
   00039    0.4120   -7971.5659  0.4180
   00040    0.4344   -7996.1136  0.4228
   00041    0.4212   -8037.1812  0.4271
   00042    0.4256   -8074.9151  0.4285
   00043    0.4212   -8101.6559  0.4296
   00044    0.4408   -8090.6482  0.4303
   00045    0.4208   -8070.5908  0.4311
   00046    0.4224   -8087.5338  0.4280
   00047    0.4376   -8127.5403  0.4343
   00048    0.4224   -8140.0293  0.4392
   00049    0.4240   -8176.7043  0.4408
   00050    0.4168   -8163.9539  0.4417
   00051    0.4256   -8161.8651  0.4487
   00052    0.4240   -8143.9674  0.4423
   00053    0.4320   -8116.8344  0.4408
   00054    0.4160   -8154.4791  0.4391
   00055    0.4144   -8198.5520  0.4428
   00056    0.4232   -8195.8440  0.4407
   00057    0.4420   -8196.8833  0.4387
