#=====================================================
# File created:        Mon-17-Feb-2025-at-07-01-47PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        30.695600
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2578.4572  0.2829
   00001    0.6768   -3798.1597  0.2706
   00002    0.6176   -4554.3388  0.2863
   00003    0.5780   -5044.7729  0.2895
   00004    0.5688   -5432.2195  0.2803
   00005    0.5460   -5755.7567  0.2818
   00006    0.5308   -6051.8076  0.2760
   00007    0.5096   -6300.9660  0.2816
   00008    0.4932   -6450.8529  0.2805
   00009    0.5000   -6617.1229  0.2835
   00010    0.5000   -6786.0341  0.2853
   00011    0.4912   -6921.3439  0.2880
   00012    0.4692   -7032.7403  0.2832
   00013    0.4724   -7091.2096  0.2776
   00014    0.4576   -7217.9463  0.2725
   00015    0.4596   -7296.9868  0.2682
   00016    0.4600   -7381.9462  0.2632
   00017    0.4684   -7453.7935  0.2622
   00018    0.4528   -7522.2668  0.2639
   00019    0.4484   -7622.6232  0.2678
   00020    0.4428   -7646.0684  0.2751
   00021    0.4536   -7708.7497  0.2700
   00022    0.4424   -7749.1860  0.2781
   00023    0.4604   -7721.8354  0.2740
   00024    0.4232   -7739.3658  0.2753
   00025    0.4248   -7810.4937  0.2734
   00026    0.4464   -7853.2987  0.2709
   00027    0.4416   -7874.8176  0.2714
   00028    0.4416   -7870.1097  0.2721
   00029    0.4380   -7832.6271  0.2825
   00030    0.4280   -7874.5489  0.2774
   00031    0.4472   -7843.8083  0.2746
   00032    0.4436   -7924.7966  0.2757
   00033    0.4432   -7948.7991  0.2833
   00034    0.4432   -7969.6727  0.2887
   00035    0.4416   -7971.3217  0.2869
   00036    0.4244   -7980.3469  0.2840
   00037    0.4440   -7968.8875  0.2870
   00038    0.4444   -7946.0909  0.2864
   00039    0.4504   -7960.3463  0.2821
   00040    0.4392   -8008.3312  0.2894
   00041    0.4232   -7971.9759  0.2891
   00042    0.4224   -7961.3701  0.2891
   00043    0.4292   -7985.6218  0.2933
   00044    0.4480   -8019.8575  0.2944
   00045    0.4304   -8047.1404  0.3018
   00046    0.4172   -8053.9999  0.3073
   00047    0.4164   -8028.7486  0.3028
   00048    0.4328   -8025.2590  0.3047
   00049    0.4312   -8014.5411  0.3085
   00050    0.4208   -8060.0206  0.3094
   00051    0.4300   -8027.8511  0.3081
   00052    0.4428   -8038.2703  0.3064
   00053    0.4080   -8034.2004  0.3050
   00054    0.4344   -8060.2431  0.3020
   00055    0.4360   -8063.9615  0.3037
   00056    0.4236   -8023.8049  0.3026
   00057    0.4264   -8080.9903  0.3028
   00058    0.4312   -8089.6233  0.3009
   00059    0.4180   -8066.3306  0.2994
   00060    0.4244   -8099.5875  0.2981
   00061    0.4244   -8081.6352  0.2942
   00062    0.4448   -8085.0888  0.2945
   00063    0.4244   -8100.5613  0.2956
   00064    0.4328   -8105.5104  0.2998
   00065    0.4340   -8078.9148  0.3023
   00066    0.4300   -8090.6571  0.2989
   00067    0.4328   -8159.3599  0.3014
   00068    0.4316   -8157.8238  0.2976
   00069    0.4168   -8203.3797  0.2946
   00070    0.4220   -8166.4531  0.2903
   00071    0.4232   -8186.9713  0.2930
   00072    0.4192   -8192.9604  0.2870
   00073    0.4216   -8127.8492  0.2940
   00074    0.4180   -8124.4283  0.2967
   00075    0.4288   -8162.8442  0.2969
   00076    0.4344   -8146.2650  0.2980
   00077    0.4064   -8153.3772  0.2993
   00078    0.4312   -8168.2956  0.2957
   00079    0.4276   -8210.0332  0.2902
   00080    0.4268   -8241.7562  0.2950
   00081    0.4096   -8238.7205  0.2923
   00082    0.4100   -8242.2702  0.2919
   00083    0.4256   -8202.4458  0.2905
   00084    0.4244   -8228.7206  0.2956
   00085    0.3988   -8280.4569  0.2903
   00086    0.4228   -8298.0444  0.2944
   00087    0.4320   -8261.5689  0.2993
   00088    0.4256   -8248.8069  0.2972
   00089    0.4132   -8202.3081  0.2985
   00090    0.4272   -8256.1003  0.3043
   00091    0.4072   -8224.5655  0.3076
   00092    0.4120   -8204.8715  0.3134
   00093    0.4236   -8231.0433  0.3103
   00094    0.4164   -8211.6262  0.3159
   00095    0.4028   -8209.6609  0.3104
   00096    0.4408   -8205.6079  0.3198
   00097    0.4320   -8213.1519  0.3208
   00098    0.4380   -8290.2186  0.3264
   00099    0.4084   -8281.8220  0.3234
   00100    0.4248   -8267.7954  0.3248
   00101    0.4080   -8299.3467  0.3314
   00102    0.4192   -8258.7408  0.3339
   00103    0.4304   -8316.0757  0.3343
   00104    0.3984   -8323.3728  0.3302
   00105    0.4288   -8279.7057  0.3251
   00106    0.4200   -8307.1032  0.3252
   00107    0.4032   -8294.7450  0.3260
   00108    0.4236   -8282.5582  0.3248
   00109    0.4124   -8277.7909  0.3247
   00110    0.4132   -8278.6433  0.3287
   00111    0.4372   -8280.4735  0.3292
   00112    0.4108   -8316.2990  0.3350
   00113    0.4208   -8340.1954  0.3385
   00114    0.4056   -8318.4219  0.3376
   00115    0.4276   -8376.1829  0.3320
   00116    0.4156   -8336.6227  0.3321
   00117    0.4216   -8288.3673  0.3292
   00118    0.4288   -8259.3684  0.3290
   00119    0.4148   -8268.4484  0.3373
   00120    0.4224   -8270.1959  0.3334
   00121    0.4176   -8236.6709  0.3337
   00122    0.4360   -8278.8920  0.3350
   00123    0.4152   -8305.7061  0.3324
   00124    0.4240   -8312.0726  0.3320
   00125    0.4356   -8247.7382  0.3319
   00126    0.4280   -8266.8783  0.3311
   00127    0.4304   -8225.1959  0.3227
   00128    0.4012   -8245.8735  0.3262
   00129    0.4324   -8223.1154  0.3304
   00130    0.4288   -8248.9516  0.3298
   00131    0.4392   -8226.8399  0.3402
   00132    0.4288   -8222.3902  0.3407
   00133    0.4460   -8254.8289  0.3410
   00134    0.4160   -8234.9933  0.3382
   00135    0.4156   -8265.8001  0.3389
   00136    0.4128   -8252.8535  0.3387
   00137    0.4308   -8255.5268  0.3356
   00138    0.4176   -8258.2600  0.3394
   00139    0.4300   -8284.1774  0.3450
   00140    0.4208   -8296.0414  0.3473
   00141    0.4316   -8325.1733  0.3454
   00142    0.4176   -8327.9048  0.3480
   00143    0.4164   -8330.7103  0.3427
   00144    0.4060   -8315.6731  0.3405
   00145    0.4152   -8292.6003  0.3351
   00146    0.4260   -8314.8890  0.3316
   00147    0.4128   -8305.3262  0.3330
   00148    0.4100   -8367.9982  0.3406
   00149    0.4268   -8359.5573  0.3385
   00150    0.4172   -8355.3772  0.3372
   00151    0.4152   -8349.4693  0.3381
   00152    0.4256   -8361.0282  0.3295
   00153    0.4232   -8333.1309  0.3358
   00154    0.4292   -8342.3374  0.3357
   00155    0.4028   -8319.2533  0.3380
   00156    0.4196   -8298.2795  0.3416
   00157    0.4268   -8309.5008  0.3402
   00158    0.4060   -8342.3356  0.3388
   00159    0.4240   -8353.6261  0.3475
   00160    0.4288   -8345.7977  0.3514
   00161    0.4072   -8310.2817  0.3527
   00162    0.4248   -8320.5325  0.3518
   00163    0.4020   -8353.9868  0.3512
   00164    0.4288   -8326.7868  0.3514
   00165    0.4152   -8352.9310  0.3547
   00166    0.4212   -8312.1503  0.3542
   00167    0.4092   -8304.3658  0.3523
   00168    0.4204   -8360.5591  0.3549
   00169    0.4320   -8305.5992  0.3534
   00170    0.4076   -8318.0182  0.3513
   00171    0.4272   -8360.5102  0.3481
   00172    0.4104   -8368.1954  0.3553
   00173    0.4144   -8349.5605  0.3528
   00174    0.4044   -8350.7956  0.3578
   00175    0.4396   -8394.9348  0.3648
   00176    0.4040   -8400.1934  0.3649
   00177    0.4140   -8369.0810  0.3746
   00178    0.4288   -8331.4302  0.3761
   00179    0.4044   -8316.1048  0.3723
   00180    0.4300   -8332.8181  0.3761
   00181    0.4168   -8309.0518  0.3776
   00182    0.4080   -8349.5560  0.3775
   00183    0.4240   -8310.5634  0.3699
   00184    0.4128   -8316.1099  0.3721
   00185    0.4024   -8338.1684  0.3702
   00186    0.4296   -8315.3100  0.3770
   00187    0.4172   -8403.9104  0.3695
   00188    0.4128   -8396.8204  0.3715
   00189    0.4336   -8413.1640  0.3753
   00190    0.4160   -8342.4309  0.3832
   00191    0.4292   -8362.8995  0.3862
   00192    0.3980   -8349.9710  0.3944
   00193    0.4096   -8324.7137  0.3889
   00194    0.4208   -8355.7275  0.3895
   00195    0.4104   -8412.4960  0.3941
   00196    0.3976   -8426.6975  0.3900
   00197    0.4068   -8384.5996  0.3918
   00198    0.4176   -8375.1819  0.3943
   00199    0.4264   -8389.6282  0.3942
   00200    0.3988   -8401.6726  0.3944
   00201    0.4116   -8431.0809  0.3953
   00202    0.4200   -8392.5356  0.3973
   00203    0.4108   -8429.9090  0.3934
   00204    0.4116   -8420.5726  0.3974
   00205    0.4228   -8356.8592  0.3969
   00206    0.4240   -8347.0291  0.3922
   00207    0.4152   -8391.0471  0.3931
   00208    0.4200   -8399.3409  0.3940
   00209    0.4056   -8390.6472  0.3989
   00210    0.4212   -8328.8780  0.3972
   00211    0.4128   -8349.8857  0.3919
   00212    0.4264   -8346.7084  0.3920
   00213    0.4228   -8308.7266  0.3902
   00214    0.4288   -8302.3040  0.3911
   00215    0.4240   -8301.1569  0.3976
   00216    0.4156   -8325.9095  0.3965
   00217    0.4088   -8311.7776  0.3960
   00218    0.4180   -8303.0420  0.3947
   00219    0.4348   -8248.7667  0.3961
   00220    0.4216   -8303.8652  0.3978
   00221    0.4296   -8305.2574  0.3944
   00222    0.4288   -8348.7598  0.3982
   00223    0.4156   -8371.3272  0.3988
   00224    0.4204   -8411.8077  0.4010
   00225    0.4036   -8376.9921  0.4033
   00226    0.4084   -8317.3883  0.4067
   00227    0.4028   -8322.3728  0.4058
   00228    0.4188   -8314.6638  0.4052
   00229    0.4280   -8301.0373  0.3993
   00230    0.4300   -8323.9261  0.4001
   00231    0.4188   -8350.7387  0.4006
   00232    0.4056   -8326.8327  0.4014
   00233    0.4112   -8343.1772  0.3938
   00234    0.4212   -8263.8428  0.3899
   00235    0.4112   -8251.2941  0.3910
   00236    0.4308   -8282.5398  0.3894
   00237    0.3964   -8306.3110  0.3873
   00238    0.4144   -8267.1685  0.3791
   00239    0.4108   -8288.1322  0.3851
   00240    0.4176   -8287.5637  0.3901
   00241    0.4096   -8306.0143  0.3864
   00242    0.4120   -8322.7740  0.3890
   00243    0.4196   -8339.3990  0.3924
   00244    0.4296   -8344.0043  0.3940
   00245    0.4284   -8338.1043  0.4001
   00246    0.4020   -8308.5715  0.4023
   00247    0.4112   -8305.9662  0.3948
   00248    0.4300   -8301.4002  0.3919
   00249    0.4276   -8281.8068  0.3942
   00250    0.4300   -8209.9087  0.4013
   00251    0.4412   -8254.4225  0.4038
   00252    0.4244   -8275.9754  0.4018
   00253    0.4208   -8266.2539  0.4032
   00254    0.4148   -8246.4289  0.4066
   00255    0.4376   -8285.2253  0.4104
   00256    0.4200   -8293.0519  0.4119
   00257    0.4312   -8346.9672  0.4071
   00258    0.4240   -8358.1870  0.4162
   00259    0.4092   -8361.7448  0.4228
   00260    0.4120   -8304.6074  0.4191
   00261    0.4240   -8319.4727  0.4221
   00262    0.4028   -8351.6516  0.4214
   00263    0.4224   -8391.3428  0.4184
   00264    0.4072   -8402.3240  0.4230
   00265    0.4036   -8435.1139  0.4272
   00266    0.4184   -8436.2919  0.4242
   00267    0.4280   -8437.1999  0.4263
   00268    0.4076   -8387.9211  0.4215
   00269    0.4332   -8401.5391  0.4166
   00270    0.4024   -8364.6641  0.4138
   00271    0.4088   -8335.8685  0.4135
   00272    0.4204   -8377.1201  0.4087
   00273    0.4184   -8359.4042  0.4087
