#=====================================================
# File created:        Thu-20-Feb-2025-at-10-18-06PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        0.461042
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.2711
   00001    0.6736   -3766.4918  0.2750
   00002    0.6300   -4538.3919  0.2764
   00003    0.5920   -5019.5888  0.2848
   00004    0.5568   -5455.4757  0.2934
   00005    0.5292   -5792.6997  0.3110
   00006    0.5268   -6102.3762  0.3152
   00007    0.4920   -6410.2248  0.3193
   00008    0.5212   -6630.8536  0.3304
   00009    0.4984   -6732.4505  0.3337
   00010    0.4792   -6840.6537  0.3338
   00011    0.4880   -6959.1176  0.3437
   00012    0.4680   -7069.3740  0.3577
   00013    0.4728   -7165.2276  0.3634
   00014    0.4672   -7292.9253  0.3619
   00015    0.4528   -7348.7961  0.3647
   00016    0.4788   -7423.6059  0.3669
   00017    0.4456   -7483.0671  0.3648
   00018    0.4516   -7519.6517  0.3706
   00019    0.4528   -7567.8629  0.3770
   00020    0.4536   -7566.2886  0.3760
   00021    0.4436   -7576.1050  0.3729
   00022    0.4488   -7641.7567  0.3781
   00023    0.4764   -7709.9949  0.3807
   00024    0.4332   -7745.0885  0.3745
   00025    0.4516   -7757.9925  0.3864
   00026    0.4304   -7845.4179  0.3937
   00027    0.4328   -7842.0751  0.3967
   00028    0.4236   -7897.2762  0.3939
   00029    0.4200   -7931.9824  0.3947
   00030    0.4304   -7910.4311  0.3976
   00031    0.4456   -7934.9735  0.4047
   00032    0.4416   -7946.9113  0.4109
   00033    0.4216   -7956.3943  0.4121
   00034    0.4320   -7979.8565  0.4168
   00035    0.4304   -8007.3671  0.4238
   00036    0.4416   -7997.8801  0.4240
   00037    0.4292   -8011.0075  0.4252
   00038    0.4356   -7988.9990  0.4319
   00039    0.4340   -8027.8858  0.4365
   00040    0.4324   -8079.0785  0.4392
   00041    0.4176   -8058.3038  0.4376
   00042    0.4236   -8056.1242  0.4440
   00043    0.4232   -8072.0658  0.4462
   00044    0.4320   -8065.3798  0.4473
   00045    0.4488   -8089.6487  0.4436
   00046    0.4056   -8142.4512  0.4490
   00047    0.4332   -8125.1213  0.4424
   00048    0.4124   -8124.1726  0.4457
   00049    0.4268   -8124.3127  0.4500
   00050    0.4208   -8152.2216  0.4571
   00051    0.4088   -8125.8658  0.4623
   00052    0.4172   -8092.1825  0.4552
   00053    0.4312   -8098.8353  0.4554
   00054    0.4120   -8123.3181  0.4553
   00055    0.4168   -8144.8471  0.4566
   00056    0.4216   -8195.1122  0.4575
   00057    0.4424   -8140.1759  0.4581
   00058    0.4420   -8172.1213  0.4533
   00059    0.4040   -8181.9557  0.4584
   00060    0.4532   -8151.6079  0.4486
   00061    0.4332   -8210.3621  0.4465
   00062    0.4356   -8192.7713  0.4478
   00063    0.4324   -8220.9478  0.4487
   00064    0.4076   -8217.3859  0.4489
   00065    0.4176   -8197.5722  0.4543
   00066    0.4184   -8199.3061  0.4549
   00067    0.4232   -8175.7340  0.4527
   00068    0.4248   -8157.7186  0.4529
   00069    0.4248   -8123.9329  0.4530
   00070    0.4324   -8175.1974  0.4589
   00071    0.4160   -8172.1824  0.4604
   00072    0.4364   -8186.4122  0.4633
   00073    0.4152   -8181.5973  0.4597
   00074    0.4244   -8221.8323  0.4637
   00075    0.4176   -8225.0633  0.4672
   00076    0.4168   -8190.6891  0.4690
   00077    0.4240   -8239.2836  0.4686
   00078    0.4228   -8240.0700  0.4734
   00079    0.4044   -8291.1531  0.4795
   00080    0.4188   -8221.2828  0.4773
   00081    0.4164   -8247.0931  0.4712
   00082    0.4168   -8240.3384  0.4694
   00083    0.4296   -8315.9253  0.4757
   00084    0.4196   -8317.0931  0.4766
   00085    0.4404   -8339.1311  0.4824
   00086    0.4236   -8359.0814  0.4805
   00087    0.4052   -8366.6775  0.4782
   00088    0.4244   -8382.5704  0.4817
   00089    0.4080   -8369.9293  0.4869
   00090    0.4172   -8345.8983  0.4873
   00091    0.4148   -8348.2318  0.4825
   00092    0.4272   -8334.5217  0.4790
   00093    0.4140   -8346.9259  0.4864
   00094    0.4208   -8311.2452  0.4863
   00095    0.4184   -8346.3127  0.4906
   00096    0.4208   -8355.4883  0.4866
   00097    0.4152   -8374.2889  0.4919
   00098    0.4176   -8362.3970  0.4932
   00099    0.4320   -8324.0500  0.4859
