lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.304, Time: 10.626370 s
         2528314 function calls (2454257 primitive calls) in 12.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      501    6.574    0.013    6.677    0.013 lebwohl_lasher_s_numba.py:306(calculate_order)
      500    3.861    0.008    3.874    0.008 lebwohl_lasher_s_numba.py:351(monte_carlo_step)
     2539    0.112    0.000    0.112    0.000 {built-in method posix.stat}
     2492    0.095    0.000    0.123    0.000 ffi.py:195(__call__)
        1    0.094    0.094   11.503   11.503 lebwohl_lasher_s_numba.py:434(main)
      583    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
     7554    0.064    0.000    0.120    0.000 inspect.py:879(cleandoc)
   288156    0.041    0.000    0.054    0.000 {built-in method builtins.isinstance}
      104    0.037    0.000    0.053    0.001 {built-in method _io.open}
      501    0.036    0.000    0.070    0.000 _linalg.py:1345(eig)
     2149    0.034    0.000    0.062    0.000 <frozen abc>:105(__new__)
33405/5622    0.029    0.000    0.045    0.000 ir.py:321(_rec_list_vars)
9336/8724    0.028    0.000    0.039    0.000 {built-in method __new__ of type object at 0x561bde392300}
2753/2661    0.028    0.000    0.399    0.000 {built-in method builtins.__build_class__}
117415/117345    0.028    0.000    0.037    0.000 {built-in method builtins.getattr}
    53/51    0.023    0.000    0.029    0.001 {built-in method _imp.create_dynamic}
        4    0.021    0.005    0.021    0.005 {built-in method posix.replace}
215348/213093    0.021    0.000    0.022    0.000 {built-in method builtins.len}
      227    0.021    0.000    0.068    0.000 artist.py:1433(get_aliases)
   110696    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
      587    0.018    0.000    0.018    0.000 {method 'read' of '_io.BufferedReader' objects}
     2503    0.018    0.000    0.018    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      458    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
    10244    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
    89409    0.014    0.000    0.014    0.000 {method 'lstrip' of 'str' objects}
      583    0.014    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      227    0.014    0.000    0.045    0.000 artist.py:1511(get_setters)
    66777    0.013    0.000    0.013    0.000 {built-in method builtins.min}
      653    0.013    0.000    0.013    0.000 {method '__exit__' of '_io._IOBase' objects}
     4409    0.012    0.000    0.144    0.000 artist.py:1461(get_valid_values)
    65231    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
23651/23611    0.012    0.000    0.017    0.000 {method 'join' of 'str' objects}
        2    0.012    0.006    0.012    0.006 {built-in method _ctypes.dlopen}
29209/27470    0.011    0.000    0.018    0.000 abstract.py:121(__hash__)
    42706    0.011    0.000    0.018    0.000 {method 'get' of 'dict' objects}
        1    0.011    0.011    0.012    0.012 _triinterpolate.py:1(<module>)
     7437    0.011    0.000    0.019    0.000 inspect.py:2729(__init__)
        4    0.011    0.003    0.011    0.003 {built-in method posix.open}
37230/36994    0.011    0.000    0.030    0.000 {built-in method builtins.hasattr}
