lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.368, Time: 11.546142 s
         2352399 function calls (2288376 primitive calls) in 13.533 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      501    6.874    0.014    7.006    0.014 lebwohl_lasher_s_numba.py:305(calculate_order)
      500    3.991    0.008    4.007    0.008 lebwohl_lasher_s_numba.py:350(monte_carlo_step)
      501    0.541    0.001    1.280    0.003 lebwohl_lasher_s_numba.py:273(total_energy)
     2533    0.139    0.000    0.139    0.000 {built-in method posix.stat}
      583    0.108    0.000    0.108    0.000 {built-in method marshal.loads}
     1648    0.068    0.000    0.086    0.000 ffi.py:195(__call__)
     7554    0.068    0.000    0.128    0.000 inspect.py:879(cleandoc)
      501    0.042    0.000    0.087    0.000 _linalg.py:1345(eig)
   257114    0.039    0.000    0.051    0.000 {built-in method builtins.isinstance}
113891/113829    0.033    0.000    0.042    0.000 {built-in method builtins.getattr}
     2147    0.032    0.000    0.063    0.000 <frozen abc>:105(__new__)
2742/2650    0.031    0.000    0.475    0.000 {built-in method builtins.__build_class__}
8936/8324    0.029    0.000    0.041    0.000 {built-in method __new__ of type object at 0x557f6ce8f300}
    53/51    0.029    0.001    0.039    0.001 {built-in method _imp.create_dynamic}
28586/4638    0.027    0.000    0.041    0.000 ir.py:321(_rec_list_vars)
      227    0.026    0.000    0.081    0.000 artist.py:1433(get_aliases)
       98    0.022    0.000    0.034    0.000 {built-in method _io.open}
     2503    0.022    0.000    0.022    0.000 {method 'reduce' of 'numpy.ufunc' objects}
212606/210570    0.022    0.000    0.023    0.000 {built-in method builtins.len}
   108146    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
    10244    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
      585    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
      457    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
        2    0.019    0.009    0.019    0.009 {built-in method _ctypes.dlopen}
      227    0.017    0.000    0.058    0.000 artist.py:1511(get_setters)
     4409    0.015    0.000    0.170    0.000 artist.py:1461(get_valid_values)
      583    0.015    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    89409    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
        1    0.014    0.014    0.015    0.015 _triinterpolate.py:1(<module>)
    66743    0.014    0.000    0.014    0.000 {built-in method builtins.min}
22256/22231    0.013    0.000    0.018    0.000 {method 'join' of 'str' objects}
28543/26949    0.013    0.000    0.021    0.000 abstract.py:121(__hash__)
36494/36258    0.013    0.000    0.039    0.000 {built-in method builtins.hasattr}
    61645    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
    41403    0.012    0.000    0.019    0.000 {method 'get' of 'dict' objects}
