lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.643, Time: 4.449055 s
         1830726 function calls (1797719 primitive calls) in 6.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    4.241    0.008    4.288    0.009 lebwohl_lasher_s_numba.py:359(monte_carlo_step)
        1    0.162    0.162    4.927    4.927 lebwohl_lasher_s_numba.py:442(main)
     3320    0.160    0.000    0.160    0.000 {built-in method posix.stat}
      763    0.114    0.000    0.114    0.000 {built-in method marshal.loads}
     7559    0.066    0.000    0.123    0.000 inspect.py:879(cleandoc)
3119/3025    0.034    0.000    0.458    0.000 {built-in method builtins.__build_class__}
    81/79    0.034    0.000    0.043    0.001 {built-in method _imp.create_dynamic}
      114    0.031    0.000    0.041    0.000 __init__.py:355(namedtuple)
6951/6293    0.028    0.000    0.040    0.000 {built-in method __new__ of type object at 0x55d956f5e300}
      100    0.027    0.000    0.040    0.000 {built-in method _io.open}
    94946    0.026    0.000    0.029    0.000 {built-in method builtins.getattr}
      227    0.024    0.000    0.078    0.000 artist.py:1433(get_aliases)
      769    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
212201/209853    0.022    0.000    0.022    0.000 {built-in method builtins.len}
1373/1370    0.022    0.000    0.036    0.000 ffi.py:195(__call__)
    10256    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
   106128    0.019    0.000    0.019    0.000 {method 'startswith' of 'str' objects}
      460    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
   107286    0.018    0.000    0.024    0.000 {built-in method builtins.isinstance}
 1153/334    0.018    0.000    0.045    0.000 _parser.py:512(_parse)
      763    0.017    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      227    0.017    0.000    0.052    0.000 artist.py:1511(get_setters)
        1    0.015    0.015    0.016    0.016 _triinterpolate.py:1(<module>)
    90214    0.014    0.000    0.014    0.000 {method 'lstrip' of 'str' objects}
        2    0.014    0.007    0.014    0.007 {built-in method _ctypes.dlopen}
      336    0.014    0.000    0.019    0.000 {built-in method builtins.eval}
    69441    0.014    0.000    0.014    0.000 {built-in method builtins.min}
     4409    0.014    0.000    0.157    0.000 artist.py:1461(get_valid_values)
     1000    0.013    0.000    0.013    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      763    0.013    0.000    0.013    0.000 {built-in method _io.open_code}
     1205    0.012    0.000    0.175    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
21526/21518    0.012    0.000    0.014    0.000 {method 'join' of 'str' objects}
    64961    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
33320/32660    0.011    0.000    0.132    0.000 {built-in method builtins.hasattr}
     7391    0.011    0.000    0.020    0.000 inspect.py:2729(__init__)
 2280/307    0.011    0.000    0.025    0.000 _compiler.py:37(_compile)
      818    0.010    0.000    0.010    0.000 {method '__exit__' of '_io._IOBase' objects}
23691/23383    0.009    0.000    0.014    0.000 abstract.py:121(__hash__)
        3    0.009    0.003    0.009    0.003 {built-in method posix.open}
      879    0.009    0.000    0.027    0.000 inspect.py:2368(_signature_from_function)
    27351    0.008    0.000    0.013    0.000 {method 'get' of 'dict' objects}
     7341    0.008    0.000    0.095    0.000 __init__.py:280(_compile)
  2232/27    0.008    0.000    0.079    0.003 context.py:407(install_registry)
    820/1    0.008    0.000    6.119    6.119 {built-in method builtins.exec}
      877    0.008    0.000    0.200    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1086    0.008    0.000    0.025    0.000 templates.py:887(make_overload_template)
     6571    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     9716    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
     1535    0.007    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
    81/75    0.007    0.000    0.016    0.000 {built-in method _imp.exec_dynamic}
     7517    0.007    0.000    0.106    0.000 inspect.py:860(getdoc)
     1212    0.007    0.000    0.010    0.000 inspect.py:3015(__init__)
      763    0.007    0.000    0.187    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    16616    0.007    0.000    0.015    0.000 utils.py:475(stream_list)
5633/4578    0.006    0.000    1.269    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      658    0.006    0.000    0.011    0.000 enum.py:249(__set_name__)
       46    0.006    0.000    0.027    0.001 castgraph.py:92(propagate)
       96    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
     1000    0.006    0.000    0.024    0.000 fromnumeric.py:69(_wrapreduction)
   922/73    0.006    0.000    1.454    0.020 <frozen importlib._bootstrap>:1349(_find_and_load)
  983/912    0.006    0.000    0.037    0.000 inspect.py:2463(_signature_from_callable)
     2149    0.006    0.000    0.006    0.000 {built-in method _abc._abc_init}
4540/2121    0.005    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
     4409    0.005    0.000    0.012    0.000 artist.py:1549(aliased_name)
      120    0.005    0.000    0.194    0.002 artist.py:1593(pprint_setters)
     1526    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    20843    0.005    0.000    0.023    0.000 templates.py:1322(new_registrations)
     1845    0.005    0.000    0.006    0.000 functions.py:245(__init__)
    17289    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
     7571    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
      581    0.005    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
      245    0.004    0.000    0.006    0.000 templates.py:1166(make_overload_attribute_template)
