Lattice-Size,Runtime-Average,Runtime-STD
25,0.051951858199936397,0.030060355361849381
50,0.055178600599992932,0.009483207126433045
75,0.069575026399979839,0.000644606115530837
100,0.093561280599988098,0.000890597866044603
200,0.292115265400116175,0.074140039044249179
300,0.512602262399923347,0.005065366403634849
400,0.863978511999903276,0.006731377648081969
500,1.314329607400031907,0.016392234213288726
600,1.892493029200068122,0.006723693585359588
700,2.554583485199873216,0.025034048668257602
800,3.359468807800021661,0.038713290027562464
900,4.274243161799949675,0.024870920170843545
1000,5.236109886000031466,0.042470143634486437
