Lattice-Size,Runtime-Average,Runtime-STD
25,0.029018497467041014,0.000399082096070345
50,0.036844062805175784,0.000359465373462210
75,0.050329065322875975,0.002225798385492908
100,0.066577816009521479,0.000772522768924353
200,0.187596893310546881,0.007773122997259806
300,0.379226779937744118,0.007230497231357044
400,0.632415342330932662,0.011358514101924662
500,0.963085079193115257,0.007586527312046384
600,1.356974887847900435,0.017862255141888654
700,1.789302015304565341,0.011861056903336024
800,2.332075834274291992,0.043413328985076487
900,3.041363573074340909,0.112414305051282457
1000,3.708826112747192205,0.143672854255447818
