Lattice-Size,Runtime-Average,Runtime-STD
25,0.040878915786743165,0.000365306674115164
50,0.045084953308105469,0.000528382220085211
75,0.050425434112548830,0.000493635027456858
100,0.057425212860107419,0.000634124336208574
200,0.091848945617675787,0.000381454455546844
300,0.145292425155639643,0.001728319415136146
400,0.217386531829833973,0.001422928767486609
500,0.305510902404785178,0.003868794686813271
600,0.416494274139404319,0.002983263841219129
700,0.549413061141967751,0.008072995475824714
800,0.795186233520507768,0.005700572966711152
900,0.995260763168335005,0.021099744115408232
1000,1.207091760635375932,0.010548813856730873
